family	surface	observed	occurrences	pages	reader_exact_occurrences	working_reading_de
TCH_E_FORM_LADDER	tchy	1	27	24	15	kalt-trocken, Grundform
TCH_E_FORM_LADDER	tchey	1	18	16	16	kalt-trocken, gebundene Form
TCH_E_FORM_LADDER	tcheey	1	6	6	6	kalt-trocken, erweiterte Bindungsform
TCH_E_OL_OR	tchol	1	16	14	11	kalt-trockener Stoff
TCH_E_OL_OR	tchor	1	21	18	17	kalt-trockener Teil-/Portionsträger
TCH_E_OL_OR	tcheol	1	6	5	6	kalt-trockener Drogenstoff, e-Bindungsform
TCH_E_OL_OR	tcheor	1	3	3	3	kalt-trockener Drogenteil
CHE_TCH_FORM	chetchy	1	4	4	4	getrocknete Droge; kalt-trocken, Grundform
CHE_TCH_FORM	chetchdy	1	1	1	0	getrocknete kalt-trockene Form mit dy-Abschluss
CHE_KCH_HOT_ARM	chekchy	1	2	2	2	getrocknete Droge; heiß-trocken, Grundform
CHE_KCH_HOT_ARM	chekchey	1	1	1	1	getrocknete Droge; heiß-trocken, gebundene Form
CHE_KCH_HOT_ARM	chekchdy	1	1	1	0	getrocknete Droge; heiß-trocken, dy-Abschluss
CHO_TCH_PREPARATION	chotchy	1	11	7	10	Trockenansatz, kalt-trockene Grundform
CHO_TCH_PREPARATION	chotchey	1	3	3	2	Trockenansatz, kalt-trockene gebundene Form
CHO_TCH_PREPARATION	chotcheey	1	1	1	1	Trockenansatz, kalt-trockene erweiterte Bindungsform
