model_id	unit_id	figure_fit_1_to_5	station_geometry_fit_1_to_5	process_vocabulary_fit_1_to_5	whole_book_fit_1_to_5	editorial_fit_total_20
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	B1	5	5	5	5	20
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	B2	5	5	5	5	20
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	B3	5	4	5	4	18
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	B4	5	5	5	5	20
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	B5	5	5	4	4	18
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	B6	5	5	4	4	18
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	B1	5	5	4	4	18
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	B2	5	5	4	4	18
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	B3	5	5	4	4	18
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	B4	5	5	4	4	18
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	B5	5	5	5	5	20
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	B6	5	5	5	5	20
M3_CLOSED_PROCESS_APPARATUS	B1	3	4	3	2	12
M3_CLOSED_PROCESS_APPARATUS	B2	3	4	3	3	13
M3_CLOSED_PROCESS_APPARATUS	B3	4	5	4	3	16
M3_CLOSED_PROCESS_APPARATUS	B4	4	5	4	4	17
M3_CLOSED_PROCESS_APPARATUS	B5	5	5	5	5	20
M3_CLOSED_PROCESS_APPARATUS	B6	5	5	5	5	20
