unified_serial	page	unit_or_locus	source_group_identity	visible_identity	owner	construction	current_short_reading	content_mode	selected_record_reading_de
101	f81v	B1-S001	E101	qokedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
102	f81v	B1-S002	E102	okaiin	B1_SHARED_TWO_ROW_POOL	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
103	f81v	B1-S002	E103	kair	B1_SHARED_TWO_ROW_POOL	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Beckenwasser.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
104	f81v	B1-S002	E104	okal	B1_SHARED_TWO_ROW_POOL	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
105	f81v	B1-S002	E105	sar	B1_SHARED_TWO_ROW_POOL	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
106	f81v	B1-S002	E106	ol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
107	f81v	B1-S002	E107	kain	B1_SHARED_TWO_ROW_POOL	C10	Setze Maß, Portion oder Stufe: eine Portion.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
108	f81v	B1-S002	E108	olkain	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: weitere Portion.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
109	f81v	B1-S002	E109	al	B1_SHARED_TWO_ROW_POOL	C11	Setze die bezeichnete Zielstelle: dorthin.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
110	f81v	B1-S002	E110	ol	B1_SHARED_TWO_ROW_POOL	C02	Danach oder in demselben Gang: fortsetzen.	FIGURE_OWNED_BATH	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.
