model_id	content_slot	concrete_value_de
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	FIGURE	Badende
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	BASIN	Becken
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	LIQUID	Badwasser
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	ADDITIVE	Kräuterzusatz
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	HEAT	Badwärme
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	DURATION	Badezeit
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	TARGET	Körperstelle
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	IMMERSION	Teilbad
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	CLOTH	Tuch
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	PASSAGE	Seihgang
M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX	SERVICE	Dienststation
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	FIGURE	Badegast
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	BASIN	Bottich
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	LIQUID	Waschwasser
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	ADDITIVE	Waschzusatz
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	HEAT	Wärme
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	DURATION	Arbeitszeit
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	TARGET	Waschstelle
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	IMMERSION	Tauchgang
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	CLOTH	Tuch
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	PASSAGE	Seihgang
M2_PUBLIC_BATHHOUSE_AND_LAUNDRY	SERVICE	Dienststation
M3_CLOSED_PROCESS_APPARATUS	FIGURE	Werkstück
M3_CLOSED_PROCESS_APPARATUS	BASIN	Behälter
M3_CLOSED_PROCESS_APPARATUS	LIQUID	Arbeitsflüssigkeit
M3_CLOSED_PROCESS_APPARATUS	ADDITIVE	Zusatz
M3_CLOSED_PROCESS_APPARATUS	HEAT	Temperatur
M3_CLOSED_PROCESS_APPARATUS	DURATION	Dauer
M3_CLOSED_PROCESS_APPARATUS	TARGET	Arbeitsstelle
M3_CLOSED_PROCESS_APPARATUS	IMMERSION	Tauchgang
M3_CLOSED_PROCESS_APPARATUS	CLOTH	Filtertuch
M3_CLOSED_PROCESS_APPARATUS	PASSAGE	Filtergang
M3_CLOSED_PROCESS_APPARATUS	SERVICE	Prozessstation
