bath_word_id	bath_service_slot	selected_word_de	owner_rule_de	card_or_root_meaning
B01	BATHER	Badende	sichtbarer Mensch im Becken	NO__SOURCE_PROGRAM_WORD
B02	BASIN	Becken	sichtbare lokale Bad-/Arbeitsmulde	NO__SOURCE_PROGRAM_WORD
B03	BATH_WATER	Badwasser	Flüssigkeit an Figurenstationen	NO__SOURCE_PROGRAM_WORD
B04	HERBAL_ADDITIVE	Kräuterzusatz	Zusatz aus dem Pflanzenregister	NO__SOURCE_PROGRAM_WORD
B05	BATH_HEAT	Badwärme	Temperatur an Figurenstationen	NO__SOURCE_PROGRAM_WORD
B06	BATH_TIME	Badezeit	Dauer an Figurenstationen	NO__SOURCE_PROGRAM_WORD
B07	BODY_TARGET	Körperstelle	örtliches Ziel bei sichtbarer Figur	NO__SOURCE_PROGRAM_WORD
B08	PART_BATH	Teilbad	lokale Immersion im Einzelbecken	NO__SOURCE_PROGRAM_WORD
B09	CLOTH	Tuch	Wasch-, Umschlag- oder Seihträger	NO__SOURCE_PROGRAM_WORD
B10	COMPRESS	Umschlag	gehaltenes Tuch an B4	NO__SOURCE_PROGRAM_WORD
B11	STRAINING_PASS	Seihgang	Tuch-/Durchlassoperation	NO__SOURCE_PROGRAM_WORD
B12	INLET	Einlass	sichtbare oder lokale Zufuhr	NO__SOURCE_PROGRAM_WORD
B13	OUTLET	Ablauf	sichtbarer oder lokaler Abzug	NO__SOURCE_PROGRAM_WORD
B14	WATER_RUN	Wasserlauf	lokale Verbindung ohne globalen Kreislauf	NO__SOURCE_PROGRAM_WORD
B15	RECEIVER	Auffangbecken	örtlicher Empfänger	NO__SOURCE_PROGRAM_WORD
B16	SERVICE_STATION	Dienststation	figurenlose B5/B6-Hilfsstation	NO__SOURCE_PROGRAM_WORD
B17	SERVICE_TARGET	Arbeitsstelle	örtliches Ziel ohne Figur	NO__SOURCE_PROGRAM_WORD
