statement_id	page	record	motif_id	card_sequence	surface_sequence	position_class	ends_statement	contains_exact_close_card	exact_close_cards	endpoint_class	motif_reading_de	exact_card_reading_de
H1-S001	f10r	H1	M02_SET_ITEM_MEASURE	PROC008|PROC009	oky daiin	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	POSTEN ANSETZEN, DANN SOLLMASS	ANSETZEN · ARBEITSPOSTEN -> SOLLMASS
H2-S001	f10r	H2	M01_ITEM_MEASURE_FRAME	PROC019|PROC009|PROC019	chy taiin shy	CLOSE	YES	NO	NONE	STATEMENT_END_WITHOUT_CLOSE_CARD	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	ARBEITSPOSTEN -> SOLLMASS -> ARBEITSPOSTEN
H2-S002	f10r	H2	M06_FEED_CONTINUATION	PROC022|PROC013	cholor chol	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	FORTSETZEN · ANSATZ -> FORTSETZEN
H2-S003	f10r	H2	M03_PREPARATION_ITEM	PROC016|PROC019	chor chy	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN	ANSATZ -> ARBEITSPOSTEN
H3-S003	f11r	H3	M01_ITEM_MEASURE_FRAME	PROC019|PROC009	dy daiin	CLOSE	YES	NO	NONE	STATEMENT_END_WITHOUT_CLOSE_CARD	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	ARBEITSPOSTEN -> SOLLMASS
H4-S004	f55v	H4	M03_PREPARATION_ITEM	PROC016|PROC019	or y	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN	ANSATZ -> ARBEITSPOSTEN
B1-S002	f81v	B1	M08_PORTION_TARGET	PROC070|PROC055	olkain al	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN	FORTSETZEN · ZUDOSIEREN · PORTION -> ZIELSTELLE
B1-S002	f81v	B1	M06_FEED_CONTINUATION	PROC022|PROC013	olor ol	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	FORTSETZEN · ANSATZ -> FORTSETZEN
B1-S004	f81v	B1	M06_FEED_CONTINUATION	PROC042|PROC013	chedy ol	ENTRY	NO	NO	NONE	NONTERMINAL_MOTIF	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN	UMSETZEN · ARBEITSPOSTEN -> FORTSETZEN
B1-S008	f81v	B1	M04_CONTINUE_CLOSE	PROC013|PROC078	ol shedy	CLOSE	YES	YES	PROC078	EXPLICIT_CLOSE_AT_END	FORTSETZEN, ABSETZEN UND SCHLIESSEN	FORTSETZEN -> ABSETZEN; SCHLUSS
B1-S016	f81v	B1	M04_CONTINUE_CLOSE	PROC013|PROC078	qol cheedy	CLOSE	YES	YES	PROC078	EXPLICIT_CLOSE_AT_END	FORTSETZEN, ABSETZEN UND SCHLIESSEN	FORTSETZEN -> ABSETZEN; SCHLUSS
B2-S010	f82r	B2	M09_LONG_SET_BRANCH	PROC092|PROC008	qokeey qoky	ENTRY	NO	NO	NONE	NONTERMINAL_MOTIF	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN	ANSETZEN · LANG · ARBEITSPOSTEN -> ANSETZEN · ARBEITSPOSTEN
B2-S012	f82r	B2	M01_ITEM_MEASURE_FRAME	PROC009|PROC019	daiin chey	MEDIAL	NO	NO	NONE	NONTERMINAL_MOTIF	LAUFENDER POSTEN IM SOLLMASS-RAHMEN	SOLLMASS -> ARBEITSPOSTEN
