mark_id	stage	page	unit	source_id	surface	identity	component_recipe	concrete_default_de	owner_or_handle_de	calibration_provenance
R001	MAKE_D.P1	f56r	H5-S001	E074	chochor	PROC051	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R002	MAKE_D.P1	f56r	H5-S001	E075	cho	PROC052	HO	ZUTAT	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R003	MAKE_D.P1	f56r	H5-S001	E076	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · POSTEN	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R004	MAKE_D.P1	f56r	H5-S001	E077	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R005	MAKE_D.P1	f56r	H5-S001	E078	sho	PROC052	HO	ZUTAT	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R006	MAKE_D.P1	f56r	H5-S001	E079	kchol	PROC054	K+OL	ZUGEBEN · WEITER	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R007	MAKE_D.P1	f56r	H5-S001	E080	otchor	PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R008	MAKE_D.P1	f56r	H5-S001	E081	choky	PROC008	OK+Y	ANSETZEN · POSTEN	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R009	MAKE_D.P1	f56r	H5-S001	E082	dal	PROC055	AL	ZIELSTELLE	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R010	MAKE_D.P1	f56r	H5-S002	E083	schol	PROC034	RESUME_CARD	DAVON	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R011	MAKE_D.P1	f56r	H5-S002	E084	choy	PROC056	HO+Y	ZUTAT · POSTEN	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R012	MAKE_D.P1	f56r	H5-S002	E085	choky	PROC008	OK+Y	ANSETZEN · POSTEN	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R013	MAKE_D.P1	f56r	H5-S002	E086	cheeckhody	PROC057	CH+EE+CKH+O+DY	ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	Bildbesitzer D; entstehendes Produkt D.P1	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R014	APPLY_B2	f82r	B2-S001	E167	dchedy	PROC076	CHD+DY	UMSETZEN · SCHLUSS	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R015	APPLY_B2	f82r	B2-S002	E168	qolchedy	PROC079	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R016	APPLY_B2	f82r	B2-S003	E169	qokain	PROC080	OK+AIN	ANSETZEN · EIN ABGEGRENZTER TEIL	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R017	APPLY_B2	f82r	B2-S003	E170	dy	PROC019	Y	POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R018	APPLY_B2	f82r	B2-S003	E171	qokeedy	PROC100	OK+EE+DY	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R019	APPLY_B2	f82r	B2-S004	E172	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R020	APPLY_B2	f82r	B2-S004	E173	lcheckhy	PROC101	L+CKH+Y	LEITEN · DURCHLASS · POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R021	APPLY_B2	f82r	B2-S004	E174	lched	PROC102	L+CHD	LEITEN · UMSETZEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R022	APPLY_B2	f82r	B2-S004	E175	qokeey	PROC092	OK+EE+Y	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R023	APPLY_B2	f82r	B2-S004	E176	lcheckhedy	PROC103	L+CKH+E+DY	LEITEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R024	APPLY_B2	f82r	B2-S005	E177	qokaly	PROC104	OK+AL+Y	ANSETZEN · ZIELSTELLE · POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R025	APPLY_B2	f82r	B2-S005	E178	solkaiin	PROC105	SOLK+AIIN	SAMMELN · EIN KLEINER SCHOEPFBECHER	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R026	APPLY_B2	f82r	B2-S005	E179	chckhy	PROC075	CKH+Y	DURCHLASS · POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R027	APPLY_B2	f82r	B2-S005	E180	qokaiin	PROC038	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R028	APPLY_B2	f82r	B2-S005	E181	qokaiin	PROC038	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R029	APPLY_B2	f82r	B2-S005	E182	octheol	PROC106	O+CTH+E+OL	ARBEITSGANG · BEREITEN · EIN KURZER ARBEITSGANG · WEITER	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R030	APPLY_B2	f82r	B2-S005	E183	chkeey	PROC107	CHK+EE+Y	WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R031	APPLY_B2	f82r	B2-S005	E184	ldy	PROC108	L+DY	LEITEN · SCHLUSS	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
R032	APPLY_B2	f82r	B2-S006	E185	oteey	PROC109	OT+EE+Y	DANACH · DREI KURZE ARBEITSGAENGE · POSTEN	oberes Beckenpaar mit Zylinder	VISIBLE_CARD_PLUS_WORKSHOP_CONVENTION
