model	edition	paragraph	at	word	gloss
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G001	tshor	Material [tshor]
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G002	shey	feucht
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G003	qodckhy	⟦qodckhy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G004	e{ph}o	⟦e{ph}o⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G005	oltshey	⟦oltshey⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G006	daiin	Masse C·Uₚ
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.1|G007	qopchy	⟦qopchy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G001	okeey	⟦okeey⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G002	daiin	Masse C·Uₚ
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G003	sheekol	⟦sheekol⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G004	shom	⟦shom⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G005	shol	feucht
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G006	cthy	Kraut
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G007	dchom	⟦dchom⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.2|G008	do	⟦do⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G001	ydaiin	⟦ydaiin⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G002	cph[o:a]m	⟦cph[o:a]m⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G003	chol	getrocknet
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G004	dockhy	⟦dockhy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G005	cthol	⟦cthol⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G006	dam	⟦dam⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.3|G007	oty	⟦oty⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G001	qokol	⟦qokol⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G002	daiiin	⟦daiiin⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G003	qockhor	⟦qockhor⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G004	okchor	⟦okchor⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G005	daiio	⟦daiio⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G006	dain	Masse B·Uₚ
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.4|G007	d	⟦d⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G001	ysheey	⟦ysheey⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G002	ckhol	⟦ckhol⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G003	chckhey	⟦chckhey⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G004	daiin	Masse C·Uₚ
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G005	ctheody	⟦ctheody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.5|G006	ydy	⟦ydy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.6|G001	ochoiky	⟦ochoiky⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.6|G002	dshey	⟦dshey⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.6|G003	chol	getrocknet
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.6|G004	ykcheody	⟦ykcheody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.6|G005	choldam	⟦choldam⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.7|G001	todaiin	⟦todaiin⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.7|G003	qote[a:o]	⟦qote[a:o]⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.7|G004	dchy	⟦dchy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.7|G005	qotod	⟦qotod⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.7|G006	odaiin	zusätzliche Dosis Q
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.8|G001	sheey	benetze
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.8|G002	kshody	⟦kshody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.8|G003	tsheody	⟦tsheody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.8|G004	sheody	⟦sheody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.8|G005	sheetchy	⟦sheetchy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.8|G006	opod	⟦opod⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.9|G001	octheody	⟦octheody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.9|G002	shody	benetztes Material
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.9|G003	qodal	abgemessene Materialportion
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.9|G004	cthody	⟦cthody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.9|G005	sheos	⟦sheos⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.9|G006	shodaiin	Dosis Q des feuchten Materials
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.10|G001	ychocthy	vermische
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.10|G002	qodal	abgemessene Materialportion
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.11|G001	otsho	⟦otsho⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.11|G002	or	Anteil
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.11|G003	chear	⟦chear⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.11|G004	sheod	⟦sheod⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.11|G005	chkodal	⟦chkodal⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.12|G001	ycheey	⟦ycheey⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.12|G002	kchy	⟦kchy⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.12|G003	oky	warm
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.12|G004	kody	⟦kody⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.12|G005	ydam	⟦ydam⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.13|G001	yckhodaiin	⟦yckhodaiin⟧
A	ZL3b	f53v|f53v.1-f53v.13	ZL3b|f53v.13|G002	otoldy	⟦otoldy⟧
A	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.1|G001	tshor	Material [tshor]
A	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.1|G002	shey	feucht
A	IT2a	f53v|f53v.1-f53v.13	IT2a|f53v.1|G003	qodckhy	⟦qodckhy⟧
