model	edition	locus	at	next1	next2	argument1	argument2
A	ZL3b	f53v.10	ZL3b|f53v.10|G001	qodal	shodaiin	MATERIAL_ASSUMED	MATERIAL_ASSUMED
A	ZL3b	f93r.24	ZL3b|f93r.24|G001	chotey	teey	UNKNOWN	UNKNOWN
A	IT2a	f53v.10	IT2a|f53v.10|G001	qodal	shodaiin	MATERIAL_ASSUMED	MATERIAL_ASSUMED
A	IT2a	f93r.24	IT2a|f93r.24|G001	chotey	teeys	UNKNOWN	UNKNOWN
A	RF1b	f53v.10	RF1b|f53v.10|G001	qo@152;al	sho@152;aiin	UNKNOWN	UNKNOWN
A	RF1b	f93r.24	RF1b|f93r.24|G001	chotey	teeys	UNKNOWN	UNKNOWN
M	ZL3b	f53v.10	ZL3b|f53v.10|G001	qodal	shodaiin	NOT_ASSERTED	NOT_ASSERTED
M	ZL3b	f93r.24	ZL3b|f93r.24|G001	chotey	teey	NOT_ASSERTED	NOT_ASSERTED
M	IT2a	f53v.10	IT2a|f53v.10|G001	qodal	shodaiin	NOT_ASSERTED	NOT_ASSERTED
M	IT2a	f93r.24	IT2a|f93r.24|G001	chotey	teeys	NOT_ASSERTED	NOT_ASSERTED
M	RF1b	f53v.10	RF1b|f53v.10|G001	qo@152;al	sho@152;aiin	NOT_ASSERTED	NOT_ASSERTED
M	RF1b	f93r.24	RF1b|f93r.24|G001	chotey	teeys	NOT_ASSERTED	NOT_ASSERTED
D	ZL3b	f53v.10	ZL3b|f53v.10|G001	qodal	shodaiin	NOT_ASSERTED	NOT_ASSERTED
D	ZL3b	f93r.24	ZL3b|f93r.24|G001	chotey	teey	NOT_ASSERTED	NOT_ASSERTED
D	IT2a	f53v.10	IT2a|f53v.10|G001	qodal	shodaiin	NOT_ASSERTED	NOT_ASSERTED
D	IT2a	f93r.24	IT2a|f93r.24|G001	chotey	teeys	NOT_ASSERTED	NOT_ASSERTED
D	RF1b	f53v.10	RF1b|f53v.10|G001	qo@152;al	sho@152;aiin	NOT_ASSERTED	NOT_ASSERTED
D	RF1b	f93r.24	RF1b|f93r.24|G001	chotey	teeys	NOT_ASSERTED	NOT_ASSERTED
