card_no	surfaces	component_parse	invariant_atomic_value_de	portable_function_class	herbal_owner_filled_reading_de	biological_owner_filled_reading_de	herbal_events	biological_events	total_events	atomic_value_changes_by_section	only_object_filling_changes
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	vorgeschriebenes Maß	PORTABLE_QUANTITY	Sollmaß des Pflanzenstoffs oder Ansatzes	Sollmaß der lokalen Flüssigkeit oder Anwendung	9	11	20	NO	YES
PROC013	cheol|chol|ol|qol|sol|tol	OL	fortsetzen	PORTABLE_ORDER	denselben Pflanzenansatz fortführen	dieselbe Zelle oder Stationsflüssigkeit fortführen	3	16	19	NO	YES
PROC019	chey|chy|dy|shy|sy|y	Y	dieser Posten	PORTABLE_REFERENT	dieser Pflanzenteil oder Ansatz	diese Flüssigkeit, Portion oder Anwendung	9	9	18	NO	YES
PROC042	chdy|chedy	CHD+Y	den aktuellen Posten umsetzen	PORTABLE_ACTION_FRAME	Pflanzenstoff oder Ansatz umarbeiten	Flüssigkeit umschöpfen oder lokal umsetzen	1	10	11	NO	YES
PROC008	choky|oky|qoky	OK+Y	den aktuellen Posten in Einsatz bringen	PORTABLE_ACTION_FRAME	Pflanzenstoff in den Ansatz geben	lokales Medium in Einsatz bringen	3	7	10	NO	YES
PROC055	al|chal|cheal|dal|sal|tal	AL	bezeichnete Stelle	PORTABLE_TARGET	bezeichnete Pflanzen-/Anwendungsstelle	bezeichnete Becken- oder Stationsstelle	1	9	10	NO	YES
PROC038	okaiin|qokaiin	OK+AIIN	nach vorgeschriebenem Maß in Einsatz bringen	PORTABLE_MEASURED_ACTION	Pflanzenansatz bis zum Sollmaß beschicken	Becken, Gefäß oder Anwendung bis zum Sollmaß beschicken	1	8	9	NO	YES
PROC014	checthy|cthy|shcthy	CTH+Y	bereit · dieser Posten	PORTABLE_STATE	dieser Pflanzenansatz ist bereit	diese Flüssigkeit oder Anwendung ist bereit	3	4	7	NO	YES
PROC016	chor|or|shor|sor	OR	Ansatz	PORTABLE_PREPARATION	Pflanzenansatz oder Zubereitung	lokaler Arbeitsansatz	5	2	7	NO	YES
PROC048	okal|qokal	OK+AL	den laufenden Posten an bezeichnete Stelle ansetzen	PORTABLE_TARGET_ACTION	Pflanzenstoff an der Stelle anlegen	Flüssigkeit oder Anwendung an der Station ansetzen	1	5	6	NO	YES
PROC003	char|dar|sar	AR	von dort	PORTABLE_SOURCE	aus dem vorigen Pflanzenbezug	aus der vorigen Station oder Quelle	2	3	5	NO	YES
PROC031	cheey|shey	SH+EE+Y	diesen Posten länger halten	PORTABLE_HOLD	Pflanzenstoff länger ziehen lassen	Flüssigkeit oder Anwendung länger einwirken lassen	1	3	4	NO	YES
PROC004	chety|chty	T+Y	den aktuellen Posten eintragen	PORTABLE_ENTRY	Pflanzenstoff eintragen	Flüssigkeit oder Portion eintragen	1	1	2	NO	YES
PROC022	cholor|olor	OL+OR	fortsetzen · Ansatz	PORTABLE_PREPARATION_ORDER	denselben Pflanzenansatz fortsetzen	denselben Arbeitsansatz fortsetzen	1	1	2	NO	YES
PROC046	cheeky	CHK+EE+Y	den aktuellen Posten länger wärmen	PORTABLE_THERMAL	Pflanzenansatz länger wärmen	Flüssigkeit oder Anwendung länger wärmen	1	1	2	NO	YES
PROC047	oldy	OL+DY	fortsetzen; Schritt schließen	PORTABLE_CLOSE	Pflanzenarbeit fortsetzen und schließen	Stationsarbeit fortsetzen und schließen	1	1	2	NO	YES
PROC065	otchey	OT+Y	danach · dieser Posten	PORTABLE_NEXT_REFERENT	danach dieser Pflanzenteil	danach diese Flüssigkeit oder Portion	1	1	2	NO	YES
