event_id	page	record	statement_id	card_no	surface	component_parse	section	corrected_owner_object_class	invariant_atomic_value_de	owner_filled_reading_de	portable_function_class	portable_reading_complete
E009	f10r	H1	H1-S001	PROC009	daiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E022	f10r	H2	H2-S001	PROC009	taiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E030	f10r	H2	H2-S002	PROC009	daiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E051	f11r	H3	H3-S003	PROC009	daiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E057	f55v	H4	H4-S001	PROC009	chaiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E061	f55v	H4	H4-S002	PROC009	daiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E068	f55v	H4	H4-S004	PROC009	aiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E077	f56r	H5	H5-S001	PROC009	daiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E100	f56r	H5	H5-S006	PROC009	daiin	AIIN	HERBAL	PLANT_MATERIAL	vorgeschriebenes Maß	Sollmaß des Pflanzenstoffs oder Ansatzes	PORTABLE_QUANTITY	YES
E116	f81v	B1	B1-S002	PROC009	daiin	AIIN	BIOLOGICAL	BASIN_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E118	f81v	B1	B1-S002	PROC009	daiin	AIIN	BIOLOGICAL	BASIN_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E207	f82r	B2	B2-S012	PROC009	daiin	AIIN	BIOLOGICAL	UNCLEAR_WORK_PORTION	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E217	f82r	B2	B2-S016	PROC009	aiin	AIIN	BIOLOGICAL	TECHNICAL_STATION_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E233	f83r	B3	B3-S003	PROC009	daiin	AIIN	BIOLOGICAL	TECHNICAL_STATION_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E274	f83r	B3	B3-S021	PROC009	saiin	AIIN	BIOLOGICAL	SEPARATE_PORTION	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E299	f83r	B3	B3-S030	PROC009	saiin	AIIN	BIOLOGICAL	FIGURE_APPLICATION	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E332	f83r	B4	B4-S008	PROC009	saiin	AIIN	BIOLOGICAL	FIGURE_APPLICATION	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E338	f83r	B4	B4-S011	PROC009	saiin	AIIN	BIOLOGICAL	TECHNICAL_STATION_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E369	f83r	B5	B5-S003	PROC009	aiin	AIIN	BIOLOGICAL	TECHNICAL_STATION_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E377	f83r	B6	B6-S001	PROC009	daiin	AIIN	BIOLOGICAL	TECHNICAL_STATION_LIQUID	vorgeschriebenes Maß	Sollmaß der lokalen Flüssigkeit oder Anwendung	PORTABLE_QUANTITY	YES
E013	f10r	H1	H1-S002	PROC013	chol	OL	HERBAL	PLANT_MATERIAL	fortsetzen	denselben Pflanzenansatz fortführen	PORTABLE_ORDER	YES
