phrase_id	search_form	content_source_class	default_spoken_phrase_de	statement_count	pages	statement_ids	word_boundary_de
PFLANZE	Pflanze	VISIBLE_OWNER_NOUN	die abgebildete Pflanze	5	f10r|f11r|f55v|f56r	H1-S001|H2-S001|H3-S001|H4-S001|H5-S001	kein Kartenstamm bedeutet automatisch Pflanze
WURZEL	Wurzel	OWNER_PLUS_ARTICLE_DETAIL	der im Artikel gemeinte untere Pflanzenteil	1	f10r	H1-S001	nur Bild und Artikel machen daraus Wurzel
BLUETE	Blüte	OWNER_PLUS_ARTICLE_DETAIL	der bild- oder exemplarbestimmte Blütenteil	6	f10r|f11r|f56r	H2-S001|H2-S002|H3-S001|H3-S002|H3-S004|H5-S001	kein HO- oder Y-Stamm heißt Blüte
KRAUT	Kraut	OWNER_PLUS_ARTICLE_DETAIL	der aktuell verarbeitete Pflanzenposten	3	f10r|f56r	H2-S001|H5-S001|H5-S003	breite Werkstattbezeichnung, kein Pflanzenname
WASSER	Wasser	MASTER_EXEMPLAR_MATERIAL	das für den Gang vorgesehene Wasser	9	f10r|f56r|f81v|f82r|f83r	H1-S001|H5-S002|B1-S012|B2-S007|B2-S016|B2-S017|B3-S006|B3-S021|B4-S016	AIR bleibt Lauf/Bahn; Wasser ist eine Besitzerfüllung
WEIN	Wein	MASTER_EXEMPLAR_MATERIAL	das im Rezept vorgesehene Weinmedium	3	f11r|f55v|f56r	H3-S001|H4-S001|H5-S004	nicht aus einem kurzen Stamm abgeleitet
OEL	Öl	MASTER_EXEMPLAR_MATERIAL	das im Rezept vorgesehene Öl	2	f10r|f11r	H2-S001|H3-S004	nicht aus O oder OL abgeleitet
SAFT	Saft	MASTER_EXEMPLAR_MATERIAL	der aus der Pflanze gewonnene Saft	1	f10r	H2-S001	CHEO bleibt Auszug, nicht Saft allein
AUSZUG	Auszug	PROCESS_RESULT	das Ergebnis des gerade geführten Auszugsgangs	8	f10r|f11r|f55v|f56r	H1-S001|H1-S002|H3-S001|H3-S003|H4-S002|H4-S003|H5-S004|H5-S005	CHEO kann den kurzen Ergebniswert tragen; Stoffart kommt vom Besitzer
ANSATZ	Ansatz	PROCESS_STATE	der laufende Arbeitsansatz	11	f10r|f11r|f55v|f81v|f82r|f83r	H1-S001|H1-S002|H2-S001|H2-S002|H2-S003|H3-S001|H4-S002|H4-S004|B1-S002|B2-S011|B3-S004	OR nennt Ansatz, nicht sämtliche Zutaten
FLUESSIGKEIT	Flüssigkeit	OWNER_PROCESS_MEDIUM	die aktuelle Becken- oder Arbeitsflüssigkeit	17	f81v|f82r|f83r	B1-S018|B2-S006|B2-S010|B2-S012|B2-S013|B3-S001|B3-S003|B3-S008|B3-S015|B3-S020|B3-S023|B3-S026|B3-S030|B4-S001|B4-S005|B4-S012|B4-S015	kein generelles Wort WATER
BECKEN	Becken	VISIBLE_OWNER_NOUN	das sichtbar adressierte Becken	37	f81v|f82r|f83r	B1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S008|B1-S009|B1-S010|B1-S011|B1-S012|B1-S013|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S019|B1-S020|B1-S021|B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S006|B3-S007|B3-S009|B3-S011|B3-S017|B3-S026|B3-S030|B3-S031|B3-S034|B4-S016|B6-S001	nicht in AL, Y oder SOLK hineinlesen
GEFAESS	Gefäß	VISIBLE_OWNER_OR_NOMENCLATOR	das sichtbare oder gelernte Arbeitsgefäß	31	f10r|f55v|f81v|f82r|f83r	H1-S001|H2-S003|H4-S001|B1-S002|B1-S005|B1-S006|B1-S015|B1-S018|B2-S001|B2-S002|B2-S003|B2-S005|B2-S011|B3-S005|B3-S006|B3-S007|B3-S008|B3-S009|B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016|B3-S024|B3-S026|B3-S032|B4-S002|B4-S011|B4-S015	OS kann lokal Gefäß sein; andere Karten erben es nur
TUCH	Tuch	LEARNED_TOOL_OR_EXEMPLAR	das für den Durchgang vorgesehene Tuch	13	f10r|f11r|f56r|f81v|f82r|f83r	H2-S001|H3-S001|H5-S004|B1-S020|B2-S005|B2-S020|B3-S027|B4-S001|B4-S004|B4-S005|B4-S006|B4-S007|B6-S001	DAIN ist registergespalten; Tuch nicht global exportieren
OEFFNUNG	Öffnung	VISIBLE_OWNER_ADDRESS	die sichtbar bezeichnete Öffnung	7	f81v|f82r|f83r	B1-S017|B2-S004|B2-S010|B2-S017|B4-S008|B5-S003|B6-S001	AL und AR geben Richtung, nicht die Form der Öffnung
ABLAUF	Ablauf	VISIBLE_OWNER_PROCESS	der lokale sichtbare Auslauf	6	f81v|f82r|f83r	B1-S014|B2-S014|B3-S002|B3-S004|B3-S016|B4-S003	AIR/CKH nennen Lauf/Durchgang nur abstrakt
STELLE	Stelle	VISIBLE_OWNER_ADDRESS	die bezeichnete örtliche Stelle	31	f55v|f56r|f81v|f82r|f83r	H4-S004|H5-S001|H5-S002|B1-S001|B1-S005|B1-S009|B1-S010|B1-S014|B1-S018|B2-S002|B2-S006|B2-S008|B2-S010|B2-S012|B2-S020|B3-S006|B3-S011|B3-S013|B3-S021|B3-S026|B3-S027|B3-S028|B3-S029|B3-S034|B4-S002|B4-S003|B4-S004|B4-S008|B4-S014|B4-S015|B6-S001	AL trägt nur Ziel
TEIL	Teil	CARD_LEXICON	der abgeteilte Teil	23	f10r|f11r|f56r|f81v|f82r|f83r	H1-S001|H3-S002|H3-S003|H5-S006|B1-S002|B1-S006|B2-S003|B2-S006|B2-S010|B2-S011|B2-S015|B2-S016|B2-S018|B2-S019|B2-S021|B2-S022|B3-S013|B3-S022|B3-S026|B3-S030|B4-S003|B4-S011|B4-S015	TY liefert Teil; Besitzer liefert wovon
PORTION	Portion	CARD_LEXICON	eine abgeteilte Portion	9	f10r|f55v|f81v|f82r|f83r	H2-S002|H4-S002|B1-S008|B2-S003|B2-S012|B3-S003|B3-S021|B4-S014|B6-S001	AIN liefert Portion; Stoff bleibt Kontext
MASS	Maß	CARD_LEXICON	das örtliche Sollmaß	8	f10r|f11r|f55v|f56r	H1-S001|H2-S001|H2-S002|H3-S003|H4-S001|H4-S004|H5-S001|H5-S006	AIIN liefert Sollwert/Maß, keine konkrete Zahl
