owner_id	exact_visible_owner_de	owner_class	statement_count	pages	silent_subject_de	silent_active_item_de	silent_source_de	silent_target_de	teaching_rule_de
OWN-01	der ganzen breitblättrigen gezähnten Bildpflanze	PLANT_BATCH	5	f10r	diese Bildpflanze	der aktuell gezeigte Pflanzenteil	aus dieser Pflanze	am gezeigten Pflanzenteil	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-02	der ganzen dicht blau bekrönten Bildpflanze	PLANT_BATCH	4	f11r	diese Bildpflanze	der aktuell gezeigte Pflanzenteil	aus dieser Pflanze	am gezeigten Pflanzenteil	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-03	der ganzen breitblättrigen rispigen Bildpflanze	PLANT_BATCH	4	f55v	diese Bildpflanze	der aktuell gezeigte Pflanzenteil	aus dieser Pflanze	am gezeigten Pflanzenteil	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-04	der ganzen mehrköpfigen stacheligen Bildpflanze	PLANT_BATCH	6	f56r	diese Bildpflanze	der aktuell gezeigte Pflanzenteil	aus dieser Pflanze	am gezeigten Pflanzenteil	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-05	dem gemeinsamen zweireihigen Becken	BASIN_STATION	21	f81v	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-06	den oberen Paarbecken mit Zylinder	BASIN_STATION	6	f82r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-07	der mittleren linken Vorrichtung mit Zwischenknoten	BASIN_STATION	4	f82r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-08	der mittleren rechten Station	BASIN_STATION	1	f82r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-09	dem unteren grünen Mehrfigurenbecken	BASIN_STATION	3	f82r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-10	den Randstationen des unteren Beckens	BASIN_STATION	8	f82r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-11	der oberen offenen Fächerstation	BASIN_STATION	4	f83r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-12	der mittleren runden Gefäßstation	BASIN_STATION	5	f83r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-13	der unteren korbförmigen Gefäßstation	BASIN_STATION	6	f83r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-14	der Lücke zwischen Randstation und Hauptbogen	UNRESOLVED_GAP_STATION	10	f83r	diese Zwischenstelle	der dort eingetragene Posten	von der vorigen sichtbaren Station	zur folgenden sichtbaren Station	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-15	dem verbundenen Hauptbogenpaar	CONNECTED_STRUCTURE	19	f83r	dieses verbundene Bogenpaar	der laufende Verbindungsposten	vom sichtbaren oberen Anschluss	zum sichtbaren unteren oder seitlichen Anschluss	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-16	der linken offenen Randstation	BASIN_STATION	7	f83r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
OWN-17	der rechten S-förmigen Mehrfachstation	BASIN_STATION	3	f83r	diese Station	der aktuelle Stationsposten	aus dem sichtbaren Einlauf oder Gefäß	zur sichtbaren Öffnung oder Schale	Beim Besitzerwechsel diese vier Wendungen umstellen; die Kartenwerte unverändert lassen.
