unit_id	page	visible_owner	surface_sequence	card_by_card_reading_de	fluent_working_reading_de	content_phrase_ids	content_source_classes	silent_phrase_count	teaching_instruction_de
H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	PFLANZE|WURZEL|WASSER|AUSZUG|ANSATZ|GEFAESS|TEIL|MASS	CARD_LEXICON|MASTER_EXEMPLAR_MATERIAL|OWNER_PLUS_ARTICLE_DETAIL|PROCESS_RESULT|PROCESS_STATE|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	8	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H1-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	qokchy qotchol chol cthy	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	AUSZUG|ANSATZ	PROCESS_RESULT|PROCESS_STATE	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H2-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	PFLANZE|BLUETE|KRAUT|OEL|SAFT|ANSATZ|TUCH|MASS	CARD_LEXICON|LEARNED_TOOL_OR_EXEMPLAR|MASTER_EXEMPLAR_MATERIAL|OWNER_PLUS_ARTICLE_DETAIL|PROCESS_STATE|VISIBLE_OWNER_NOUN	8	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H2-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	qotchor chor otol chol cholor chol daiin dar	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	BLUETE|ANSATZ|PORTION|MASS	CARD_LEXICON|OWNER_PLUS_ARTICLE_DETAIL|PROCESS_STATE	4	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H2-S003	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	oykchor shor chor chy kaiiin dy chodaiin	aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	ANSATZ|GEFAESS	PROCESS_STATE|VISIBLE_OWNER_OR_NOMENCLATOR	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	PFLANZE|BLUETE|WEIN|AUSZUG|ANSATZ|TUCH	LEARNED_TOOL_OR_EXEMPLAR|MASTER_EXEMPLAR_MATERIAL|OWNER_PLUS_ARTICLE_DETAIL|PROCESS_RESULT|PROCESS_STATE|VISIBLE_OWNER_NOUN	6	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H3-S002	f11r	der ganzen dicht blau bekrönten Bildpflanze	shoyty	Zutatenteil	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	BLUETE|TEIL	CARD_LEXICON|OWNER_PLUS_ARTICLE_DETAIL	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	dchol chy kchy dy daiin	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	AUSZUG|TEIL|MASS	CARD_LEXICON|PROCESS_RESULT	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	qotchy okchol cthy dy	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	BLUETE|OEL	MASTER_EXEMPLAR_MATERIAL|OWNER_PLUS_ARTICLE_DETAIL	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H4-S001	f55v	der ganzen breitblättrigen rispigen Bildpflanze	qokaiin chaiin ykain ykan ody	auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	PFLANZE|WEIN|GEFAESS|MASS	CARD_LEXICON|MASTER_EXEMPLAR_MATERIAL|VISIBLE_OWNER_NOUN|VISIBLE_OWNER_OR_NOMENCLATOR	4	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H4-S002	f55v	der ganzen breitblättrigen rispigen Bildpflanze	daiin chedy talam	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	AUSZUG|ANSATZ|PORTION	CARD_LEXICON|PROCESS_RESULT|PROCESS_STATE	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H4-S003	f55v	der ganzen breitblättrigen rispigen Bildpflanze	ykaiin cheoar cheeky oldy	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	AUSZUG	PROCESS_RESULT	1	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H4-S004	f55v	der ganzen breitblättrigen rispigen Bildpflanze	aiin okal oltchy or y orain	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	ANSATZ|STELLE|MASS	CARD_LEXICON|PROCESS_STATE|VISIBLE_OWNER_ADDRESS	3	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H5-S001	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	PFLANZE|BLUETE|KRAUT|STELLE|MASS	CARD_LEXICON|OWNER_PLUS_ARTICLE_DETAIL|VISIBLE_OWNER_ADDRESS|VISIBLE_OWNER_NOUN	5	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
H5-S002	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	schol choy choky cheeckhody	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	WASSER|STELLE	MASTER_EXEMPLAR_MATERIAL|VISIBLE_OWNER_ADDRESS	2	Erst Karten lesen; danach nur die hier markierten Besitzer-/Exemplarwendungen einsetzen.
