record	event_id	candidate_de	local_sequence_fit	independent_support	brevity	total	decision
H1	E001	KNOLLE	4	4	4	12	SELECT
H1	E001	WURZEL	4	3	4	11	KEEP_RIVAL
H1	E001	SPEICHERWURZEL	4	4	2	10	KEEP_PICTURE_RIVAL
H1	E001	TEIL	2	4	4	10	REJECT_TOO_GENERIC
H2	E032	GLASIERTES GEFÄSS	4	1	2	7	REJECT_UNSEEN_SURFACE
H2	E032	SCHÜSSEL	4	4	4	12	SELECT
H2	E032	MISCHGEFÄSS	4	4	3	11	KEEP_FUNCTION_RIVAL
H2	E032	MÖRSER	3	3	4	10	KEEP_TOOL_RIVAL
H3	E039	BLÜTENKRAUT	4	4	4	12	SELECT
H3	E039	BLÜTEN	4	3	4	11	KEEP_RIVAL
H3	E039	KRONE	3	4	4	11	KEEP_PICTURE_RIVAL
H3	E039	KRAUT	3	4	4	11	KEEP_GENERIC_RIVAL
H4	E060	ABKÜHLEN	4	4	4	12	SELECT
H4	E060	RUHEN	3	3	4	10	KEEP_RIVAL
H4	E060	BEISEITE	2	3	4	9	REJECT_NO_OPERATION
H4	E060	SCHLIESSEN	2	2	4	8	REJECT_DUPLICATES_CLOSE
H5	E096	GEBRAUCHSAUSZUG	3	2	2	7	REJECT_REDUNDANT_PRODUCT
H5	E096	AUSZUG	3	3	4	10	KEEP_PRODUCT_RIVAL
H5	E096	AUSZIEHEN	4	4	4	12	SELECT
H5	E096	ABSEIHEN	3	2	4	9	REJECT_DUPLICATES_PRIOR_STRAIN
