identity	surface	old_default_de	new_whole_word_de	master_unit_id	unit	owner_de	left_value_de	right_value_de
PROC093	teol	EIN KURZER ARBEITSGANG · WEITER	KURZ WEITERARBEITEN	MU019	B1-S017	gemeinsame zweireihige Figuren-/Beckenstation	ZIELSTELLE	UMSETZEN · SCHLUSS
PROC094	dchdy	UMSETZEN · SCHLUSS	UMSETZEN UND SCHLIESSEN	MU019	B1-S017	gemeinsame zweireihige Figuren-/Beckenstation	EIN KURZER ARBEITSGANG · WEITER	UNIT_END
PROC095	ly	LEITEN · POSTEN	POSTEN LEITEN	MU020	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	UNIT_START	HALTEN · EIN KURZER ARBEITSGANG · WEITER
PROC096	dsheol	HALTEN · EIN KURZER ARBEITSGANG · WEITER	KURZ WEITERHALTEN	MU020	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	LEITEN · POSTEN	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE
PROC136	shecthedchy	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · UMSETZEN · POSTEN	KURZ BEREITHALTEN UND UMSETZEN	MU064	B3-S011	untere Randfigur im korbartigen Gefäß	UNIT_START	ANSETZEN · POSTEN
PROC137	chary	QUELLE · POSTEN	AUS DER QUELLE NEHMEN	MU064	B3-S011	untere Randfigur im korbartigen Gefäß	UMSETZEN · POSTEN	UNIT_END
PROC143	shecthy	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · POSTEN	KURZ BEREITHALTEN	MU074	B3-S021	unverbundener Zwischenbereich	STEHENLASSEN · ZIELSTELLE	POSTEN
PROC144	dalchdy	ZIELSTELLE · UMSETZEN · SCHLUSS	AN DER ZIELSTELLE UMSETZEN UND SCHLIESSEN	MU074	B3-S021	unverbundener Zwischenbereich	BEREITEN · POSTEN	UNIT_END
PROC151	chedain	UMSETZEN · EIN ABGEGRENZTER TEIL	EINE PORTION UMSETZEN	MU085	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	UNIT_START	UMSETZEN · POSTEN
PROC152	qotedaiin	DANACH · EIN KURZER ARBEITSGANG · EIN KLEINER SCHOEPFBECHER	DANACH KURZ NACH SOLLMASS	MU085	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	UMSETZEN · POSTEN	DANACH · EIN KLEINER SCHOEPFBECHER
PROC044	ykaiin	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER	SOLLMASS ZUGEBEN	MU091	H4-S003	Bildprodukt C.W2	UNIT_START	ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE
PROC045	cheoar	ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE	KURZ AUS DER QUELLE ENTNEHMEN	MU091	H4-S003	Bildprodukt C.W2	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER	WARMHALTEN
PROC049	oltchy	WEITER · BEARBEITEN · POSTEN	POSTEN WEITERBEARBEITEN	MU092	H4-S004	Bildprodukt C.W2	ANSETZEN · ZIELSTELLE	ANSATZ
PROC050	orain	ANSATZ · EIN ABGEGRENZTER TEIL	ANSATZPORTION	MU092	H4-S004	Bildprodukt C.W2	POSTEN	UNIT_END
PROC158	okeeol	ANSETZEN · DREI KURZE ARBEITSGAENGE · WEITER	LAENGER WEITERANSETZEN	MU103	B4-S011	linke Hauptstation mit offenem Fransenlauf	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	ANSETZEN · EIN ABGEGRENZTER TEIL
PROC159	lkedy	KURZ WEITERLEITEN UND SCHLIESSEN	KURZ WEITERLEITEN UND SCHLIESSEN	MU103	B4-S011	linke Hauptstation mit offenem Fransenlauf	WEITER	UNIT_END
PROC161	qockhey	DEN POSTEN KURZ DURCH DEN DURCHLASS FUEHREN	KURZ DURCH DEN DURCHLASS FUEHREN	MU106	B4-S014	linke Hauptstation mit offenem Fransenlauf	POSTEN	WASSER · POSTEN · SCHLUSS
PROC162	dairydy	WASSER · POSTEN · SCHLUSS	WASSERPOSTEN SCHLIESSEN	MU106	B4-S014	linke Hauptstation mit offenem Fransenlauf	DEN POSTEN KURZ DURCH DEN DURCHLASS FUEHREN	UNIT_END
PROC163	chckhal	ENTNEHMEN · DURCHLASS · ZIELSTELLE	AM ZIELDURCHLASS ENTNEHMEN	MU107	B4-S015	linke Hauptstation mit offenem Fransenlauf -> rechte Hauptstation mit S-Lauf und Mehrarmknoten	ZUGEBEN · EIN ABGEGRENZTER TEIL	SAMMELN · EIN KURZER ARBEITSGANG · POSTEN
PROC164	solkey	SAMMELN · EIN KURZER ARBEITSGANG · POSTEN	KURZ SAMMELN	MU107	B4-S015	linke Hauptstation mit offenem Fransenlauf -> rechte Hauptstation mit S-Lauf und Mehrarmknoten	ENTNEHMEN · DURCHLASS · ZIELSTELLE	LEITEN · UMSETZEN · SCHLUSS
PROC056	choy	ZUTAT · POSTEN	ZUTAT WEITERFUEHREN	MU116	H5-S002	Bildprodukt D.P1	DAVON	ANSETZEN · POSTEN
PROC057	cheeckhody	ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	LANG DURCHZIEHEN UND SCHLIESSEN	MU116	H5-S002	Bildprodukt D.P1	ANSETZEN · POSTEN	UNIT_END
