identity	house_surface	component_recipe	short_value_de	marks	orders	order_count	sections	apprentice_action	semantic_revision	old_short_value_de	second_lesson	third_lesson	fourth_lesson
A1:G001	ykshy	Y+K+Y	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C1@f67r2.1	1	WH06	1	WHEN	COPY_LOCAL_MODEL	NO	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C1@f67r2.1	NO_CHANGE	NO_CHANGE	NO_CHANGE
A1:G002	s	S_LABEL	BEDINGUNGSTEIL 2 VON C1@f67r2.1 KOPIEREN	1	WH06	1	WHEN	COPY_LOCAL_MODEL	NO	BEDINGUNGSTEIL 2 VON C1@f67r2.1 KOPIEREN	NO_CHANGE	NO_CHANGE	NO_CHANGE
A1:G003	aram	AR+AM_ADDR	VON · BEDINGUNGSTEIL 3 VON C1@f67r2.1	1	WH06	1	WHEN	COPY_LOCAL_MODEL	NO	VON · BEDINGUNGSTEIL 3 VON C1@f67r2.1	NO_CHANGE	NO_CHANGE	NO_CHANGE
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	VON DER TEILADRESSE WEITER ZUM STERNBEZUG; DEN LOKALEN ARBEITSGANG SCHLIESSEN	1	WH03	1	WHEN	COPY_LOCAL_MODEL	NO	VON DER TEILADRESSE WEITER ZUM STERNBEZUG; DEN LOKALEN ARBEITSGANG SCHLIESSEN	NO_CHANGE	NO_CHANGE	NO_CHANGE
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C3@f68r1.9	1	WH05	1	WHEN	COPY_LOCAL_MODEL	NO	KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C3@f68r1.9	NO_CHANGE	NO_CHANGE	NO_CHANGE
A3:G041	yka	Y+K+A_ADDR	DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL	NO	DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE
A3:G042	chol	OL	WEITER	1	WH01	1	WHEN	COPY_LOCAL_MODEL	NO	WEITER	NO_CHANGE	NO_CHANGE	NO_CHANGE
A3:G043	ykar	Y+K+AR	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 3 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL	NO	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 3 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE
A3:G044	dal	AL	AN	1	WH01	1	WHEN	COPY_LOCAL_MODEL	NO	AN	NO_CHANGE	NO_CHANGE	NO_CHANGE
A3:G045	ykady	Y+K+A_ADDR+Y	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 5 VON C5@f69v.2	1	WH01	1	WHEN	COPY_LOCAL_MODEL	NO	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 5 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE
