order_id	master_unit_id	unit	page	owner_de	gap_surfaces	gap_identities	new_whole_words_de	complete_reading_de
WH01	MU019	B1-S017	f81v	gemeinsame zweireihige Figuren-/Beckenstation	teol dchdy	PROC093 PROC094	KURZ WEITERARBEITEN | UMSETZEN UND SCHLIESSEN	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.
WH01	MU020	B1-S018	f81v	gemeinsame zweireihige Figuren-/Beckenstation	ly dsheol	PROC095 PROC096	POSTEN LEITEN | KURZ WEITERHALTEN	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.
WH03	MU064	B3-S011	f83r	untere Randfigur im korbartigen Gefäß	shecthedchy chary	PROC136 PROC137	KURZ BEREITHALTEN UND UMSETZEN | AUS DER QUELLE NEHMEN	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.
WH03	MU074	B3-S021	f83r	unverbundener Zwischenbereich	shecthy dalchdy	PROC143 PROC144	KURZ BEREITHALTEN | AN DER ZIELSTELLE UMSETZEN UND SCHLIESSEN	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
WH03	MU085	B3-S032	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	chedain qotedaiin	PROC151 PROC152	EINE PORTION UMSETZEN | DANACH KURZ NACH SOLLMASS	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
WH04	MU091	H4-S003	f55v	Bildprodukt C.W2	ykaiin cheoar	PROC044 PROC045	SOLLMASS ZUGEBEN | KURZ AUS DER QUELLE ENTNEHMEN	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
WH04	MU092	H4-S004	f55v	Bildprodukt C.W2	oltchy orain	PROC049 PROC050	POSTEN WEITERBEARBEITEN | ANSATZPORTION	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
WH04	MU103	B4-S011	f83r	linke Hauptstation mit offenem Fransenlauf	okeeol lkedy	PROC158 PROC159	LAENGER WEITERANSETZEN | KURZ WEITERLEITEN UND SCHLIESSEN	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
WH04	MU106	B4-S014	f83r	linke Hauptstation mit offenem Fransenlauf	qockhey dairydy	PROC161 PROC162	KURZ DURCH DEN DURCHLASS FUEHREN | WASSERPOSTEN SCHLIESSEN	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.
WH04	MU107	B4-S015	f83r	linke Hauptstation mit offenem Fransenlauf -> rechte Hauptstation mit S-Lauf und Mehrarmknoten	chckhal solkey	PROC163 PROC164	AM ZIELDURCHLASS ENTNEHMEN | KURZ SAMMELN	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.
WH06	MU116	H5-S002	f56r	Bildprodukt D.P1	choy cheeckhody	PROC056 PROC057	ZUTAT WEITERFUEHREN | LANG DURCHZIEHEN UND SCHLIESSEN	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
