record_unit_id	page	shared_events	habit_matches	habit_local_choices	exact_surface_matches	same_habit_second_spellings	local_habit_and_spelling_choices	rules_used	master_card_failures
H1	f10r	7	5	2	3	2	2	H_FIELD_CLOSE:1|H_FIELD_INTERIOR:5|H_FIELD_OPEN:1	0
H2	f10r	17	10	7	6	4	7	H_FIELD_CLOSE:2|H_FIELD_INTERIOR:14|H_FIELD_OPEN:1	0
H3	f11r	7	3	4	2	1	4	H_FIELD_CLOSE:2|H_FIELD_INTERIOR:4|H_FIELD_OPEN:1	0
H4	f55v	10	7	3	6	1	3	H_FIELD_CLOSE:1|H_FIELD_INTERIOR:6|H_FIELD_OPEN:3	0
H5	f56r	14	13	1	13	0	1	H_FIELD_CLOSE:3|H_FIELD_INTERIOR:6|H_FIELD_OPEN:5	0
B1	f81v	49	33	16	31	2	16	B_FIELD_AND_LINE_CLOSE:2|B_FIELD_CLOSE_INSIDE_LINE:7|B_FIELD_INTERIOR:22|B_FIELD_OPEN:9|B_LINE_FIELD_OPEN:1|B_SINGLE_CELL:8	0
B2	f82r	36	28	8	27	1	8	B_FIELD_AND_LINE_CLOSE:4|B_FIELD_CLOSE_INSIDE_LINE:5|B_FIELD_INTERIOR:12|B_FIELD_OPEN:5|B_LINE_FIELD_OPEN:4|B_SINGLE_CELL:6	0
B3	f83r	63	49	14	41	8	14	B_FIELD_AND_LINE_CLOSE:4|B_FIELD_CLOSE_INSIDE_LINE:8|B_FIELD_INTERIOR:23|B_FIELD_OPEN:10|B_LINE_FIELD_OPEN:3|B_SINGLE_CELL:15	0
B4	f83r	36	29	7	27	2	7	B_FIELD_AND_LINE_CLOSE:5|B_FIELD_CLOSE_INSIDE_LINE:5|B_FIELD_INTERIOR:11|B_FIELD_OPEN:2|B_LINE_FIELD_OPEN:7|B_SINGLE_CELL:6	0
B5	f83r	7	4	3	3	1	3	B_FIELD_AND_LINE_CLOSE:2|B_FIELD_INTERIOR:1|B_LINE_FIELD_OPEN:2|B_SINGLE_CELL:2	0
B6	f83r	5	1	4	1	0	4	B_FIELD_AND_LINE_CLOSE:1|B_FIELD_INTERIOR:3|B_LINE_FIELD_OPEN:1	0
