component_recipe	effective_grade	grade_reading_de	events	exact_cards	surfaces	matching_surface_events	contracted_surface_events	working_reading_de
CH+E+O+AR	E	KURZ	1	1	cheoar	1	0	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE
CH+E+S	E	KURZ	1	1	ches	1	0	ENTNEHMEN · KURZ · TEIL
CH+E+Y	E	KURZ	1	1	dchey	1	0	ENTNEHMEN · KURZ · DIES
CH+EE+CKH+O+DY	EE	LANG	1	1	cheeckhody	1	0	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS
CHK+E+Y	E	KURZ	3	1	cheky	3	0	WAERMEN · KURZ · DIES
CHK+EE+DY	EE	LANG	1	1	chkeedy	1	0	WAERMEN · LANG · SCHLUSS
CHK+EE+Y	EE	LANG	3	2	cheeky,chkeey	3	0	WAERMEN · LANG · DIES
CTH+E+Y	E	KURZ	2	1	qcthey,shcthey	2	0	BEREITEN · KURZ · DIES
E+K+E+Y	E	KURZ	1	1	qekey	1	0	KURZ · ZUGEBEN · KURZ · DIES
E+OL	E	KURZ	1	1	teol	1	0	KURZ · WEITER
E+T+Y	E	KURZ	1	1	etyd	1	0	KURZ · ANWENDEN · DIES
EE+AR	EE	LANG	1	1	cheedar	1	0	LANG · QUELLE
EEE+T+Y	EEE	VOLL	1	1	cheeety	1	0	VOLL · ANWENDEN · DIES
K+E+OL	E	KURZ	1	1	keol	1	0	ZUGEBEN · KURZ · WEITER
K+E+Y	E	KURZ	1	1	kchey	1	0	ZUGEBEN · KURZ · DIES
L+CKH+E+DY	E	KURZ	1	1	lcheckhedy	1	0	LEITEN · DURCHLASS · KURZ · SCHLUSS
L+EE+Y	EE	LANG	1	1	lcheey	1	0	LEITEN · LANG · DIES
L+K+E+DY	E	KURZ	1	1	lkedy	1	0	LEITEN · ZUGEBEN · KURZ · SCHLUSS
LSH+E+DY	E	KURZ	2	1	lshedy	2	0	WASCHEN · KURZ · SCHLUSS
O+CKH+E+Y	E	KURZ	1	1	qockhey	1	0	ARBEITSGANG · DURCHLASS · KURZ · DIES
O+CTH+E+OL	E	KURZ	1	1	octheol	1	0	ARBEITSGANG · BEREITEN · KURZ · WEITER
OK+CH+E+O	E	KURZ	1	1	chokcheo	1	0	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG
OK+E+DY	E	KURZ	8	1	qokedy	8	0	ANSETZEN · KURZ · SCHLUSS
OK+E+Y	E	KURZ	2	1	okey,qokey	2	0	ANSETZEN · KURZ · DIES
OK+EE+AL	EE	LANG	1	1	qokeedal	1	0	ANSETZEN · LANG · ZIELSTELLE
OK+EE+DY	EE	LANG	10	1	qokeedy	10	0	ANSETZEN · LANG · SCHLUSS
OK+EE+OL	EE	LANG	1	1	okeeol	1	0	ANSETZEN · LANG · WEITER
OK+EE+Y	EE	LANG	7	1	okeey,qokeey	7	0	ANSETZEN · LANG · DIES
OK+EEE+DY	EEE	VOLL	1	1	qokeeedy	1	0	ANSETZEN · VOLL · SCHLUSS
OK+SH+E+DY	E	KURZ	1	1	qokshedy	1	0	ANSETZEN · HALTEN · KURZ · SCHLUSS
OL+SH+E+DY	E	KURZ	1	1	solshedy	1	0	WEITER · HALTEN · KURZ · SCHLUSS
OT+E+AIIN	E	KURZ	1	1	qotedaiin	1	0	DANACH · KURZ · SOLLMASS
OT+E+DY	E	KURZ	2	1	otedy	2	0	DANACH · KURZ · SCHLUSS
OT+EE+DY	EE	LANG	2	1	qoteedy	2	0	DANACH · LANG · SCHLUSS
OT+EE+Y	EE	LANG	2	1	oteey	2	0	DANACH · LANG · DIES
R+SH+E+AL	E	KURZ	1	1	rsheal	1	0	KUEHLEN · HALTEN · KURZ · ZIELSTELLE
SH+CKH+E+DY	E	KURZ	3	1	shckhedy	3	0	HALTEN · DURCHLASS · KURZ · SCHLUSS
SH+E+CKH+AL	E	KURZ	1	1	sheckhal	1	0	HALTEN · KURZ · DURCHLASS · ZIELSTELLE
SH+E+CKH+Y	E	KURZ	1	1	sheckhy	1	0	HALTEN · KURZ · DURCHLASS · DIES
SH+E+CTH+CHD+Y	E	KURZ	1	1	shecthedchy	1	0	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES
SH+E+CTH+Y	E	KURZ	1	1	shecthy	1	0	HALTEN · KURZ · BEREITEN · DIES
SH+E+DY	E	KURZ	1	1	dshedy	1	0	HALTEN · KURZ · SCHLUSS
SH+E+OL	E	KURZ	1	1	dsheol	1	0	HALTEN · KURZ · WEITER
SH+E+Y	E	KURZ	1	1	tshey	1	0	HALTEN · KURZ · DIES
SH+EE+DY	EE	LANG	1	1	sheedy	1	0	HALTEN · LANG · SCHLUSS
SH+EE+Y	EE	LANG	5	2	cheey,sheey,shey	3	2	HALTEN · LANG · DIES
SOLK+E+Y	E	KURZ	1	1	solkey	1	0	SAMMELSTELLE · KURZ · DIES
SOLK+EE+DY	EE	LANG	3	1	olkeedy,solkeedy	3	0	SAMMELSTELLE · LANG · SCHLUSS
SOLK+EE+Y	EE	LANG	1	1	solkeey	1	0	SAMMELSTELLE · LANG · DIES
T+E+Y	E	KURZ	1	1	ytey	1	0	ANWENDEN · KURZ · DIES
Y+CH+E+OR	E	KURZ	1	1	ycheor	1	0	DIES · ENTNEHMEN · KURZ · ANSATZ
