event_id	page	record	statement_id	exact_card_id	surface	component_recipe	grade_tokens	effective_grade	grade_reading_de	visible_max_e_run	expected_e_run	surface_matches_grade_length	working_reading_de
E001	f10r	H1	H1-S001	PROC001	dchey	CH+E+Y	E	E	KURZ	1	1	YES	ENTNEHMEN · KURZ · DIES
E010	f10r	H1	H1-S001	PROC010	etyd	E+T+Y	E	E	KURZ	1	1	YES	KURZ · ANWENDEN · DIES
E015	f10r	H2	H2-S001	PROC015	ycheor	Y+CH+E+OR	E	E	KURZ	1	1	YES	DIES · ENTNEHMEN · KURZ · ANSATZ
E044	f11r	H3	H3-S001	PROC031	shey	SH+EE+Y	EE	EE	LANG	1	2	NO	HALTEN · LANG · DIES
E065	f55v	H4	H4-S003	PROC045	cheoar	CH+E+O+AR	E	E	KURZ	1	1	YES	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE
E066	f55v	H4	H4-S003	PROC046	cheeky	CHK+EE+Y	EE	EE	LANG	2	2	YES	WAERMEN · LANG · DIES
E086	f56r	H5	H5-S002	PROC057	cheeckhody	CH+EE+CKH+O+DY	EE	EE	LANG	2	2	YES	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS
E089	f56r	H5	H5-S003	PROC059	kchey	K+E+Y	E	E	KURZ	1	1	YES	ZUGEBEN · KURZ · DIES
E092	f56r	H5	H5-S004	PROC061	chokcheo	OK+CH+E+O	E	E	KURZ	1	1	YES	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG
E099	f56r	H5	H5-S006	PROC066	keol	K+E+OL	E	E	KURZ	1	1	YES	ZUGEBEN · KURZ · WEITER
E101	f81v	B1	B1-S001	PROC067	qokedy	OK+E+DY	E	E	KURZ	1	1	YES	ANSETZEN · KURZ · SCHLUSS
E115	f81v	B1	B1-S002	PROC073	sheckhal	SH+E+CKH+AL	E	E	KURZ	1	1	YES	HALTEN · KURZ · DURCHLASS · ZIELSTELLE
E117	f81v	B1	B1-S002	PROC074	qokeedal	OK+EE+AL	EE	EE	LANG	2	2	YES	ANSETZEN · LANG · ZIELSTELLE
E134	f81v	B1	B1-S008	PROC083	cheky	CHK+E+Y	E	E	KURZ	1	1	YES	WAERMEN · KURZ · DIES
