event_id	page	record	statement_id	exact_card_id	surface	component_recipe	visible_max_e_run	non_grade_mechanism	working_reading_de	grade_reading_added
E062	f55v	H4	H4-S002	PROC042	chedy	CHD+Y	1	E_EMBEDDED_IN_CHED_CORE	UMSETZEN · DIES	NONE
E098	f56r	H5	H5-S006	PROC065	otchey	OT+Y	1	E_IN_WRAPPER_OR_OTHER_WHOLE_CORE	DANACH · DIES	NONE
E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	1	E_EMBEDDED_IN_CHED_CORE	UMSETZEN · SCHLUSS	NONE
E123	f81v	B1	B1-S004	PROC042	chedy	CHD+Y	1	E_EMBEDDED_IN_CHED_CORE	UMSETZEN · DIES	NONE
E125	f81v	B1	B1-S004	PROC078	shedy	SHED+DY	1	E_EMBEDDED_IN_SHED_CORE	ABSETZEN · SCHLUSS	NONE
E126	f81v	B1	B1-S005	PROC079	qolchedy	OL+CHD+DY	1	E_EMBEDDED_IN_CHED_CORE	WEITER · UMSETZEN · SCHLUSS	NONE
E132	f81v	B1	B1-S008	PROC019	chey	Y	1	E_IN_WRAPPER_OR_OTHER_WHOLE_CORE	DIES	NONE
E136	f81v	B1	B1-S008	PROC078	shedy	SHED+DY	1	E_EMBEDDED_IN_SHED_CORE	ABSETZEN · SCHLUSS	NONE
E145	f81v	B1	B1-S014	PROC042	chedy	CHD+Y	1	E_EMBEDDED_IN_CHED_CORE	UMSETZEN · DIES	NONE
E147	f81v	B1	B1-S014	PROC088	lchedal	L+CHD+AL	1	E_EMBEDDED_IN_CHED_CORE	LEITEN · UMSETZEN · ZIELSTELLE	NONE
E151	f81v	B1	B1-S015	PROC091	okchedy	OK+CHD+DY	1	E_EMBEDDED_IN_CHED_CORE	ANSETZEN · UMSETZEN · SCHLUSS	NONE
E155	f81v	B1	B1-S016	PROC078	cheedy	SHED+DY	2	E_EMBEDDED_IN_SHED_CORE	ABSETZEN · SCHLUSS	NONE
E163	f81v	B1	B1-S019	PROC078	tedy	SHED+DY	1	E_EMBEDDED_IN_SHED_CORE	ABSETZEN · SCHLUSS	NONE
E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	1	E_EMBEDDED_IN_CHED_CORE	UMSETZEN · SCHLUSS	NONE
E168	f82r	B2	B2-S002	PROC079	qolchedy	OL+CHD+DY	1	E_EMBEDDED_IN_CHED_CORE	WEITER · UMSETZEN · SCHLUSS	NONE
E173	f82r	B2	B2-S004	PROC101	lcheckhy	L+CKH+Y	1	E_IN_WRAPPER_OR_OTHER_WHOLE_CORE	LEITEN · DURCHLASS · DIES	NONE
E174	f82r	B2	B2-S004	PROC102	lched	L+CHD	1	E_EMBEDDED_IN_CHED_CORE	LEITEN · UMSETZEN	NONE
E192	f82r	B2	B2-S008	PROC078	shedy	SHED+DY	1	E_EMBEDDED_IN_SHED_CORE	ABSETZEN · SCHLUSS	NONE
E208	f82r	B2	B2-S012	PROC019	chey	Y	1	E_IN_WRAPPER_OR_OTHER_WHOLE_CORE	DIES	NONE
E210	f82r	B2	B2-S013	PROC120	lchedy	L+CHD+DY	1	E_EMBEDDED_IN_CHED_CORE	LEITEN · UMSETZEN · SCHLUSS	NONE
E214	f82r	B2	B2-S016	PROC055	cheal	AL	1	E_IN_WRAPPER_OR_OTHER_WHOLE_CORE	ZIELSTELLE	NONE
E215	f82r	B2	B2-S016	PROC123	lchedar	L+CHD+AR	1	E_EMBEDDED_IN_CHED_CORE	LEITEN · UMSETZEN · QUELLE	NONE
