model	edition	paragraph	at	word	input	input_status	recipient	recipient_word
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT	ZL3b|f18v.1|G002	shor
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	ZL3b|f18v.6|G005	chy
UG	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	qoteey	ASSUMED_MATERIAL	ZL3b|f19v.3|G001	otchy
UG	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G004	qotchy		MISSING_INPUT	ZL3b|f56r.10|G009	okaiin
UG	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	ZL3b|f56r.15|G004	cthy
UG	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT		
UG	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	IT2a|f18v.6|G005	chy
UG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	qoteey	ASSUMED_MATERIAL	IT2a|f19v.3|G001	otchy
UG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.14|G003	qotchy		MISSING_INPUT	IT2a|f56r.11|G005	chor
UG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	IT2a|f56r.15|G003	cthy
UM	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT	ZL3b|f18v.1|G002	shor
UM	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	ZL3b|f18v.6|G005	chy
UM	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	qoteey	ASSUMED_MATERIAL	ZL3b|f19v.3|G001	otchy
UM	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G004	qotchy		MISSING_INPUT	ZL3b|f56r.10|G009	okaiin
UM	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	ZL3b|f56r.15|G004	cthy
UM	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT		
UM	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	IT2a|f18v.6|G005	chy
UM	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	qoteey	ASSUMED_MATERIAL	IT2a|f19v.3|G001	otchy
UM	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.14|G003	qotchy		MISSING_INPUT	IT2a|f56r.11|G005	chor
UM	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	IT2a|f56r.15|G003	cthy
QG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT	ZL3b|f18v.1|G002	shor
QG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	ZL3b|f18v.6|G005	chy
QG	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	qoteey	WRONG_KNOWN_ROLE	ZL3b|f19v.3|G001	otchy
QG	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G004	qotchy		MISSING_INPUT	ZL3b|f56r.10|G009	okaiin
QG	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	ZL3b|f56r.15|G004	cthy
QG	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT		
QG	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	IT2a|f18v.6|G005	chy
QG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	qoteey	WRONG_KNOWN_ROLE	IT2a|f19v.3|G001	otchy
QG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.14|G003	qotchy		MISSING_INPUT	IT2a|f56r.11|G005	chor
QG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	IT2a|f56r.15|G003	cthy
QM	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT	ZL3b|f18v.1|G002	shor
QM	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	ZL3b|f18v.6|G005	chy
QM	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	qoteey	WRONG_KNOWN_ROLE	ZL3b|f19v.3|G001	otchy
QM	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.14|G004	qotchy		MISSING_INPUT	ZL3b|f56r.10|G009	okaiin
QM	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	ZL3b|f56r.15|G004	cthy
QM	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.4|G001	qotchy	qokay	UNKNOWN_INPUT		
QM	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.9|G002	qotchy	qokchy	UNKNOWN_INPUT	IT2a|f18v.6|G005	chy
QM	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G001	qotchy	qoteey	WRONG_KNOWN_ROLE	IT2a|f19v.3|G001	otchy
QM	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.14|G003	qotchy		MISSING_INPUT	IT2a|f56r.11|G005	chor
QM	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.16|G001	qotchy	chody	UNKNOWN_INPUT	IT2a|f56r.15|G003	cthy
