model	edition	paragraph	at	word	hypothesis
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G001	told	⟦told⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G002	shor	Früchte
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G003	ytshy	⟦ytshy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G004	otchdal	⟦otchdal⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G005	dchal	⟦dchal⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G006	dchy	⟦dchy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.1|G007	ytdg	⟦ytdg⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G001	qoeees	⟦qoeees⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G002	or	⟦or⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G003	oaiin	⟦oaiin⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G004	shy@140;	⟦shy@140;⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G005	okshy	⟦okshy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G006	qokchy	⟦qokchy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G007	qokchy	⟦qokchy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G008	s	und
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.2|G009	g	⟦g⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.3|G001	orshy	⟦orshy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.3|G002	qoky	⟦qoky⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.3|G003	qoky	⟦qoky⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.3|G004	chkchy	⟦chkchy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.3|G005	qokshy	⟦qokshy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.3|G006	qokam	⟦qokam⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G001	qotchy	zugeben
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G002	qokay	⟦qokay⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G003	qokchy	⟦qokchy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G004	ykcho	⟦ykcho⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G005	ydl	⟦ydl⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.4|G006	dar	⟦dar⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.5|G001	ychoees	⟦ychoees⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.5|G002	ykchy	⟦ykchy⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.5|G003	qol	⟦qol⟧
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.5|G004	kchy	⟦kchy⟧
