model	edition	paragraph	at	word	value	material	material_word	quality	quality_word	status	dimension
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.7|G005	daiin	C	ZL3b|f18v.6|G005	chy			MISSING_QUALITY	G
UG	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.10|G003	dair	A	ZL3b|f18v.6|G005	chy			MISSING_QUALITY	G
UG	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G003	daiin	C	ZL3b|f19v.3|G001	otchy	ZL3b|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.4|G004	daiin	C	ZL3b|f19v.3|G001	otchy	ZL3b|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.4|G005	daiin	C	ZL3b|f19v.3|G001	otchy	ZL3b|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G003	daiin	C	ZL3b|f19v.5|G002	qoteey			MISSING_QUALITY	G
UG	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.1|G007	dair	A	ZL3b|f2v.1|G006	chor			MISSING_QUALITY	G
UG	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.2|G009	daiin	C	ZL3b|f2v.2|G008	chor			MISSING_QUALITY	G
UG	ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G008	daiin	C	ZL3b|f2v.3|G002	chor	ZL3b|f2v.3|G004	chol	ASSUMED_BOUND	G
UG	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.11|G003	daiin	C	ZL3b|f56r.10|G009	okaiin			MISSING_QUALITY	G
UG	ZL3b	f56r|f56r.9-f56r.19	ZL3b|f56r.19|G003	daiin	C	ZL3b|f56r.15|G004	cthy			MISSING_QUALITY	G
UG	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.7|G005	daiin	C	IT2a|f18v.6|G005	chy			MISSING_QUALITY	G
UG	IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.10|G003	dair	A	IT2a|f18v.6|G005	chy			MISSING_QUALITY	G
UG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G003	daiin	C	IT2a|f19v.3|G001	otchy	IT2a|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.3|G006	daiin	C	IT2a|f19v.3|G001	otchy	IT2a|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.4|G004	daiin	C	IT2a|f19v.3|G001	otchy	IT2a|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.4|G005	daiin	C	IT2a|f19v.3|G001	otchy	IT2a|f19v.3|G002	chol	ASSUMED_BOUND	G
UG	IT2a	f19v|f19v.1-f19v.7	IT2a|f19v.5|G003	daiin	C	IT2a|f19v.5|G002	qoteey			MISSING_QUALITY	G
UG	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.1|G006	dain	B	IT2a|f2v.1|G001	kooiin			MISSING_QUALITY	G
UG	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.1|G008	dair	A	IT2a|f2v.1|G007	chor			MISSING_QUALITY	G
UG	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.2|G009	daiin	C	IT2a|f2v.2|G008	chor			MISSING_QUALITY	G
UG	IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G008	daiin	C	IT2a|f2v.3|G002	chor	IT2a|f2v.3|G004	chol	ASSUMED_BOUND	G
UG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.11|G003	daiin	C	IT2a|f56r.10|G006	okaiin			MISSING_QUALITY	G
UG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.17|G004	daiin	C	IT2a|f56r.15|G003	cthy			MISSING_QUALITY	G
UG	IT2a	f56r|f56r.9-f56r.19	IT2a|f56r.19|G003	daiin	C	IT2a|f56r.15|G003	cthy			MISSING_QUALITY	G
UM	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.7|G005	daiin	C	ZL3b|f18v.6|G005	chy			ASSUMED_BOUND	M
UM	ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.10|G003	dair	A	ZL3b|f18v.6|G005	chy			ASSUMED_BOUND	M
UM	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G003	daiin	C	ZL3b|f19v.3|G001	otchy			ASSUMED_BOUND	M
UM	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.4|G004	daiin	C	ZL3b|f19v.3|G001	otchy			ASSUMED_BOUND	M
UM	ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.4|G005	daiin	C	ZL3b|f19v.3|G001	otchy			ASSUMED_BOUND	M
