card_rank	family	surface	card_type	composition	working_meaning_de	applied_render_de	strongest_rival_de	confidence	action_license	page	locus	section	language	hand	ordinal	token_count	line_position	left_surface	right_surface	context_role	context_verdict	context_decision	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	all_three_present	all_present_exact	zl3b_line	context_before_de	context_after_de	literal_after_de	review_note
1	CLOSED_POWDER_FRACTION_II	polairy	PRODUCTIVE_MATERIAL_COMPOUND	POL_POWDER_MATERIAL+AIR_FRACTION_II+Y_START_OR_CLOSE	abgeschlossene zweite Pulverstofffraktion	abgeschlossene zweite Pulverstofffraktion	zweite Pulverstofffraktion abschließen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f105v	f105v.1	S	B	3	1	9	INITIAL	BOS	oair	NOMINAL_CLOSED_POWDER_FRACTION_HEADER	HOLD_WITH_ACTIVE_RIVAL	HOLD_WITH_ACTIVE_RIVAL	EXACT	polairy	EXACT	polairy	BOTH_EXACT	1	0	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	abgeschlossene zweite Pulverstofffraktion · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	abgeschlossene zweite Pulverstofffraktion | [oair:?] | [olpcheey:?] | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]	Initial material heading before OAIR and OLPCHEEY; an imperative close-the-second-powder-fraction reading remains possible. The unique occurrence begins the nominal material register before the inherited heat command; the active closure remains a replaceable rival.
2	PREPARATION_FRACTION_II	oair	PRODUCTIVE_PREPARATION_COMPOUND	O_PREP+AIR_FRACTION_II	zweite Ansatzfraktion	zweite Ansatzfraktion	zweite Ansatzfraktion nehmen at IT2a qoair	STRONG_EXACT_WITH_LOCAL_COMMAND_RIVAL	0	f104r	f104r.40	S	B	3	3	11	MEDIAL	olkaiin	qcthy	NOMINAL_PREPARATION_FRACTION	HOLD	HOLD	EXACT	oair	EXACT	oair	BOTH_EXACT	1	0	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin	⟦olkeeos:?⟧ · heiße Drogenbasis, Stufe III · ⟦oair:?⟧ · ⟦qcthy:?⟧ · ⟦oiinol:?⟧ · Rohstoffklasse I · rohes Drogenholz · ⟦oeear:?⟧ · trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut · ⟦olched:?⟧ · kalt im qo-Rahmen, Grad IV.	⟦olkeeos:?⟧ · heiße Drogenbasis, Stufe III · zweite Ansatzfraktion · ⟦qcthy:?⟧ · ⟦oiinol:?⟧ · Rohstoffklasse I · rohes Drogenholz · ⟦oeear:?⟧ · trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut · ⟦olched:?⟧ · kalt im qo-Rahmen, Grad IV.	[olkeeos:?] | heiße Drogenbasis, Stufe III | zweite Ansatzfraktion | [qcthy:?] | [oiinol:?] | Rohstoffklasse I | rohes Drogenholz | [oeear:?] | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | [olched:?] | kalt im qo-Rahmen, Grad IV	The form sits between a heated wood-drug preparation and a further material block without requiring its own command. Three occurrences are triply exact and nominal; f111v.33 alone adds Q in IT2a, quarantined as a local take-command rival.
2	PREPARATION_FRACTION_II	oair	PRODUCTIVE_PREPARATION_COMPOUND	O_PREP+AIR_FRACTION_II	zweite Ansatzfraktion	zweite Ansatzfraktion	zweite Ansatzfraktion nehmen at IT2a qoair	STRONG_EXACT_WITH_LOCAL_COMMAND_RIVAL	0	f105v	f105v.1	S	B	3	2	9	MEDIAL	polairy	olpcheey	NOMINAL_PREPARATION_FRACTION	HOLD	HOLD	EXACT	oair	EXACT	oair	BOTH_EXACT	1	0	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	⟦polairy:?⟧ · zweite Ansatzfraktion · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	[polairy:?] | zweite Ansatzfraktion | [olpcheey:?] | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]	It specifies the second preparation fraction inside the opening powder and wood-drug material register. Three occurrences are triply exact and nominal; f111v.33 alone adds Q in IT2a, quarantined as a local take-command rival.
2	PREPARATION_FRACTION_II	oair	PRODUCTIVE_PREPARATION_COMPOUND	O_PREP+AIR_FRACTION_II	zweite Ansatzfraktion	zweite Ansatzfraktion	zweite Ansatzfraktion nehmen at IT2a qoair	STRONG_EXACT_WITH_LOCAL_COMMAND_RIVAL	0	f111v	f111v.33	S	B	3	3	12	MEDIAL	sheeil	ain	NOMINAL_PREPARATION_FRACTION_BEFORE_QUANTITY	HOLD_WITH_READER_RIVAL	RF1B_EXACT_RETAIN	ONE	qoair	EXACT	oair	RF1B_ONLY_EXACT	1	0	y sheeil oair ain okan sheain y qokan chan aman cheal char	Eintrag: · ⟦sheeil:?⟧ · ⟦oair:?⟧ · Menge-/Klassenwert II · heiß im Zubereitungsrahmen, Grad I · ⟦sheain:?⟧ · hierzu: · heiß im qo-Rahmen, Grad I · trocken, Grad I · ⟦aman:?⟧ · Rohstoffklasse I, trocken in der Gradmitte · Trockenfraktion I.	Eintrag: · ⟦sheeil:?⟧ · zweite Ansatzfraktion · Menge-/Klassenwert II · heiß im Zubereitungsrahmen, Grad I · ⟦sheain:?⟧ · hierzu: · heiß im qo-Rahmen, Grad I · trocken, Grad I · ⟦aman:?⟧ · Rohstoffklasse I, trocken in der Gradmitte · Trockenfraktion I.	Eintrag: | [sheeil:?] | zweite Ansatzfraktion | Menge-/Klassenwert II | heiß im Zubereitungsrahmen, Grad I | [sheain:?] | hierzu: | heiß im qo-Rahmen, Grad I | trocken, Grad I | [aman:?] | Rohstoffklasse I, trocken in der Gradmitte | Trockenfraktion I	Following AIN supports a quantity or fraction phrase; IT2a QOAIR retains a local take-command rival. IT2a alone adds Q and reads qoair, a local take-command rival; three other exact oair positions retain the nominal preparation-fraction card.
2	PREPARATION_FRACTION_II	oair	PRODUCTIVE_PREPARATION_COMPOUND	O_PREP+AIR_FRACTION_II	zweite Ansatzfraktion	zweite Ansatzfraktion	zweite Ansatzfraktion nehmen at IT2a qoair	STRONG_EXACT_WITH_LOCAL_COMMAND_RIVAL	0	f44r	f44r.3	H	A	1	1	6	INITIAL	BOS	ekokeey	NOMINAL_RECIPE_HEADER	HOLD_WITH_ELLIPTIC_USE_RIVAL	HOLD_WITH_ELLIPTIC_USE_RIVAL	EXACT	oair	EXACT	oair	BOTH_EXACT	1	0	oair ekokeey kshotol otal daiin ototaykal	⟦oair:?⟧ · ⟦ekokeey:?⟧ · ⟦kshotol:?⟧ · Rohstoffklasse I im Ansatz, kalt am Gradanfang · Grad-/Maßwert III · ⟦ototaykal:?⟧.	zweite Ansatzfraktion · ⟦ekokeey:?⟧ · ⟦kshotol:?⟧ · Rohstoffklasse I im Ansatz, kalt am Gradanfang · Grad-/Maßwert III · ⟦ototaykal:?⟧.	zweite Ansatzfraktion | [ekokeey:?] | [kshotol:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert III | [ototaykal:?]	Line-initial second preparation fraction works as a recipe heading; an omitted use or take verb is possible. Three occurrences are triply exact and nominal; f111v.33 alone adds Q in IT2a, quarantined as a local take-command rival.
3	WOOD_DRUG_DRY_POWDER_FORM_II	olpcheey	PRODUCTIVE_POWDER_COMPOUND	O_PREP+L_WOOD_DRUG+PCHEEY_DRY_POWDER_FORM_II	trocken gebundenes Holzdrogenpulver, Form II	trocken gebundenes Holzdrogenpulver, Form II	Holzdrogenansatz vollständig zu Pulver trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	0	f105v	f105v.1	S	B	3	3	9	MEDIAL	oair	ykaiin	NOMINAL_HEAT_OBJECT	HOLD	HOLD	EXACT	olpcheey	EXACT	olpcheey	BOTH_EXACT	1	0	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	⟦polairy:?⟧ · ⟦oair:?⟧ · trocken gebundenes Holzdrogenpulver, Form II · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	[polairy:?] | [oair:?] | trocken gebundenes Holzdrogenpulver, Form II | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]	The dry-bound wood-drug powder stands immediately before inherited YKAIIN and supplies its concrete heating object. Its position immediately before the heat command makes the concrete powder the treated object; an active drying parse remains possible.
4	PREPARATION_DRY_POWDER_DOSE_III	opchedaiin	PRODUCTIVE_QUANTITY_COMPOUND	O_PREP+PCHEDAIIN_DRY_POWDER_DOSE_III	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	Pulveransatz in drei Teilen bis zur Mittelstufe trocknen	STRONG_EXACT_AND_COMPOSITIONAL	0	f105v	f105v.1	S	B	3	6	9	MEDIAL	olpchedy	dairody	NOMINAL_TRIPLE_DOSE	HOLD	HOLD	EXACT	opchedaiin	EXACT	opchedaiin	BOTH_EXACT	1	0	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · erhitze hiervon auf Stufe III · fertiggestelltes Trockenpulver aus Holzdrogenansatz · drei Dosen bis zur Mittelstufe getrockneter Pulveransatz · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	[polairy:?] | [oair:?] | [olpcheey:?] | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | drei Dosen bis zur Mittelstufe getrockneter Pulveransatz | [dairody:?] | [ypcheddy:?] | [sairy:?]	The three-dose powder preparation introduces the following measured finished-fraction result. All four positions are triply exact and retain the powder, middle-dry and triple-dose core without a reader conflict.
4	PREPARATION_DRY_POWDER_DOSE_III	opchedaiin	PRODUCTIVE_QUANTITY_COMPOUND	O_PREP+PCHEDAIIN_DRY_POWDER_DOSE_III	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	Pulveransatz in drei Teilen bis zur Mittelstufe trocknen	STRONG_EXACT_AND_COMPOSITIONAL	0	f105v	f105v.5	S	B	3	7	10	MEDIAL	okaildy	opcheo	NOMINAL_TRIPLE_DOSE	HOLD	HOLD	EXACT	opchedaiin	EXACT	opchedaiin	BOTH_EXACT	1	0	pchedal qopchdy daiin chedy daiin okaildy opchedaiin opcheo olkeedy sairom	⟦pchedal:?⟧ · nimm fertig getrocknetes Pulver · Grad-/Maßwert III · trocken in der Mitte des Grades, abgeschlossen · Grad-/Maßwert III · ⟦okaildy:?⟧ · ⟦opchedaiin:?⟧ · ⟦opcheo:?⟧ · Holzdrogenansatz vollständig erhitzt und abgeschlossen · ⟦sairom:?⟧.	⟦pchedal:?⟧ · nimm fertig getrocknetes Pulver · Grad-/Maßwert III · trocken in der Mitte des Grades, abgeschlossen · Grad-/Maßwert III · ⟦okaildy:?⟧ · drei Dosen bis zur Mittelstufe getrockneter Pulveransatz · ⟦opcheo:?⟧ · Holzdrogenansatz vollständig erhitzt und abgeschlossen · ⟦sairom:?⟧.	[pchedal:?] | nimm fertig getrocknetes Pulver | Grad-/Maßwert III | trocken in der Mitte des Grades, abgeschlossen | Grad-/Maßwert III | [okaildy:?] | drei Dosen bis zur Mittelstufe getrockneter Pulveransatz | [opcheo:?] | Holzdrogenansatz vollständig erhitzt und abgeschlossen | [sairom:?]	The form remains a dose and powder preparation inside a dense dry-powder material register. All four positions are triply exact and retain the powder, middle-dry and triple-dose core without a reader conflict.
4	PREPARATION_DRY_POWDER_DOSE_III	opchedaiin	PRODUCTIVE_QUANTITY_COMPOUND	O_PREP+PCHEDAIIN_DRY_POWDER_DOSE_III	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	Pulveransatz in drei Teilen bis zur Mittelstufe trocknen	STRONG_EXACT_AND_COMPOSITIONAL	0	f108v	f108v.20	S	B	3	6	11	MEDIAL	otedy	otshedy	NOMINAL_TRIPLE_DOSE	HOLD	HOLD	EXACT	opchedaiin	EXACT	opchedaiin	BOTH_EXACT	1	0	polkeedal sheo kchey lotedaiin otedy opchedaiin otshedy qotey r aiin ol	⟦polkeedal:?⟧ · Feuchtzubereitung · heiß und trocken in der Mitte des Grades · ⟦lotedaiin:?⟧ · kalter Ansatz in der Mitte des Grades, abgeschlossen · ⟦opchedaiin:?⟧ · kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen · kalt in der Mitte des Grades · Wurzel · Menge III · Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz.	⟦polkeedal:?⟧ · Feuchtzubereitung · heiß und trocken in der Mitte des Grades · ⟦lotedaiin:?⟧ · kalter Ansatz in der Mitte des Grades, abgeschlossen · drei Dosen bis zur Mittelstufe getrockneter Pulveransatz · kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen · kalt in der Mitte des Grades · Wurzel · Menge III · Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz.	[polkeedal:?] | Feuchtzubereitung | heiß und trocken in der Mitte des Grades | [lotedaiin:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | drei Dosen bis zur Mittelstufe getrockneter Pulveransatz | kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen | kalt in der Mitte des Grades | Wurzel | Menge III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	It is a quantity-bearing preparation between completed cooling and moist-dry result forms, with no command wrapper. All four positions are triply exact and retain the powder, middle-dry and triple-dose core without a reader conflict.
4	PREPARATION_DRY_POWDER_DOSE_III	opchedaiin	PRODUCTIVE_QUANTITY_COMPOUND	O_PREP+PCHEDAIIN_DRY_POWDER_DOSE_III	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	Pulveransatz in drei Teilen bis zur Mittelstufe trocknen	STRONG_EXACT_AND_COMPOSITIONAL	0	f114r	f114r.4	S	B	3	2	10	MEDIAL	fdeechdy	ypchedy	NOMINAL_OBJECT_BEFORE_COMMAND	HOLD	HOLD	EXACT	opchedaiin	EXACT	opchedaiin	BOTH_EXACT	1	1	fdeechdy opchedaiin ypchedy odaly chedy qop cheokaiin shedy podair ochedal	⟦fdeechdy:?⟧ · ⟦opchedaiin:?⟧ · trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig · ⟦odaly:?⟧ · trocken in der Mitte des Grades, abgeschlossen · ⟦qop:?⟧ · ⟦cheokaiin:?⟧ · feucht in der Mitte des Grades, abgeschlossen · ⟦podair:?⟧ · ⟦ochedal:?⟧.	⟦fdeechdy:?⟧ · drei Dosen bis zur Mittelstufe getrockneter Pulveransatz · trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig · ⟦odaly:?⟧ · trocken in der Mitte des Grades, abgeschlossen · ⟦qop:?⟧ · ⟦cheokaiin:?⟧ · feucht in der Mitte des Grades, abgeschlossen · ⟦podair:?⟧ · ⟦ochedal:?⟧.	[fdeechdy:?] | drei Dosen bis zur Mittelstufe getrockneter Pulveransatz | trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig | [odaly:?] | trocken in der Mitte des Grades, abgeschlossen | [qop:?] | [cheokaiin:?] | feucht in der Mitte des Grades, abgeschlossen | [podair:?] | [ochedal:?]	Its position directly before published YPCHEDY independently confirms a nominal three-dose powder object. All four positions are triply exact and retain the powder, middle-dry and triple-dose core without a reader conflict.
