locus	ordinal	surface	context_role	context_verdict	context_reason
f105v.1	1	polairy	NOMINAL_CLOSED_POWDER_FRACTION_HEADER	HOLD_WITH_ACTIVE_RIVAL	Initial material heading before OAIR and OLPCHEEY; an imperative close-the-second-powder-fraction reading remains possible.
f104r.40	3	oair	NOMINAL_PREPARATION_FRACTION	HOLD	The form sits between a heated wood-drug preparation and a further material block without requiring its own command.
f105v.1	2	oair	NOMINAL_PREPARATION_FRACTION	HOLD	It specifies the second preparation fraction inside the opening powder and wood-drug material register.
f111v.33	3	oair	NOMINAL_PREPARATION_FRACTION_BEFORE_QUANTITY	HOLD_WITH_READER_RIVAL	Following AIN supports a quantity or fraction phrase; IT2a QOAIR retains a local take-command rival.
f44r.3	1	oair	NOMINAL_RECIPE_HEADER	HOLD_WITH_ELLIPTIC_USE_RIVAL	Line-initial second preparation fraction works as a recipe heading; an omitted use or take verb is possible.
f105v.1	3	olpcheey	NOMINAL_HEAT_OBJECT	HOLD	The dry-bound wood-drug powder stands immediately before inherited YKAIIN and supplies its concrete heating object.
f105v.1	6	opchedaiin	NOMINAL_TRIPLE_DOSE	HOLD	The three-dose powder preparation introduces the following measured finished-fraction result.
f105v.5	7	opchedaiin	NOMINAL_TRIPLE_DOSE	HOLD	The form remains a dose and powder preparation inside a dense dry-powder material register.
f108v.20	6	opchedaiin	NOMINAL_TRIPLE_DOSE	HOLD	It is a quantity-bearing preparation between completed cooling and moist-dry result forms, with no command wrapper.
f114r.4	2	opchedaiin	NOMINAL_OBJECT_BEFORE_COMMAND	HOLD	Its position directly before published YPCHEDY independently confirms a nominal three-dose powder object.
f105v.1	7	dairody	NOMINAL_FINISHED_MEASURED_FRACTION	HOLD_WITH_ACTION_RIVAL	It closes the preceding triple-dose block as a finished measured fraction; measure-and-finish remains an imperative rival.
f66r.64	3	dairody	NOMINAL_PART_STAGE_RESULT	HOLD	The preparation continues afterward, so finished applies to this measured fraction or substage rather than the final product.
f86v6.20	10	dairody	NOMINAL_SECOND_MEASURED_RESULT	HOLD_WITH_ACTION_RIVAL	Final position after ODAR supports a parallel second measured result; a second measure-and-finish command also fits.
f105v.1	8	ypcheddy	ANAPHORIC_DRY_CLOSE_FINISH_COMMAND	HOLD_PROVISIONAL_FORWARD_BINDING	The action core is secure; binding it forward to SAIRY is practical but a backward reference to DAIRODY remains possible.
f105r.10	1	sairy	NOMINAL_CLOSED_SEED_FRACTION_HEADER	HOLD_WITH_ACTIVE_RIVAL	Initial material heading supports the closed second seed fraction; a line-opening closure command remains possible.
f105v.1	9	sairy	PROVISIONAL_CLOSED_SEED_OBJECT_OR_RESULT	HOLD_PROVISIONAL_FORWARD_BINDING	The practical prose chooses one right-hand closed-seed-fraction object for YPCHEDDY; a backward reference plus independent SAIRY result or closure remains possible.
f113r.25	10	sairy	NOMINAL_CLOSED_SEED_RESULT	HOLD_WITH_ACTIVE_RIVAL	Final position after a treatment sequence supports a closed second seed result while retaining an imperative closure rival.
