candidate	full_predicate_class	positive_only_class	S_head	expected_vector	selection_observed	selection_status	confirmation_observed	confirmation_status	selection_leaves	confirmation_leaves	confirmation_leaf_capacity	full_contract_status	additional_confirmation	significance	meaning	C_mention	B_mention	D_mention	L_mention	M_mention	S_mention	contradictions
K01	F01	P01	P1.K1.A1.B2	0,1,1,0,0,0	G807-P0421@f104r:0,0,0,0,0,1 FAIL	CONTRADICTED	G807-P0660@f116r:0,0,0,0,0,0 FAIL	CONTRADICTED	f104	f116	1	CONTRADICTED	NO_SURVIVING_CONFIRMED_CANDIDATE	NOT_ASSESSED	NOT_CONFIRMED	A1.B2.A3.G1	A1.B1.A3.G1	K1.A1.B1.A2	A1.B2.K1.J1.A2	A1.B2.L1.A2	K1.A1.B2	selection:G807-P0421:B expected 1 observed 0; selection:G807-P0421:D expected 1 observed 0; selection:G807-P0421:S expected 0 observed 1; confirmation:G807-P0660:B expected 1 observed 0; confirmation:G807-P0660:D expected 1 observed 0
K02	F02	P02	P1.A1.B2.A2	0,1,1,0,0,0	G807-P0574@f112v:0,0,0,0,0,0 FAIL	CONTRADICTED	NO_CAPACITY	NO_CAPACITY	f112		0	CONTRADICTED	NO_CAPACITY	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	A1.B2.L1.A2	A1.B2.A2	selection:G807-P0574:B expected 1 observed 0; selection:G807-P0574:D expected 1 observed 0
K03	F03	P03	P1.K1.K2.B1.A2	0,1,1,0,0,0	G807-P0271@f80v:0,0,0,0,0,0 FAIL	CONTRADICTED	G807-P0530@f108r:0,0,0,1,0,0 FAIL	CONTRADICTED	f80	f108	1	CONTRADICTED	NO_SURVIVING_CONFIRMED_CANDIDATE	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	A1.B2.L1.A2	K1.K2.B1.A2	selection:G807-P0271:B expected 1 observed 0; selection:G807-P0271:D expected 1 observed 0; confirmation:G807-P0530:B expected 1 observed 0; confirmation:G807-P0530:D expected 1 observed 0; confirmation:G807-P0530:L expected 0 observed 1
K04	F04	P02	P1.A1.B2.A2	0,1,1,0,0,0	G807-P0574@f112v:0,0,0,0,0,0 FAIL	CONTRADICTED	NO_CAPACITY	NO_CAPACITY	f112		0	CONTRADICTED	NO_CAPACITY	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	A2.K1.B1.A3.C1	A1.B2.A2	selection:G807-P0574:B expected 1 observed 0; selection:G807-P0574:D expected 1 observed 0
K05	F05	P03	P1.K1.K2.B1.A2	0,1,1,0,0,0	G807-P0271@f80v:0,0,0,0,0,0 FAIL	CONTRADICTED	G807-P0530@f108r:0,0,0,1,0,0 FAIL	CONTRADICTED	f80	f108	1	CONTRADICTED	NO_SURVIVING_CONFIRMED_CANDIDATE	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	A2.K1.B1.A3.C1	K1.K2.B1.A2	selection:G807-P0271:B expected 1 observed 0; selection:G807-P0271:D expected 1 observed 0; confirmation:G807-P0530:B expected 1 observed 0; confirmation:G807-P0530:D expected 1 observed 0; confirmation:G807-P0530:L expected 0 observed 1
K06	F06	P02	P1.A1.B2.A2	0,1,1,0,0,0	G807-P0574@f112v:0,0,0,0,0,0 FAIL	CONTRADICTED	NO_CAPACITY	NO_CAPACITY	f112		0	CONTRADICTED	NO_CAPACITY	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	A3.B2.L1.C2.A3.C1	A1.B2.A2	selection:G807-P0574:B expected 1 observed 0; selection:G807-P0574:D expected 1 observed 0
K07	F07	P03	P1.K1.K2.B1.A2	0,1,1,0,0,0	G807-P0271@f80v:0,0,0,0,0,0 FAIL	CONTRADICTED	G807-P0530@f108r:0,0,0,1,0,0 FAIL	CONTRADICTED	f80	f108	1	CONTRADICTED	NO_SURVIVING_CONFIRMED_CANDIDATE	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	A3.B2.L1.C2.A3.C1	K1.K2.B1.A2	selection:G807-P0271:B expected 1 observed 0; selection:G807-P0271:D expected 1 observed 0; confirmation:G807-P0530:B expected 1 observed 0; confirmation:G807-P0530:D expected 1 observed 0; confirmation:G807-P0530:L expected 0 observed 1
K08	F08	P02	P1.A1.B2.A2	0,1,1,0,0,0	G807-P0574@f112v:0,0,0,0,0,0 FAIL	CONTRADICTED	NO_CAPACITY	NO_CAPACITY	f112		0	CONTRADICTED	NO_CAPACITY	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	B1.C2.A3.F3.A2	A1.B2.A2	selection:G807-P0574:B expected 1 observed 0; selection:G807-P0574:D expected 1 observed 0
K09	F09	P03	P1.K1.K2.B1.A2	0,1,1,0,0,0	G807-P0271@f80v:0,0,0,0,0,0 FAIL	CONTRADICTED	G807-P0530@f108r:0,0,0,1,0,0 FAIL	CONTRADICTED	f80	f108	1	CONTRADICTED	NO_SURVIVING_CONFIRMED_CANDIDATE	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	B1.C2.A3.F3.A2	K1.K2.B1.A2	selection:G807-P0271:B expected 1 observed 0; selection:G807-P0271:D expected 1 observed 0; confirmation:G807-P0530:B expected 1 observed 0; confirmation:G807-P0530:D expected 1 observed 0; confirmation:G807-P0530:L expected 0 observed 1
K10	F10	P02	P1.A1.B2.A2	0,1,1,0,0,0	G807-P0574@f112v:0,0,0,0,0,0 FAIL	CONTRADICTED	NO_CAPACITY	NO_CAPACITY	f112		0	CONTRADICTED	NO_CAPACITY	NOT_ASSESSED	NOT_CONFIRMED	A1.Q1.A3.C1	A1.B2.Q1.K2.A2	A1.B2.Q1.A2	A3.C1	K1.A1.B1.A1.B2	A1.B2.A2	selection:G807-P0574:B expected 1 observed 0; selection:G807-P0574:D expected 1 observed 0
