candidate	phase	paragraph_id	page	physical_folio	expected_vector	observed_vector	passed	contradictions	matched_groups
K01	selection	G807-P0421	f104r	f104	0,1,1,0,0,0	0,0,0,0,0,1	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""},{""delta"":1,""expected"":0,""observed"":1,""role"":""S""}]"	"[{""body_ordinal_one_based"":16,""locus"":""f104r.35"",""raw"":""chol"",""role"":""S"",""source_group_id"":""IT2a|f104r.35|G006"",""sta"":[""K1"",""A1"",""B2""]}]"
K01	confirmation	G807-P0660	f116r	f116	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K02	selection	G807-P0574	f112v	f112	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K03	selection	G807-P0271	f80v	f80	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K03	confirmation	G807-P0530	f108r	f108	0,1,1,0,0,0	0,0,0,1,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""},{""delta"":1,""expected"":0,""observed"":1,""role"":""L""}]"	"[{""body_ordinal_one_based"":5,""locus"":""f108r.48"",""raw"":""ar"",""role"":""L"",""source_group_id"":""IT2a|f108r.48|G006"",""sta"":[""A3"",""C1""]}]"
K04	selection	G807-P0574	f112v	f112	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K05	selection	G807-P0271	f80v	f80	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K05	confirmation	G807-P0530	f108r	f108	0,1,1,0,0,0	0,0,0,1,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""},{""delta"":1,""expected"":0,""observed"":1,""role"":""L""}]"	"[{""body_ordinal_one_based"":5,""locus"":""f108r.48"",""raw"":""ar"",""role"":""L"",""source_group_id"":""IT2a|f108r.48|G006"",""sta"":[""A3"",""C1""]}]"
K06	selection	G807-P0574	f112v	f112	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K07	selection	G807-P0271	f80v	f80	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K07	confirmation	G807-P0530	f108r	f108	0,1,1,0,0,0	0,0,0,1,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""},{""delta"":1,""expected"":0,""observed"":1,""role"":""L""}]"	"[{""body_ordinal_one_based"":5,""locus"":""f108r.48"",""raw"":""ar"",""role"":""L"",""source_group_id"":""IT2a|f108r.48|G006"",""sta"":[""A3"",""C1""]}]"
K08	selection	G807-P0574	f112v	f112	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K09	selection	G807-P0271	f80v	f80	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K09	confirmation	G807-P0530	f108r	f108	0,1,1,0,0,0	0,0,0,1,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""},{""delta"":1,""expected"":0,""observed"":1,""role"":""L""}]"	"[{""body_ordinal_one_based"":5,""locus"":""f108r.48"",""raw"":""ar"",""role"":""L"",""source_group_id"":""IT2a|f108r.48|G006"",""sta"":[""A3"",""C1""]}]"
K10	selection	G807-P0574	f112v	f112	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K11	selection	G807-P0271	f80v	f80	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
K11	confirmation	G807-P0530	f108r	f108	0,1,1,0,0,0	0,0,0,1,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""},{""delta"":1,""expected"":0,""observed"":1,""role"":""L""}]"	"[{""body_ordinal_one_based"":5,""locus"":""f108r.48"",""raw"":""ar"",""role"":""L"",""source_group_id"":""IT2a|f108r.48|G006"",""sta"":[""A3"",""C1""]}]"
K12	selection	G807-P0574	f112v	f112	0,1,1,0,0,0	0,0,0,0,0,0	False	"[{""delta"":-1,""expected"":1,""observed"":0,""role"":""B""},{""delta"":-1,""expected"":1,""observed"":0,""role"":""D""}]"	[]
