event_id	case_id	phase	statement_id	page	record	surface	card_no	semantic_component_parse	command_id	standard_command_de	silent_owner_de	case_expansion_de	meaning_invariant_across_occurrences
E001	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	dchey	PROC001	CH+E+Y	CMD015	ABZIEHEN · KURZ · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten kurz abnehmen	YES
E002	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	cthoor	PROC002	CTH+O+OR	CMD029	BEREIT · GANG · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	YES
E003	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	char	PROC003	AR	CMD008	QUELLE	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	YES
E004	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	chty	PROC004	T+Y	CMD156	EINTRAGEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	YES
E005	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	os	PROC005	OS	CMD108	FACH	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	YES
E006	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	chair	PROC006	CH+AIR	CMD011	ABZIEHEN · LAUF	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	YES
E007	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	otytchol	PROC007	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter eintragen und abnehmen	YES
E008	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	oky	PROC008	OK+Y	CMD095	ANSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten einsetzen	YES
E009	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	daiin	PROC009	AIIN	CMD001	MASS	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	YES
E010	C1	PREPARE_PRODUCT	H1-S001	f10r	H1	etyd	PROC010	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	YES
E011	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	qokchy	PROC011	OK+Y	CMD095	ANSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten einsetzen	YES
E012	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	qotchol	PROC012	OT+CH+OL	CMD112	DANACH · ABZIEHEN · FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter bis bereit abnehmen	YES
E013	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	chol	PROC013	OL	CMD097	FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter bis bereit abnehmen	YES
E014	C1	PREPARE_PRODUCT	H1-S002	f10r	H1	cthy	PROC014	CTH+Y	CMD030	BEREIT · DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter bis bereit abnehmen	YES
E015	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	ycheor	PROC015	Y+CH+E+OR	CMD159	DIES · ABZIEHEN · KURZ · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten kurz abziehen	YES
E016	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	cthy	PROC014	CTH+Y	CMD030	BEREIT · DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E017	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	chor	PROC016	OR	CMD106	ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E018	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	cthaiin	PROC017	CTH+AIIN	CMD027	BEREIT · MASS	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E019	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	qoctholy	PROC018	O+CTH+OL+Y	CMD073	GANG · BEREIT · FORTSETZEN · DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E020	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	dy	PROC019	Y	CMD158	DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E021	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	chy	PROC019	Y	CMD158	DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E022	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	taiin	PROC009	AIIN	CMD001	MASS	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E023	C2	PREPARE_PRODUCT	H2-S001	f10r	H2	shy	PROC019	Y	CMD158	DIES	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E024	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	qotchor	PROC020	OT+CH+OR	CMD113	DANACH · ABZIEHEN · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	YES
E025	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	chor	PROC016	OR	CMD106	ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E026	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	otol	PROC021	OT+OL	CMD120	DANACH · FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E027	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	chol	PROC013	OL	CMD097	FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E028	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	cholor	PROC022	OL+OR	CMD102	FORTSETZEN · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E029	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	chol	PROC013	OL	CMD097	FORTSETZEN	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E030	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	daiin	PROC009	AIIN	CMD001	MASS	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E031	C2	PREPARE_PRODUCT	H2-S002	f10r	H2	dar	PROC003	AR	CMD008	QUELLE	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E032	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	oykchor	PROC023	O+Y+K+OR	CMD076	GANG · DIES · ZUFUEHREN · ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	YES
E033	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	shor	PROC016	OR	CMD106	ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten bis zur Sollstufe zugeben	YES
E034	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	chor	PROC016	OR	CMD106	ANSATZ	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten bis zur Sollstufe zugeben	YES
E035	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	chy	PROC019	Y	CMD158	DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten bis zur Sollstufe zugeben	YES
E036	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	kaiiin	PROC024	K+IIN	CMD048	ZUFUEHREN · STUFE	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten bis zur Sollstufe zugeben	YES
E037	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	dy	PROC019	Y	CMD158	DIES	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß im Arbeitsgang abziehen	YES
E038	C2	PREPARE_PRODUCT	H2-S003	f10r	H2	chodaiin	PROC025	CH+O+AIIN	CMD017	ABZIEHEN · GANG · MASS	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß im Arbeitsgang abziehen	YES
E039	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	tshol	PROC026	T+SH+OL	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten weiter eintragen und halten	YES
E040	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	schoal	PROC027	SH+O+AL	CMD143	HALTEN · GANG · ZIEL	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten an der bezeichneten Stelle im Arbeitsgang an Ort halten	YES
E041	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	cfhy	PROC028	CFH+Y	CMD010	AUSWRINGEN · DIES	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten auswringen	YES
E042	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	shfydaiin	PROC029	SH+Y+AIIN	CMD145	HALTEN · DIES · MASS	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten nach vorgeschriebenem Maß halten	YES
E043	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	cphy	PROC030	P+Y	CMD125	HINEIN · DIES	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten hineingeben	YES
E044	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	shey	PROC031	SH+EE+Y	CMD141	HALTEN · LANG · DIES	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten länger halten	YES
E045	C3	PREPARE_PRODUCT	H3-S001	f11r	H3	tchody	PROC032	T+CH+O+DY	CMD153	EINTRAGEN · ABZIEHEN · GANG; SCHLUSS	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten im Arbeitsgang abschließend eintragen und abziehen und den Schritt schließen	YES
E046	C3	PREPARE_PRODUCT	H3-S002	f11r	H3	shoyty	PROC033	SH+O+Y+T+Y	CMD144	DIES HALTEN · IM GANG EINTRAGEN · DIES	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten im Arbeitsgang halten und eintragen	YES
E047	C3	PREPARE_PRODUCT	H3-S003	f11r	H3	dchol	PROC034	OL	CMD097	FORTSETZEN	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten weiter zugeben	YES
E048	C3	PREPARE_PRODUCT	H3-S003	f11r	H3	chy	PROC019	Y	CMD158	DIES	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten weiter zugeben	YES
E049	C3	PREPARE_PRODUCT	H3-S003	f11r	H3	kchy	PROC035	K+Y	CMD050	ZUFUEHREN · DIES	abgebildete dicht blau blühende Kronenpflanze	den laufenden Posten weiter zugeben	YES
E050	C3	PREPARE_PRODUCT	H3-S003	f11r	H3	dy	PROC019	Y	CMD158	DIES	abgebildete dicht blau blühende Kronenpflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	YES
E051	C3	PREPARE_PRODUCT	H3-S003	f11r	H3	daiin	PROC009	AIIN	CMD001	MASS	abgebildete dicht blau blühende Kronenpflanze	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	YES
