card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command
PROC001	dchey	CH+E+Y	CMD015	ABZIEHEN · KURZ · DIES	ACTION_COMMAND	1	H1	NO
PROC002	cthoor	CTH+O+OR	CMD029	BEREIT · GANG · ANSATZ	STATE_OR_GRADE_FORMULA	1	H1	NO
PROC003	char|dar|sar	AR	CMD008	QUELLE	ARGUMENT_OR_OBJECT_FORMULA	5	H1|H2|B1|B2|B3	NO
PROC004	chety|chty	T+Y	CMD156	EINTRAGEN · DIES	ACTION_COMMAND	2	H1|B3	NO
PROC005	os	OS	CMD108	FACH	ARGUMENT_OR_OBJECT_FORMULA	1	H1	NO
PROC006	chair	CH+AIR	CMD011	ABZIEHEN · LAUF	ACTION_COMMAND	1	H1	NO
PROC007	otytchol	OT+Y+T+CH+OL	CMD122	DANACH [DIES EINTRAGEN · ABZIEHEN] FORTSETZEN	ACTION_COMMAND	1	H1	NO
PROC008	choky|oky|qoky	OK+Y	CMD095	ANSETZEN · DIES	ACTION_COMMAND	10	H1|H5|B1|B2|B3|B4	YES
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	CMD001	MASS	ARGUMENT_OR_OBJECT_FORMULA	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	NO
PROC010	etyd	E+T+Y	CMD034	KURZ · EINTRAGEN · DIES	ACTION_COMMAND	1	H1	NO
PROC011	chokchy|okchy|qokchy	OK+Y	CMD095	ANSETZEN · DIES	ACTION_COMMAND	3	H1|H5	YES
PROC012	qotchol	OT+CH+OL	CMD112	DANACH · ABZIEHEN · FORTSETZEN	ACTION_COMMAND	1	H1	NO
PROC013	cheol|chol|ol|qol|sol|tol	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	19	H1|H2|B1|B3|B4|B5|B6	YES
PROC014	checthy|cthy|shcthy	CTH+Y	CMD030	BEREIT · DIES	STATE_OR_GRADE_FORMULA	7	H1|H2|H3|B3	NO
PROC015	ycheor	Y+CH+E+OR	CMD159	DIES · ABZIEHEN · KURZ · ANSATZ	ACTION_COMMAND	1	H2	NO
PROC016	chor|or|shor|sor	OR	CMD106	ANSATZ	ARGUMENT_OR_OBJECT_FORMULA	7	H2|H4|B3|B4	NO
PROC017	cthaiin	CTH+AIIN	CMD027	BEREIT · MASS	STATE_OR_GRADE_FORMULA	1	H2	NO
PROC018	qoctholy	O+CTH+OL+Y	CMD073	GANG · BEREIT · FORTSETZEN · DIES	STATE_OR_GRADE_FORMULA	1	H2	NO
PROC019	chey|chy|dy|shy|sy|y	Y	CMD158	DIES	ARGUMENT_OR_OBJECT_FORMULA	18	H2|H3|H4|B1|B2|B3|B4|B6	NO
PROC020	otchor|qotchor	OT+CH+OR	CMD113	DANACH · ABZIEHEN · ANSATZ	ACTION_COMMAND	2	H2|H5	NO
PROC021	otol	OT+OL	CMD120	DANACH · FORTSETZEN	SEQUENCE_FORMULA	1	H2	NO
PROC022	cholor|olor	OL+OR	CMD102	FORTSETZEN · ANSATZ	SEQUENCE_FORMULA	2	H2|B1	NO
PROC023	oykchor	O+Y+K+OR	CMD076	GANG · DIES · ZUFUEHREN · ANSATZ	ACTION_COMMAND	1	H2	NO
PROC024	kaiiin	K+IIN	CMD048	ZUFUEHREN · STUFE	ACTION_COMMAND	1	H2	NO
PROC025	chodaiin	CH+O+AIIN	CMD017	ABZIEHEN · GANG · MASS	ACTION_COMMAND	1	H2	NO
PROC026	tshol	T+SH+OL	CMD155	EINTRAGEN · HALTEN · FORTSETZEN	ACTION_COMMAND	1	H3	NO
PROC027	schoal	SH+O+AL	CMD143	HALTEN · GANG · ZIEL	ACTION_COMMAND	1	H3	NO
