command_id	semantic_component_parse	slot_signature	standard_command_de	command_class	card_ids	surfaces	card_types	events	action_components	grade_scope_assignments	owner_fill_rule_de	meaning_invariant
CMD001	AIIN	QUANTITY_STAGE	MASS	ARGUMENT_OR_OBJECT_FORMULA	PROC009	aiin|chaiin|daiin|saiin|taiin	1	20	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD002	AIN	QUANTITY_STAGE	PORTION	ARGUMENT_OR_OBJECT_FORMULA	PROC156	dain	1	2	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD003	AIR+Y+DY	SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	LAUF · DIES; SCHLUSS	CLOSE_FORMULA	PROC162	dairydy	1	1	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD004	AL	SOURCE_PATH_TARGET	ZIEL	ARGUMENT_OR_OBJECT_FORMULA	PROC055	al|chal|cheal|dal|sal|tal	1	10	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD005	AL+CHD+DY	SOURCE_PATH_TARGET>ACTION>CLOSE	ZIEL · UMSETZEN; SCHLUSS	ACTION_COMMAND	PROC144	dalchdy	1	1	CHD	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD006	AL+DY	SOURCE_PATH_TARGET>CLOSE	ZIEL; SCHLUSS	CLOSE_FORMULA	PROC127	daldy	1	1	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD007	AL+R+OR	SOURCE_PATH_TARGET>ACTION>OBJECT_MATERIAL	ZIEL · KUEHLEN · ANSATZ	ACTION_COMMAND	PROC148	chealror	1	1	R	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD008	AR	SOURCE_PATH_TARGET	QUELLE	ARGUMENT_OR_OBJECT_FORMULA	PROC003	char|dar|sar	1	5	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD009	AR+Y	SOURCE_PATH_TARGET>OBJECT_MATERIAL	QUELLE · DIES	ARGUMENT_OR_OBJECT_FORMULA	PROC137	chary	1	1	NONE	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD010	CFH+Y	ACTION>OBJECT_MATERIAL	AUSWRINGEN · DIES	ACTION_COMMAND	PROC028	cfhy	1	1	CFH	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD011	CH+AIR	ACTION>SOURCE_PATH_TARGET	ABZIEHEN · LAUF	ACTION_COMMAND	PROC006	chair	1	1	CH	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD012	CH+CKH+AL	ACTION>SOURCE_PATH_TARGET>SOURCE_PATH_TARGET	ABZIEHEN · DURCHLASS · ZIEL	ACTION_COMMAND	PROC163	chckhal	1	1	CH	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD013	CH+E+O+AR	ACTION>GRADE>OBJECT_MATERIAL>SOURCE_PATH_TARGET	ABZIEHEN · KURZ · GANG · QUELLE	ACTION_COMMAND	PROC045	cheoar	1	1	CH	E->CH	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD014	CH+E+S	ACTION>GRADE>ACTION	ABZIEHEN · KURZ · TEILEN	ACTION_COMMAND	PROC124	ches	1	1	CH|S	E->CH	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD015	CH+E+Y	ACTION>GRADE>OBJECT_MATERIAL	ABZIEHEN · KURZ · DIES	ACTION_COMMAND	PROC001	dchey	1	1	CH	E->CH	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD016	CH+EE+CKH+O+DY	ACTION>GRADE>SOURCE_PATH_TARGET>OBJECT_MATERIAL>CLOSE	ABZIEHEN · LANG · DURCHLASS · GANG; SCHLUSS	ACTION_COMMAND	PROC057	cheeckhody	1	1	CH	EE->CH	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD017	CH+O+AIIN	ACTION>OBJECT_MATERIAL>QUANTITY_STAGE	ABZIEHEN · GANG · MASS	ACTION_COMMAND	PROC025	chodaiin	1	1	CH	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD018	CHD+AIN	ACTION>QUANTITY_STAGE	UMSETZEN · PORTION	ACTION_COMMAND	PROC151	chedain	1	1	CHD	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD019	CHD+AIR	ACTION>SOURCE_PATH_TARGET	UMSETZEN · LAUF	ACTION_COMMAND	PROC150	schedair	1	1	CHD	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
CMD020	CHD+AL	ACTION>SOURCE_PATH_TARGET	UMSETZEN · ZIEL	ACTION_COMMAND	PROC168	chdal	1	1	CHD	NONE	DIES, Ziel, Quelle oder ausgelassener Gegenstand kommen aus aktivem Bild/Fall.	YES
