statement_id	record_unit_id	free_fluent_german	source_event_ids	setting_routes	identity_routes	reconstructed_surfaces	reconstructed_tuple_ids	pair_placard_events	nomenclator_events	exact_statement
H1-S001	H1	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	dchey cthoor dar chty os chair otytchol oky aiin etyd	65f320e75510b2f38182|dedc383b600397a301ee|4d4559019a961b834aa1|80ebbbbf238eee9f0aef|df1098831679a8ad1b39|12efe866f335461823a6|62ff059766b21c7de083|276a7c2d74d1143446f4|2f1c5e56e8f0ff459065|a6939862e33ece5a0483	1	1	YES
H1-S002	H1	Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.	E011|E012|E013|E014	WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR → PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	okchy qotchol ol cthy	9ad66e67803a12e745de|e8a6105b5c3a6220b440|dcda95c81a5460feb191|e0b630cb1b5df5e7105b	2	1	YES
H2-S001	H2	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv.	E015|E016|E017|E018|E019|E020|E021|E022|E023	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	ycheor cthy or cthaiin qoctholy y y aiin y	7249edc4df3419c26999|e0b630cb1b5df5e7105b|7a4bb8136330ee4e6e56|f3c23f42baf625639e1e|af816c04e65874a0f2fa|b921a237be883a820352|b921a237be883a820352|2f1c5e56e8f0ff459065|b921a237be883a820352	0	0	YES
H2-S002	H2	Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle.	E024|E025|E026|E027|E028|E029|E030|E031	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	otchor or otol ol olor ol aiin dar	10488b911aae52b3b334|7a4bb8136330ee4e6e56|497cbd9c7401810ff56b|dcda95c81a5460feb191|dec401773c1f0347793d|dcda95c81a5460feb191|2f1c5e56e8f0ff459065|4d4559019a961b834aa1	1	0	YES
H2-S003	H2	Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.	E032|E033|E034|E035|E036|E037|E038	DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	oykchor or or y kaiiin y chodaiin	27d97af8c96eb056c2e6|7a4bb8136330ee4e6e56|7a4bb8136330ee4e6e56|b921a237be883a820352|409de02322e7b2ca0c62|b921a237be883a820352|834825c61d048a6b5628	0	0	YES
H3-S001	H3	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt.	E039|E040|E041|E042|E043|E044|E045	DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER	tshol schoal cfhy shfydaiin cphy shey tchody	953ad19b79517fc8a211|428a5e3662aa57b4b256|bdad9f9ea8b80f141496|a8af08e69edab8e54f15|deb377381ceaf55ea310|b5df9126607030b95175|2e2027b1951d79911e24	1	0	YES
H3-S002	H3	Halte einen weiteren Zutatteil für den folgenden Gang bereit.	E046	DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD	shoyty	577c03a928d674d420d7	0	0	YES
H3-S003	H3	Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß.	E047|E048|E049|E050|E051	DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	dchol y kchy y aiin	d665560c8ff80799a82c|b921a237be883a820352|b2812c8283c3a62438bd|b921a237be883a820352|2f1c5e56e8f0ff459065	0	0	YES
H3-S004	H3	Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.	E052|E053|E054|E055	CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	qotchy okchol cthy y	a48efd6c4491a046ba78|322281bd391aa621f568|e0b630cb1b5df5e7105b|b921a237be883a820352	1	0	YES
H4-S001	H4	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn.	E056|E057|E058|E059|E060	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → WHOLE_CARD_MNEMONIC → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER	okaiin saiin ykain ykan ody	b5fcea1eaed06b2f2291|2f1c5e56e8f0ff459065|403c1592f918c8f23b88|d929a14ec45749b2e805|97cc9ac109148723c472	1	1	YES
H4-S002	H4	Überführe die abgemessene Menge und verwahre sie.	E061|E062|E063	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	saiin chdy talam	2f1c5e56e8f0ff459065|6f7ff8287eddf4da9fdb|e026af581c99322fbd46	0	0	YES
H4-S003	H4	Nimm das Sollmaß des Postens aus dem gewonnenen Auszug, halte es länger warm und schließe den fortgesetzten Schritt.	E064|E065|E066|E067	DIRECT_COMPOSITION → CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	ykaiin cheoar cheeky oldy	f7dc90b2c31fd341f0a4|807591efc3d3f7ddbfab|2c1a5fd92b9e3c762242|1b1ffdd869fb1429ad03	0	0	YES
H4-S004	H4	Setze das Sollmaß an der bezeichneten Stelle ein. Führe die Zubereitung dort weiter, halte den Ansatz als aktuellen Posten und verwende eine Ansatzportion.	E068|E069|E070|E071|E072|E073	CONTRAST_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → CONTRAST_COMPOSITION → DIRECT_COMPOSITION → DIRECT_COMPOSITION	UNIQUE_VALUE_SLOT_CARD → PAIR_PLACARD_PLUS_OWNER → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD → UNIQUE_VALUE_SLOT_CARD	saiin okal oltchy sor sy orain	2f1c5e56e8f0ff459065|308e8ea2d5d190c498e8|204b04837409088c48f9|7a4bb8136330ee4e6e56|b921a237be883a820352|6afeb5c9ab9f6cbdea0d	1	0	YES
