source_position_id	event_id	record_unit_id	statement_id	family_id	controlled_phrase	value_selection_route	pair_id	identity_selection_route	context_cue	reconstructed_joint_tuple_id	expected_joint_tuple_id	reconstructed_surface	expected_surface	board_address	exact_value	exact_identity	exact_surface
S001	E001	H1	H1-S001	B01	BEZUG[Wurzelteil]	CONTRAST_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	65f320e75510b2f38182	65f320e75510b2f38182	dchey	dchey	M1_RAW_PART__S1_BEZUG_FOLGE	YES	YES	YES
S002	E002	H1	H1-S001	A01	SCHLUSS[Bereitansatz]	DIRECT_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	dedc383b600397a301ee	dedc383b600397a301ee	cthoor	cthoor	M2_PREPARATION__S6_BEREIT_ABSCHLUSS	YES	YES	YES
S003	E003	H1	H1-S001	B02	BEZUG[Quelle]	DIRECT_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	4d4559019a961b834aa1	4d4559019a961b834aa1	dar	dar	M2_PREPARATION__S1_BEZUG_FOLGE	YES	YES	YES
S004	E004	H1	H1-S001	M05	MASS[Zerkleinern]	DIRECT_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	80ebbbbf238eee9f0aef	80ebbbbf238eee9f0aef	chty	chty	M2_PREPARATION__S2_MATERIAL_MASS	YES	YES	YES
S005	E005	H1	H1-S001	B06	BEZUG[Gefäß]	DIRECT_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	df1098831679a8ad1b39	df1098831679a8ad1b39	os	os	M2_PREPARATION__S1_BEZUG_FOLGE	YES	YES	YES
S006	E006	H1	H1-S001	T09	TRANSFER[Wasserzulauf]	CONTRAST_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	12efe866f335461823a6	12efe866f335461823a6	chair	chair	M2_PREPARATION__S3_PROZESS_TRANSFER	YES	YES	YES
S007	E007	H1	H1-S001	B04	BEZUG[Folgeteilfortsetzung]	DIRECT_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	62ff059766b21c7de083	62ff059766b21c7de083	otytchol	otytchol	M2_PREPARATION__S1_BEZUG_FOLGE	YES	YES	YES
S008	E008	H1	H1-S001	Z02	ZIEL[Einsetzen]	WHOLE_CARD_MNEMONIC	P02	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	Wurzel und übrige Teile der abgebildeten Pflanze >> Sollmaß	276a7c2d74d1143446f4	276a7c2d74d1143446f4	oky	oky	M4_MEASURED_PORTION__S5_ZIEL_ANWENDUNG	YES	YES	YES
S009	E009	H1	H1-S001	M01	MASS[Sollmaß]	CONTRAST_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	2f1c5e56e8f0ff459065	2f1c5e56e8f0ff459065	aiin	aiin	M4_MEASURED_PORTION__S2_MATERIAL_MASS	YES	YES	YES
S010	E010	H1	H1-S001	A04	SCHLUSS[Kurzrest]	DIRECT_COMPOSITION	NONE	UNIQUE_VALUE_SLOT_CARD	NONE	a6939862e33ece5a0483	a6939862e33ece5a0483	etyd	etyd	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	YES	YES	YES
S011	E011	H1	H1-S002	Z02	ZIEL[Einsetzen]	WHOLE_CARD_MNEMONIC	P02	PAIR_PLACARD_PLUS_OWNER_AND_RIGHT_NEIGHBOR	Wurzel und übrige Teile der abgebildeten Pflanze >> Folgefortsetzung	9ad66e67803a12e745de	9ad66e67803a12e745de	okchy	okchy	M1_RAW_PART__S5_ZIEL_ANWENDUNG	YES	YES	YES
