card_no	surfaces	graphic_component	working_status	spoken_word_de	occurrences	sections	records	reason_de	adds_new_semantic_word
PROC003	char|dar|sar	AR	PORTABLE_STANDALONE_WORD	QUELLE	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3	häufige Quellkarte mit mehreren Schreibformen	YES
PROC005	os	OS	LEARNED_SPECIALIST_WORD	FACH	1	HERBAL	H1	einmalige, aber klar abgegrenzte Arbeitsfachkarte	YES
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	PORTABLE_STANDALONE_WORD	MASS	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	breiteste selbständige Mengenkarte über alle elf Records	YES
PROC013	cheol|chol|ol|qol|sol|tol	OL	PORTABLE_STANDALONE_WORD	FORTSETZEN	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6	gemeinsame Fortsetzungskarte mit vielen Oberflächen	YES
PROC016	chor|or|shor|sor	OR	PORTABLE_STANDALONE_WORD	ANSATZ	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4	selbständige Zubereitungskarte über Herbal und Biological	YES
PROC019	chey|chy|dy|shy|sy|y	Y	PORTABLE_STANDALONE_WORD	DIES	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6	selbständige laufende-Posten-Karte mit vielen Allographen	YES
PROC034	dchol|schol	OL	GRAPHIC_ALIAS_OF_OL	FORTSETZEN	2	HERBAL	H3|H5	zweite exakte Karte, aber kein zweiter Wert; lokale OL-Fortsetzungsform	NO
PROC043	talam	TALAM	LEARNED_SPECIALIST_WORD	VERWAHREN	1	HERBAL	H4	einmalige fachliche Verwahrkarte	YES
PROC052	cho|sho	HO	PORTABLE_STANDALONE_WORD	GABE	4	HERBAL	H5	selbständige Einsatz-/Materialgabe auf H5	YES
PROC055	al|chal|cheal|dal|sal|tal	AL	PORTABLE_STANDALONE_WORD	ZIEL	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5	breite Zielkarte über Herbal und Biological	YES
PROC058	sh	SH	PORTABLE_STANDALONE_WORD	HALTEN	1	HERBAL	H5	selbständige Handlung, sonst produktiv eingebettet	YES
PROC072	dl	L	PORTABLE_STANDALONE_WORD	FUEHREN	2	BIOLOGICAL	B1	selbständige Weg-/Transferhandlung	YES
PROC115	ls	LS	GRAPHIC_ALIAS_OF_OL	FORTSETZEN	1	BIOLOGICAL	B2	LS/WEITER ist die kurze graphische OL-Fortsetzungsalias	NO
PROC156	dain	AIN	PORTABLE_STANDALONE_WORD	PORTION	2	BIOLOGICAL	B4|B6	selbständige Portionkarte, sonst produktiv eingebettet	YES
