semantic_word_no	canonical_component	graphic_component_aliases	spoken_workshop_word_de	sentence_role	teaching_rule_de
W01	AIIN	NONE	MASS	QUANTITY	AIIN immer als MASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W02	AIN	NONE	PORTION	QUANTITY	AIN immer als PORTION sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W03	AIR	NONE	LAUF	PATH_MEDIUM	AIR immer als LAUF sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W04	AL	NONE	ZIEL	TARGET	AL immer als ZIEL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W05	AR	NONE	QUELLE	SOURCE	AR immer als QUELLE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W06	CFH	NONE	AUSWRINGEN	ACTION	CFH immer als AUSWRINGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W07	CH	NONE	ABZIEHEN	ACTION	CH immer als ABZIEHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W08	CHD	NONE	UMSETZEN	ACTION	CHD immer als UMSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W09	CHK	NONE	WAERMEN	ACTION	CHK immer als WAERMEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W10	CKH	NONE	DURCHLASS	PATH_MEDIUM	CKH immer als DURCHLASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W11	CTH	NONE	BEREIT	STATE	CTH immer als BEREIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W12	DA	NONE	ZWEIT	MODIFIER	DA immer als ZWEIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W13	DY	NONE	SCHLUSS	CLOSE	DY immer als SCHLUSS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W14	E	NONE	KURZ	GRADE	E immer als KURZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W15	EE	NONE	LANG	GRADE	EE immer als LANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W16	EEE	NONE	VOLL	GRADE	EEE immer als VOLL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W17	HO	NONE	GABE	MATERIAL	HO immer als GABE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W18	IIN	NONE	STUFE	STATE	IIN immer als STUFE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W19	K	NONE	ZUFUEHREN	ACTION	K immer als ZUFUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W20	L	NONE	FUEHREN	ACTION	L immer als FUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W21	LD	NONE	BEFESTIGEN	ACTION	LD immer als BEFESTIGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W22	LSH	NONE	WASCHEN	ACTION	LSH immer als WASCHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W23	O	NONE	GANG	PROCESS	O immer als GANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W24	OK	NONE	ANSETZEN	ACTION	OK immer als ANSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W25	OL	LS	FORTSETZEN	SEQUENCE	OL und LS gleich als FORTSETZEN sprechen.
W26	OR	NONE	ANSATZ	PREPARATION	OR immer als ANSATZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W27	OS	NONE	FACH	TARGET	OS immer als FACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W28	OT	NONE	DANACH	SEQUENCE	OT immer als DANACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W29	P	NONE	HINEIN	ACTION	P immer als HINEIN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W30	R	NONE	KUEHLEN	ACTION	R immer als KUEHLEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W31	S	NONE	TEILEN	ACTION	S immer als TEILEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W32	SH	NONE	HALTEN	ACTION	SH immer als HALTEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W33	SHED	NONE	ABSETZEN	ACTION	SHED immer als ABSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W34	SOLK	NONE	AUFFANGEN	ACTION	SOLK immer als AUFFANGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W35	T	NONE	EINTRAGEN	ACTION	T immer als EINTRAGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W36	TALAM	NONE	VERWAHREN	ACTION	TALAM immer als VERWAHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
W37	Y	NONE	DIES	ITEM	Y immer als DIES sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
