candidate_recipe	current_status	source_neighbor_count	factor_gate_status	scope_selector_rules	portable_factor_rules	amber_factor_rules	blocked_factor_rules	factor_gate_is_occurrence_prediction
AIIN	OBSERVED	3	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+AIIN	ABSENT	2	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+AIN	ABSENT	3	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIN	NONE	NONE	NO
AIIN+AIN+S+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:S<-AIIN|FOCUS:S<-AIN|FOCUS:S<-Y	NONE	NONE	NO
AIIN+AL	ABSENT	2	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AL	NONE	NONE	NO
AIIN+AL+S	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:S<-AIIN|FOCUS:S<-AL	NONE	NONE	NO
AIIN+AL+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AL|FOCUS:OWNER<-Y	NONE	NONE	NO
AIIN+AR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AR	NONE	NONE	NO
AIIN+CH+AIR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|L_AIR_RIGHT_FALLBACK	FOCUS:CH<-AIIN|FOCUS:CH<-AIR	NONE	NONE	NO
AIIN+CH+E+O	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:CH<-E	NONE	NONE	NO
AIIN+CH+E+O+D_ADDR+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:CH<-E|FOCUS:CH<-Y	NONE	NONE	NO
AIIN+CH+E+O+L	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|L_AIR_RIGHT_FALLBACK	FOCUS:CH<-AIIN|FOCUS:CH<-E|FOCUS:CH<-L	NONE	NONE	NO
AIIN+CH+E+O+R	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:CH<-E	NONE	NONE	NO
AIIN+CH+K	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|PAIR:CH>K	NONE	NONE	NO
AIIN+CH+K+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:K<-Y|PAIR:CH>K	NONE	NONE	NO
AIIN+CH+O	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN	NONE	NONE	NO
AIIN+CH+O+CH+P+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:P<-Y|PAIR:CH>P	NONE	NONE	NO
AIIN+CH+O+D_ADDR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN	NONE	NONE	NO
AIIN+CH+OR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:CH<-OR	NONE	NONE	NO
AIIN+CHD+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CHD<-AIIN|FOCUS:CHD<-Y	NONE	NONE	NO
AIIN+DA+AM_ADDR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+DY	ABSENT	1	STOP__UNLICENSED_FACTOR	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	CLOSE:NO_ACTIVE_ACTION	NO
AIIN+DY+D_LABEL	ABSENT	1	STOP__UNLICENSED_FACTOR	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	CLOSE:NO_ACTIVE_ACTION	NO
AIIN+D_ADDR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+D_ADDR+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+D_ADDR+AIR	ABSENT	1	FACTOR_AMBER_LOCAL_APPENDIX	OWNER_CONTEXT|L_AIR_RIGHT_FALLBACK	FOCUS:OWNER<-AIIN	FOCUS:OWNER<-AIR	NONE	NO
AIIN+D_ADDR+AR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AR	NONE	NONE	NO
AIIN+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	FOCUS:SH<-AIIN|FOCUS:SH<-AR|FOCUS:SH<-Y	NONE	NONE	NO
AIIN+D_ADDR+CH+O+S	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN	NONE	NONE	NO
AIIN+D_ADDR+O+IIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NO
AIIN+D_ADDR+OL+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-Y	NONE	NONE	NO
AIIN+E+K+EE+S	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-EE	NONE	NONE	NO
AIIN+K	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN	NONE	NONE	NO
AIIN+K+AIIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-AIIN	NONE	NONE	NO
AIIN+K+AIN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-AIN	NONE	NONE	NO
AIIN+K+AIR	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|L_AIR_RIGHT_FALLBACK	FOCUS:K<-AIIN|FOCUS:K<-AIR	NONE	NONE	NO
AIIN+K+AL	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:K<-AIIN|FOCUS:K<-AL	NONE	NONE	NO
AIIN+K+AL+Y	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN|FOCUS:K<-AL|FOCUS:K<-Y	NONE	NONE	NO
AIIN+K+AN	ABSENT	1	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:K<-AIIN	NONE	NONE	NO
