held_page	private_target_recipe	target_reading_de	source_neighbor_count	source_recipes	replacement_operations	source_pages	replay_status	sample_event_id	sample_incoming_action	factor_gate_status	scope_selector_rules	portable_factor_rules	amber_factor_rules	blocked_factor_rules	factor_conditional_reading_de	factor_replay_decision	occurrence_prediction
f10r	CH+AIR	NEHMEN · BAHN	3	CH+AL | CH+L | S+AIR	AL>AIR@2 | L>AIR@2 | S>CH@1	f1r|f56r|f71v|f72r|f75r|f76r|f77r|f81v|f83r	RECOVERED_STRONG	G407-E0228	T	FACTOR_GREEN_CROSS_PAGE	L_AIR_RIGHT_FALLBACK	FOCUS:CH<-AIR	NONE	NONE	NEHMEN · BAHN	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	CH+O+P+CH+AL	NEHMEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · ZIELORT	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0220	CH	FACTOR_GREEN_CROSS_PAGE	AL_AR_ORDERED_FALLBACK	FOCUS:CH<-AL|PAIR:P>CH	NONE	NONE	NEHMEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · ZIELORT	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	CH+T	NEHMEN · EINSTELLEN	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0273	T	FACTOR_GREEN_CROSS_PAGE	NONE	PAIR:CH>T	NONE	NONE	NEHMEN · EINSTELLEN	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	CH+T+CH+OR	NEHMEN · EINSTELLEN · NEHMEN · EINHEIT	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0251	K	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-OR|PAIR:CH>T|PAIR:T>CH	NONE	NONE	NEHMEN · EINSTELLEN · NEHMEN · EINHEIT	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	CH+T+O+OR	NEHMEN · EINSTELLEN · AUSFÜHRUNG · EINHEIT	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0224	CH	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-OR|PAIR:CH>T	NONE	NONE	NEHMEN · EINSTELLEN · AUSFÜHRUNG · EINHEIT	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	CH+T+Y+D_ADDR	NEHMEN · EINSTELLEN · POSTEN · HIER	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0301	SH	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-Y|PAIR:CH>T	NONE	NONE	NEHMEN · EINSTELLEN · POSTEN · HIER	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	K+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN · HIER · VARIANTE · STUFE	1	OK+A_ADDR+LOCAL_CHAR_I+IIN	OK>K@1	f68r1	ONE_NEIGHBOR_NOT_PREDICTED	G407-E0289	CH	FACTOR_GREEN_CROSS_PAGE	NONE	NONE	NONE	NONE	GEBEN · HIER · VARIANTE · STUFE	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	K+O+M_LOCAL	GEBEN · AUSFÜHRUNG · HIER	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0222	CH	FACTOR_GREEN_CROSS_PAGE	NONE	NONE	NONE	NONE	GEBEN · AUSFÜHRUNG · HIER	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	O+CH+T+O+D_ADDR+Y	AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · POSTEN	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0217	SH	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE	FOCUS:T<-Y|PAIR:CH>T	NONE	NONE	AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · POSTEN	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
f10r	O+OT+OR	AUSFÜHRUNG · DANACH · EINHEIT	0	NONE	NONE	NONE	NOT_RECOVERED_BY_ONE_CORE_REPLACEMENT	G407-E0292	CH	FACTOR_GREEN_CROSS_PAGE	PREVIOUS_CARD_STACK	FOCUS:CH<-OR	NONE	NONE	AUSFÜHRUNG · DANACH · EINHEIT	READ_GREEN	NO__VISIBLE_RECIPE_REQUIRED
