statement_id	page	record	card_ordinal_in_statement	surface	component_recipe	output_layer	formula_family
H1-S001	f10r	H1	1	dchey	CH+E+Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	2	cthoor	CTH+O+OR	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	3	char	AR	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	4	chty	T+Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	5	os	OS	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	6	chair	CH+AIR	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	7	otytchol	OT+Y+T+CH+OL	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	8	oky	OK+Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	9	daiin	AIIN	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S001	f10r	H1	10	etyd	E+T+Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H1-S002	f10r	H1	1	qokchy	OK+Y	PRODUCTIVE_OR_SMALL_PHRASE	PRODUCTIVE_OR_SMALL_PHRASE_LAYER
H1-S002	f10r	H1	2	qotchol	OT+CH+OL	PRODUCTIVE_OR_SMALL_PHRASE	PRODUCTIVE_OR_SMALL_PHRASE_LAYER
H1-S002	f10r	H1	3	chol	OL	PRODUCTIVE_OR_SMALL_PHRASE	PRODUCTIVE_OR_SMALL_PHRASE_LAYER
H1-S002	f10r	H1	4	cthy	CTH+Y	PRODUCTIVE_OR_SMALL_PHRASE	PRODUCTIVE_OR_SMALL_PHRASE_LAYER
H2-S001	f10r	H2	1	ycheor	Y+CH+E+OR	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	2	cthy	CTH+Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	3	chor	OR	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	4	cthaiin	CTH+AIIN	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	5	qoctholy	O+CTH+OL+Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	6	dy	Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	7	chy	Y	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
H2-S001	f10r	H2	8	taiin	AIIN	LARGE_BOUND_EXEMPLAR	HERBAL_OWNER_MATERIAL_ECHO
