context_id	fixed_side	fixed_neighbor	inner_e_levels	distinct_levels	occurrences_by_level	surfaces	pages	loci
G633-IC001	LEFT	aiin	0|2	2	0:1|2:1	ctheey|cthy	2	f113r.40|f15v.2
G633-IC002	LEFT	chey	0|1	2	0:1|1:1	cthey|cthy	2	f24r.5|f27r.12
G633-IC003	LEFT	chodaiin	0|1	2	0:1|1:1	cthey|cthy	2	f10v.2|f96r.5
G633-IC004	LEFT	chody	0|1	2	0:1|1:1	cthey|cthy	2	f11r.6|f46v.6
G633-IC005	LEFT	daiin	0|1|2	3	0:11|1:3|2:1	ctheey|cthey|cthy	15	f11r.5|f15r.5|f15v.11|f22v.12|f29r.8|f2r.10|f32r.13|f3r.3|f44v.3|f45v.2|f4r.13|f4v.4|f51v.2|f87r.5|f9v.3
G633-IC006	LEFT	qokchy	0|1	2	0:1|1:1	cthey|cthy	2	f18r.12|f9r.8
G633-IC007	LEFT	shol	0|1|2	3	0:3|1:1|2:1	ctheey|cthey|cthy	5	f42r.11|f44v.5|f4r.8|f53v.2|f87r.14
G633-IC008	RIGHT	<END>	0|1|2	3	0:26|1:4|2:1	ctheey|cthey|cthy	26	f10r.5|f15r.3|f15v.11|f16v.10|f17v.22|f18r.12|f22v.12|f26r.5|f29r.8|f2r.2|f2r.6|f32r.13|f35v.4|f3r.19|f3r.3|f3v.9|f44v.3|f46v.5|f47v.4|f4r.13|f4r.4|f51v.2|f56r.15|f6r.12|f6r.13|f6v.12|f6v.16|f87v.6|f96r.2|f99r.47|f9r.1
G633-IC009	RIGHT	chey	0|1	2	0:1|1:2	cthey|cthy	3	f106v.44|f29v.2|f5r.2
G633-IC010	RIGHT	chol	0|1	2	0:2|1:1	cthey|cthy	3	f104v.31|f20v.9|f45v.9
G633-IC011	RIGHT	cthy	0|2	2	0:1|2:1	ctheey|cthy	2	f17v.22|f44v.3
G633-IC012	RIGHT	daiin	0|2	2	0:6|2:1	ctheey|cthy	7	f10v.2|f15r.5|f20v.7|f21r.2|f21v.5|f7v.2|f99r.42
G633-IC013	RIGHT	dar	0|2	2	0:1|2:1	ctheey|cthy	2	f42r.11|f8r.16
G633-IC014	RIGHT	otaiin	0|2	2	0:1|2:1	ctheey|cthy	2	f21r.10|f9v.3
G633-IC015	RIGHT	otal	0|1	2	0:1|1:1	cthey|cthy	2	f27r.12|f44v.11
G633-IC016	RIGHT	qokeey	0|1	2	0:1|1:1	cthey|cthy	2	f100r.13|f52v.8
G633-IC017	RIGHT	qokol	0|1	2	0:1|1:1	cthey|cthy	2	f22v.8|f89v1.10
G633-IC018	RIGHT	s	0|1	2	0:4|1:1	cthey|cthy	5	f11r.6|f11v.7|f15v.5|f21r.9|f6v.13
