ladder_id	quality_prefix	o_slot	remainder	observed_e_levels	distinct_levels	e0_surface	e0_occurrences	e1_surface	e1_occurrences	e2_surface	e2_occurrences	working_contrast_de
G633-L001	CH	0	al	0|1	2	chcthal	2	checthal	1	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L002	CH	0	am	0|1	2	chctham	2	chectham	1	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L003	CH	0	dy	0|1	2	chcthdy	7	checthdy	1	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L004	CH	0	edy	0|1	2	chcthedy	6	checthedy	2	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L005	CH	0	ey	0|1	2	chcthey	7	checthey	3	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L006	CH	0	y	0|1|2	3	chcthy	75	checthy	26	cheecthy	1	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L007	CH	1	edy	0|1	2	chocthedy	1	cheocthedy	1	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L008	CH	1	ey	0|1	2	chocthey	4	cheocthey	1	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L009	CH	1	y	0|1	2	chocthy	17	cheocthy	4	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L010	SH	0	edy	0|1	2	shcthedy	1	shecthedy	1	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L011	SH	0	ey	0|1|2	3	shcthey	4	shecthey	1	sheecthey	1	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L012	SH	0	y	0|1	2	shcthy	29	shecthy	18	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
G633-L013	SH	1	y	0|1	2	shocthy	10	sheocthy	3	NONE	0	prädikativ/ungebunden ↔ attributiv gebunden ↔ erweiterte Bindungsstufe
