scope	outer_e_slot	o_slot	interfix	occurrences	hot_occurrences	cold_occurrences	immediate_hot_occurrences	immediate_cold_occurrences	hot_share	cold_share	diagnosis_de
GLOBAL	0	0	NONE	154	38	17	24	12	0.246753	0.110390	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
GLOBAL	1	0	E	55	12	1	10	0	0.218182	0.018182	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
GLOBAL	0	1	O	36	3	4	1	2	0.083333	0.111111	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
GLOBAL	1	1	EO	10	1	2	1	0	0.100000	0.200000	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_B	0	0	NONE	36	19	5	13	4	0.527778	0.138889	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_B	1	0	E	29	9	1	9	0	0.310345	0.034483	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_B	0	1	O	0	0	0	0	0	0.000000	0.000000	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_B	1	1	EO	0	0	0	0	0	0.000000	0.000000	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_S	0	0	NONE	49	14	9	9	5	0.285714	0.183673	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_S	1	0	E	17	2	0	1	0	0.117647	0.000000	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_S	0	1	O	6	1	3	1	2	0.166667	0.500000	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
SECTION_S	1	1	EO	4	0	1	0	0	0.000000	0.250000	E ist vorkommensnormalisiert nicht heiß-angereichert; Kältemangel hält Erhitzen nur als schwachen Rivalen offen
