pair_id	axis	fixed_body	left_surface	right_surface	left_occurrences	right_occurrences	working_contrast_de
G633-P001	OUTER_E_INSERTION	CH|O0|al	chcthal	checthal	2	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P002	OUTER_E_INSERTION	CH|O0|am	chctham	chectham	2	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P003	OUTER_E_INSERTION	CH|O0|dy	chcthdy	checthdy	7	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P004	OUTER_E_INSERTION	CH|O0|edy	chcthedy	checthedy	6	2	prädikativ/ungebunden ↔ attributiv gebunden
G633-P005	O_INSERTION	CH|E0|edy	chcthedy	chocthedy	6	1	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P006	OUTER_E_INSERTION	CH|O0|ey	chcthey	checthey	7	3	prädikativ/ungebunden ↔ attributiv gebunden
G633-P007	O_INSERTION	CH|E0|ey	chcthey	chocthey	7	4	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P008	O_INSERTION	CH|E0|ody	chcthody	chocthody	3	1	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P009	OUTER_E_INSERTION	CH|O0|y	chcthy	checthy	75	26	prädikativ/ungebunden ↔ attributiv gebunden
G633-P010	O_INSERTION	CH|E0|y	chcthy	chocthy	75	17	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P011	OUTER_E_INSERTION	CH|O1|edy	chocthedy	cheocthedy	1	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P012	OUTER_E_INSERTION	CH|O1|ey	chocthey	cheocthey	4	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P013	OUTER_E_INSERTION	CH|O1|y	chocthy	cheocthy	17	4	prädikativ/ungebunden ↔ attributiv gebunden
G633-P014	O_INSERTION	CH|E1|edy	checthedy	cheocthedy	2	1	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P015	E_VS_O	CH|edy	checthedy	chocthedy	2	1	attributive Materialform ↔ prädikative Zubereitungsform
G633-P016	O_INSERTION	CH|E1|ey	checthey	cheocthey	3	1	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P017	E_VS_O	CH|ey	checthey	chocthey	3	4	attributive Materialform ↔ prädikative Zubereitungsform
G633-P018	O_INSERTION	CH|E1|y	checthy	cheocthy	26	4	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P019	E_VS_O	CH|y	checthy	chocthy	26	17	attributive Materialform ↔ prädikative Zubereitungsform
G633-P020	OUTER_E_INSERTION	SH|O0|edy	shcthedy	shecthedy	1	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P021	OUTER_E_INSERTION	SH|O0|ey	shcthey	shecthey	4	1	prädikativ/ungebunden ↔ attributiv gebunden
G633-P022	O_INSERTION	SH|E0|ey	shcthey	shocthey	4	1	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P023	OUTER_E_INSERTION	SH|O0|y	shcthy	shecthy	29	18	prädikativ/ungebunden ↔ attributiv gebunden
G633-P024	O_INSERTION	SH|E0|y	shcthy	shocthy	29	10	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P025	OUTER_E_INSERTION	SH|O1|y	shocthy	sheocthy	10	3	prädikativ/ungebunden ↔ attributiv gebunden
G633-P026	E_VS_O	SH|ey	shecthey	shocthey	1	1	attributive Materialform ↔ prädikative Zubereitungsform
G633-P027	O_INSERTION	SH|E1|y	shecthy	sheocthy	18	3	CTH-Material ↔ Zubereitung/Ansatz aus CTH-Material
G633-P028	E_VS_O	SH|y	shecthy	shocthy	18	10	attributive Materialform ↔ prädikative Zubereitungsform
