translation_id	source_kind	source_id	page	locus	surface_display	normalized_surface	quality_prefix	outer_e_level	o_slot	remainder	working_translation_de	observation_status	residual_policy_de
G633-T0001	FUSED	G633-O0001	f100v	f100v.19	chocthey	chocthey	CH	0	1	ey	CTH-Drogenzubereitung: trocken, Form I	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0002	FUSED	G633-O0002	f102r1	f102r1.3	shocthy	shocthy	SH	0	1	y	CTH-Drogenzubereitung: feucht	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0003	FUSED	G633-O0003	f102v1	f102v1.7	sheocthy	sheocthy	SH	1	1	y	feuchte CTH-Drogenzubereitung	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0004	FUSED	G633-O0004	f103r	f103r.6	shcthy	shcthy	SH	0	0	y	CTH-Drogenmaterial: feucht	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0005	FUSED	G633-O0005	f103r	f103r.14	chcthy	chcthy	CH	0	0	y	CTH-Drogenmaterial: trocken	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0006	FUSED	G633-O0006	f103r	f103r.18	checthy	checthy	CH	1	0	y	trockenes CTH-Drogenmaterial	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0007	FUSED	G633-O0007	f103r	f103r.22	chcthy	chcthy	CH	0	0	y	CTH-Drogenmaterial: trocken	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0008	FUSED	G633-O0008	f103r	f103r.24	shcthy	shcthy	SH	0	0	y	CTH-Drogenmaterial: feucht	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0009	FUSED	G633-O0009	f103r	f103r.32	shcthy	shcthy	SH	0	0	y	CTH-Drogenmaterial: feucht	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0010	FUSED	G633-O0010	f103r	f103r.38	shcthy	shcthy	SH	0	0	y	CTH-Drogenmaterial: feucht	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0011	FUSED	G633-O0011	f103v	f103v.3	chcthy	chcthy	CH	0	0	y	CTH-Drogenmaterial: trocken	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0012	FUSED	G633-O0012	f103v	f103v.29	chcthy	chcthy	CH	0	0	y	CTH-Drogenmaterial: trocken	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
G633-T0013	FUSED	G633-O0013	f104r	f104r.2	chcthedy	chcthedy	CH	0	0	edy	CTH-Drogenmaterial: trocken; Rest edy offen	OBSERVED_FUSED	Nur der sichtbare CTH-Ausdruck wird gelesen; Nachbarn werden nicht mit Füllprosa ergänzt
