head_prefix	page	inner_e_levels	distinct_levels	occurrences	surfaces	loci
CTH	f17r	0|1	2	2	cthey|cthy	f17r.5
CTH	f17v	0|2	2	3	ctheey|cthy	f17v.15|f17v.22
CTH	f21r	0|1|2	3	4	ctheey|cthey|cthy	f21r.10|f21r.2|f21r.9
CTH	f2r	0|1	2	4	cthey|cthy	f2r.10|f2r.2|f2r.3|f2r.6
CTH	f33v	0|1	2	2	cthey|cthy	f33v.1|f33v.5
CTH	f46v	0|1	2	2	cthey|cthy	f46v.5|f46v.6
CTH	f4r	0|1	2	3	cthey|cthy	f4r.13|f4r.4|f4r.8
CTH	f4v	0|1	2	2	cthey|cthy	f4v.2|f4v.4
CTH	f5r	0|1	2	2	cthey|cthy	f5r.2|f5r.6
CTH	f87r	1|2	2	2	ctheey|cthey	f87r.14|f87r.5
CTH	f87v	0|1|2	3	5	ctheey|cthey|cthy	f87v.2|f87v.3|f87v.6|f87v.7|f87v.8
CTH	f9r	0|1	2	5	cthey|cthy	f9r.1|f9r.3|f9r.5|f9r.8|f9r.9
O_CTH	f86v5	0|1	2	2	octhey|octhy	f86v5.11|f86v5.39
