context_id	page	locus	o_surface	remainder	cth_counterpart	cth_counterpart_occurrences	cth_counterpart_pages	same_page_counterpart	left_surface	right_surface	position	section	language	hand	working_contrast_de
G633-OR001	f104r	f104r.10	octheody	eody	ctheody	4	4	0	qokchd	cholfor	MIDDLE	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR002	f104r	f104r.12	octhy	y	cthy	92	50	0	al	qotor	MIDDLE	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR003	f106v	f106v.5	octhy	y	cthy	92	50	0	aiin	dair	MIDDLE	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR004	f10r	f10r.1	octhody	ody	cthody	13	11	0	shor	chorchy	MIDDLE	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR005	f112r	f112r.15	octhy	y	cthy	92	50	0	alchar	otedy	MIDDLE	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR006	f112r	f112r.23	octhdy	dy	cthdy	7	7	0	oteor	otychey	MIDDLE	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR007	f114r	f114r.13	octhdy	dy	cthdy	7	7	0	daiin	<END>	LAST	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR008	f114v	f114v.34	octhy	y	cthy	92	50	0	qotedal	sotey	MIDDLE	S	B	3	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR009	f13v	f13v.1	octhos	os	cthos	1	1	0	otchy	<END>	LAST	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR010	f15r	f15r.9	octhain	ain	cthain	4	3	0	<START>	qokaiin	FIRST	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR011	f15v	f15v.9	octhol	ol	cthol	51	34	0	otchol	chol	MIDDLE	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR012	f18r	f18r.1	octhor	or	cthor	43	33	1	chckhy	dal	MIDDLE	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR013	f19r	f19r.13	octhor	or	cthor	43	33	1	os	ytchor	MIDDLE	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR014	f24v	f24v.3	octhyl	yl	cthyl	0	0	0	<START>	odchees	FIRST	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR015	f29v	f29v.11	octhy	y	cthy	92	50	1	chteor	dar	MIDDLE	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR016	f34r	f34r.2	octhedy	edy	cthedy	11	9	0	lam	otedy	MIDDLE	H	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR017	f3r	f3r.12	octhy	y	cthy	92	50	1	schodam	<END>	LAST	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR018	f43v	f43v.2	octhy	y	cthy	92	50	0	shedy	otedy	MIDDLE	H	B	2	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR019	f48r	f48r.5	octhey	ey	cthey	38	33	0	qoekaiin	cholkar	MIDDLE	H	B	5	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
G633-OR020	f53v	f53v.9	octheody	eody	ctheody	4	4	1	<START>	shody	FIRST	H	A	1	CTH-Material ↔ Zubereitung/Ansatz aus demselben CTH-Material
