occurrence_id	page	locus	token_index	surface	quality_prefix	outer_e_level	o_slot	remainder	structural_parse	triple_exact_token_stable	triple_boundary_normalized	left_surface	right_surface	position	section	language	hand	material_default_de	outer_e_default_de	inner_form_default_de	working_translation_de	surface_line
G633-O0001	f100v	f100v.19	4	chocthey	CH	0	1	ey	ch+∅+o+cth+ey	1	1	chockhy	keody	MIDDLE	P	A	1	CTH-Drogenzubereitung	UNgebunden_prädikativ	FORM_I	CTH-Drogenzubereitung: trocken, Form I	sain cheokeos chockhy chocthey keody choor chckhey du
G633-O0002	f102r1	f102r1.3	2	shocthy	SH	0	1	y	sh+∅+o+cth+y	1	1	polaiin	qoteol	MIDDLE	P	A	1	CTH-Drogenzubereitung	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenzubereitung: feucht	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
G633-O0003	f102v1	f102v1.7	7	sheocthy	SH	1	1	y	sh+e+o+cth+y	0	1	shockhsy	qokeody	MIDDLE	P	A	1	CTH-Drogenzubereitung	attributiv_gebunden	GRUNDFORM	feuchte CTH-Drogenzubereitung	poaiin ockhey pchol doiin shey shockhsy sheocthy qokeody
G633-O0004	f103r	f103r.6	8	shcthy	SH	0	0	y	sh+∅+∅+cth+y	1	1	qokealdy	qotedy	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: feucht	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota san am
G633-O0005	f103r	f103r.14	12	chcthy	CH	0	0	y	ch+∅+∅+cth+y	1	1	eekain	qoky	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: trocken	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky
G633-O0006	f103r	f103r.18	4	checthy	CH	1	0	y	ch+e+∅+cth+y	1	1	okain	oteeylshedy	MIDDLE	S	B	3	CTH-Drogenmaterial	attributiv_gebunden	GRUNDFORM	trockenes CTH-Drogenmaterial	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G633-O0007	f103r	f103r.22	8	chcthy	CH	0	0	y	ch+∅+∅+cth+y	1	1	qotar	chep	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: trocken	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy
G633-O0008	f103r	f103r.24	8	shcthy	SH	0	0	y	sh+∅+∅+cth+y	1	1	qotain	otey	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: feucht	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
G633-O0009	f103r	f103r.32	7	shcthy	SH	0	0	y	sh+∅+∅+cth+y	1	1	otedy	oraiin	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: feucht	okeey shedy qokedy qokal shety otedy shcthy oraiin
G633-O0010	f103r	f103r.38	3	shcthy	SH	0	0	y	sh+∅+∅+cth+y	0	0	qokain	chckhy	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: feucht	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey
G633-O0011	f103v	f103v.3	6	chcthy	CH	0	0	y	ch+∅+∅+cth+y	0	0	dar	char	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: trocken	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain
G633-O0012	f103v	f103v.29	5	chcthy	CH	0	0	y	ch+∅+∅+cth+y	1	1	sho	sal	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: trocken	olcheeey chey lkchdy sho chcthy sal araiin qokeey
G633-O0013	f104r	f104r.2	13	chcthedy	CH	0	0	edy	ch+∅+∅+cth+edy	1	1	aiin	teedaram	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	RESTFORM_edy	CTH-Drogenmaterial: trocken; Rest edy offen	o ar aiin yteeody cheedaiin cheodar s aiin chey tair os aiin chcthedy teedaram
G633-O0014	f104r	f104r.40	9	chcthy	CH	0	0	y	ch+∅+∅+cth+y	1	1	oeear	olched	MIDDLE	S	B	3	CTH-Drogenmaterial	UNgebunden_prädikativ	GRUNDFORM	CTH-Drogenmaterial: trocken	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin
