context_id	remainder	fixed_side	fixed_neighbor	cth_occurrences	octh_occurrences	cth_surfaces	octh_surfaces	pages	loci
G633-OC001	am	RIGHT	<END>	1	1	ctham	octham	2	f47r.8|f6v.21
G633-OC002	dy	RIGHT	<END>	2	1	cthdy	octhdy	3	f108v.9|f114r.13|f78r.31
G633-OC003	edy	RIGHT	otedy	1	1	cthedy	octhedy	2	f34r.2|f76v.14
G633-OC004	ey	LEFT	ey	1	1	cthey	octhey	2	f20r.2|f99r.51
G633-OC005	ody	RIGHT	<END>	2	1	cthody	octhody	3	f13v.3|f27r.4|f89v1.5
G633-OC006	ol	RIGHT	chol	4	1	cthol	octhol	5	f15v.9|f32r.3|f35r.14|f42r.10|f7r.7
G633-OC007	y	LEFT	aiin	1	1	cthy	octhy	2	f106v.5|f15v.2
G633-OC008	y	RIGHT	<END>	26	1	cthy	octhy	22	f10r.5|f15r.3|f15v.11|f16v.10|f17v.22|f18r.12|f22v.12|f29r.8|f2r.2|f2r.6|f32r.13|f35v.4|f3r.12|f3r.19|f3r.3|f3v.9|f44v.3|f46v.5|f47v.4|f4r.4|f51v.2|f56r.15|f6r.12|f6r.13|f6v.12|f6v.16|f9r.1
G633-OC009	y	RIGHT	dair	1	1	cthy	octhy	2	f106v.5|f36r.1
G633-OC010	y	RIGHT	dar	1	1	cthy	octhy	2	f29v.11|f8r.16
G633-OC011	y	RIGHT	dy	3	1	cthy	octhy	4	f11r.7|f15r.5|f33v.5|f86v5.39
G633-OC012	y	RIGHT	otedy	1	2	cthy	octhy	3	f112r.15|f43v.2|f46r.7
