family_id	skeleton	e_lengths	distinct_lengths	surfaces_by_length	occurrences_by_length	types	occurrences	has_e_ee	has_e_ee_eee	has_e_through_eeee
G633-EB0001	<E>	1|3	2	1:e|3:eee	1:5|3:1	2	6	0	0	0
G633-EB0002	<E>dy	1|2|3	3	1:edy|2:eedy|3:eeedy	1:1|2:4|3:6	3	11	1	1	0
G633-EB0003	<E>o	1|2	2	1:eo|2:eeo	1:1|2:1	2	2	1	0	0
G633-EB0004	<E>odaiin	2|3	2	2:eeodaiin|3:eeeodaiin	2:1|3:1	2	2	0	0	0
G633-EB0005	<E>ody	1|2	2	1:eody|2:eeody	1:1|2:1	2	2	1	0	0
G633-EB0006	<E>ol	1|2	2	1:eol|2:eeol	1:1|2:1	2	2	1	0	0
G633-EB0007	<E>or	1|2	2	1:eor|2:eeor	1:1|2:1	2	2	1	0	0
G633-EB0008	<E>s	1|2|3	3	1:es|2:ees|3:eees	1:2|2:3|3:8	3	13	1	1	0
G633-EB0009	<E>y	1|2|3	3	1:ey|2:eey|3:eeey	1:14|2:8|3:2	3	24	1	1	0
G633-EB0010	alch<E>y	1|2	2	1:alchey|2:alcheey	1:4|2:1	2	5	1	0	0
G633-EB0011	alk<E>dy	1|2	2	1:alkedy|2:alkeedy	1:1|2:2	2	3	1	0	0
G633-EB0012	alk<E>y	1|2	2	1:alkey|2:alkeey	1:1|2:1	2	2	1	0	0
G633-EB0013	arch<E>y	1|2	2	1:archey|2:archeey	1:1|2:1	2	2	1	0	0
G633-EB0014	arsh<E>y	1|2	2	1:arshey|2:arsheey	1:1|2:1	2	2	1	0	0
G633-EB0015	ch<E>	1|2	2	1:che|2:chee	1:1|2:1	2	2	1	0	0
G633-EB0016	ch<E>aiin	1|2	2	1:cheaiin|2:cheeaiin	1:4|2:2	2	6	1	0	0
G633-EB0017	ch<E>al	1|2|3	3	1:cheal|2:cheeal|3:cheeeal	1:26|2:3|3:1	3	30	1	1	0
G633-EB0018	ch<E>ar	1|2	2	1:chear|2:cheear	1:44|2:1	2	45	1	0	0
G633-EB0019	ch<E>b	2|3	2	2:cheeb|3:cheeeb	2:3|3:1	2	4	0	0	0
G633-EB0020	ch<E>cthy	1|2	2	1:checthy|2:cheecthy	1:26|2:1	2	27	1	0	0
G633-EB0021	ch<E>d	1|2	2	1:ched|2:cheed	1:17|2:3	2	20	1	0	0
G633-EB0022	ch<E>daiin	1|2	2	1:chedaiin|2:cheedaiin	1:32|2:5	2	37	1	0	0
G633-EB0023	ch<E>dain	1|2	2	1:chedain|2:cheedain	1:17|2:2	2	19	1	0	0
G633-EB0024	ch<E>dar	1|2	2	1:chedar|2:cheedar	1:31|2:5	2	36	1	0	0
G633-EB0025	ch<E>dy	1|2	2	1:chedy|2:cheedy	1:470|2:56	2	526	1	0	0
