candidate_surface	expected_analogy_confidence_level	expected_consensus_axes	next_working_meaning_de	meaning_rationale_de
adchey	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|MIDDLE_STAGE	trockener Stoff oder abgemessene Portion der Mittelstufe	Die beiden Distanz-1-Ganzwörter alchey und dchey teilen Trockenheit und Mittelstufe; Material gegen Portion bleibt offen.
alchd	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	DRY|MATERIAL|PROCESS	getrockneter oder zu trocknender Rohstoff; Prozessform mit möglichem Abschluss	alchdy und die Radius-2-Nachbarn teilen Rohstoff, Trocknung und Bearbeitung; Abschluss ist häufig, aber kein Konsensanker.
alom	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL	Rohstoff-/Drogenstoff der Klasse I; Maßlesung offen	alam und alol teilen den Rohstoff-/Materialkern, unterscheiden aber Maß gegen Stoffform.
chckh	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|PREPARATION	trockenes Kompositum oder trockene Mischung	Die drei Distanz-1-Nachbarn verbinden die Form geschlossen mit trockener Zubereitung; Pflanzendroge bleibt ein Randrivale.
cheear	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY	trockene Fraktion oder Rohstoffform; genaue Stufe offen	Vier Distanz-1-Ganzwörter teilen Trockenheit, streuen jedoch über Fraktion, Rohstoff, Hitze und Mittel-/Endstufe.
cheeey	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|END_STAGE	trockener End-/Vollzustand; Träger offen	cheedy, cheeky und cheey teilen Trockenheit und den Endbereich; Hitze und Abschluss sind nicht durchgehend.
cheetar	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	DRY|PART	trockene Teil-/Fraktionsform; wahrscheinlich abgemessen	Alle fünf Distanz-2-Nachbarn tragen Trockenheit, die Mehrheit einen Teil- oder Fraktionsbezug; die genaue Stufe bleibt uneinheitlich.
chepchy	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	DRY|PREPARATION	trockene Zubereitung in Grundform; kalt gegen heiß offen	chetchy und der Radius-2-Kreis tragen zuverlässig Trockenheit und meist eine Zubereitung; die Temperatur polarisiert.
chetar	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|PART|MIDDLE_STAGE	erste trockene Fraktion der Mittelstufe	chedar und chekar stimmen in trockener erster Fraktion und Mittelstufe überein; Hitze ist nur im zweiten Nachbarn vorhanden.
chtar	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|PART	trockene Teil-/Fraktion; Rohstoff- oder Ansatzträger offen	chkar, choar und chtal sichern Trockenheit und Teil-/Fraktionsnähe, aber nicht denselben Träger oder dieselbe Temperatur.
chtl	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY	trocken oder getrocknet; Stoff gegen Vorgang offen	Sechs Distanz-1-Ganzwörter teilen ausschließlich die Trockenachse; Material, Kälte und Imperativ sind Rivalen.
dalaiin	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	MATERIAL	Materialeintrag mit Zahlen-/Stufenbezug; III gegen IV offen	Der Distanz-2-Kreis ist durch Materialmengen geprägt, doch daiin/daiiin und die Drei-Portionen-Formen widersprechen sich bei der genauen Stufe.
dcheeoy	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	DRY|END_STAGE	vollständig getrocknete Endstufen-Portion; Ergebnis gegen Vorgang offen	dcheey ist die direkte Portions-/Trocknungsanalogie; der breitere Kreis stabilisiert Trockenheit und Endstufe, nicht die Wortart.
dsheedy	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MOIST|MATERIAL|END_STAGE	vollständig angefeuchteter oder eingeweichter Stoff; abgemessene Portion als Rivale	dshedy, dsheey und sheedy teilen Feuchte, Stoffnähe und Endbereich; Abmessung erscheint nur in zwei Nachbarn.
kchekain	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|DRY|MIDDLE_STAGE|LEVEL_II	trocken und erhitzt auf Mittel-/Stufe II	chekain ist der direkte Ganzwortnachbar; sieben weitere Nachbarn halten Trockenheit, Hitze und Stufe II im selben Feld.
odeeey	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	PREPARATION	Ansatz/Zubereitung der letzten oder vollständigen Stufe; Kühlung als stärkste Einzelanalogie	oteeey liefert direkt vollständiges Abkühlen, während der Radius-2-Kreis nur den Zubereitungsträger gemeinsam hält.
oeedy	A1_MIXED_NEIGHBORHOOD	NONE	abgeschlossener Qualitätszustand; heiß gegen kalt und Mittel gegen Ende offen	Sieben Distanz-1-Nachbarn bilden ein echtes Heiß/Kalt- und Mittel/End-Gemisch; ein einzelner Achsenwert wäre künstlich.
okairody	A0_NO_CLEAN_NEIGHBOR	NONE	Rezeptinhalt oder Zutat; genaue Funktion offen	Kein sauberer W2/W3-Ganzwortnachbar liegt in Editdistanz zwei; nur das geerbte preskriptive Feld bleibt.
okalor	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|MATERIAL|PREPARATION	Ansatz-/Stoffportion aus Rohstoff I; heiß dominiert, kalt bleibt direkter Rivale	Der Radius-2-Kreis bevorzugt heißen Stoff im Ansatz, aber der einzige Distanz-1-Nachbar otalor ist ausdrücklich kalt.
okechol	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|DRY|MATERIAL|PREPARATION	heiß-trockener Stoff im Ansatz	okchol ist die direkte Zubereitungsanalogie; der Radius-2-Kreis bestätigt Hitze, Trockenheit, Material und Ansatz.
okeeody	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|PREPARATION|END_STAGE	vollständig erhitzter oder ausgekochter Ansatz; Abschlussstatus	keeody, okeedy und qokeeody teilen erhitzte Zubereitung und Endbereich; ein expliziter Abschluss steht nicht in allen drei.
olkeeor	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|AMOUNT|MATERIAL|END_STAGE	Portion vollständig erhitzten Stoffes oder Auszugs	olkeeo liefert den heißen Auszug; vier weitere Nachbarn stabilisieren Hitze, Menge, Material und Voll-/Endbereich.
olky	A1_MIXED_NEIGHBORHOOD	NONE	erhitzte Stoffform oder Abseih-/Abschlussform; unentschieden	Die vier Distanz-1-Nachbarn teilen sich zwischen heißem Ansatz, Zugabe, Abseihen und fertigem Auszug; keine Achse erreicht Konsens.
otalsy	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL|PREPARATION	Rohstoff-I-Ansatz; leicht gekühlt oder fertiggestellt	otaldy und otaly stimmen im Rohstoff-I-Ansatz überein, unterscheiden aber Fertigstellung und leichte Kühlung.
otechshy	A0_NO_CLEAN_NEIGHBOR	NONE	beschreibender Stoff-/Zustandsinhalt; genaue Identität und Funktion offen	Kein sauberer W2/W3-Ganzwortnachbar liegt in Editdistanz zwei; nur das geerbte deskriptive Materia-Feld bleibt.
oteeol	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COLD|MATERIAL|PREPARATION	gekühlter Stoff im Ansatz; zweiter Kaltansatz als Rivale	oteol und oteeo stützen Kälte und Ansatz, während okeeol die direkte heiße Gegenform liefert; Material/Zubereitung bleibt stabil.
oteeos	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COLD|PREPARATION	Kaltansatz oder Kaltcharge; zweite gegen mittlere Stufe offen	oteeo und oteos stimmen im kalten Ansatz überein, unterscheiden aber zweiten Durchgang und mittlere Charge.
qochey	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|MIDDLE_STAGE	trocken bis zur Mittelstufe; Zustands-, Zugabe- oder Mengenbezug offen	Fünf Distanz-1-Nachbarn sichern Trockenheit und Mitte; die zwei GDT744-Felder widersprechen sich deskriptiv gegen Menge/Teil.
qoeechdy	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|DRY	erhitzen und trocknen bis zum Abschluss	qokechdy ist die direkte Vorgangsanalogie; der Radius-2-Kreis hält Hitze und Trockenheit, während Abschluss und Stufe variieren.
qoeedaiin	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	AMOUNT|PROCESS|END_STAGE	drei Portionen eines vollständig bereiteten Ansatzes abmessen	oeedaiin ist der direkte Drei-Portionen-Nachbar; alle vier Analogien tragen Menge, die Mehrheit Endbereich und Prozess.
