focus_id	expected_surface	expected_locus	manual_assessment	manual_note
G745-F01	sheeol	f111r.7	ANALOGY_COHERENT_CONTEXT_OPEN	The five distance-1 wholes justify a treated-material reading, but this occurrence supplies no independent clean anchor and cannot choose moist versus dry.
G745-F02	okeeody	f105r.19	ANALOGY_COHERENT_CONTEXT_OPEN	The three distance-1 wholes converge on a heated complete preparation; the local line remains untyped, so patient and action/result stay open.
G745-F03	cheeey	f103v.19	ANALOGY_COHERENT_CONTEXT_OPEN	Dry end-state is the cleanest whole-neighbor reading; none of the clipped local cells independently licenses a carrier.
G745-F04	ykeeody	f41v.3	ANALOGY_COHERENT_WITH_EXPLICIT_RIVAL	The two closest wholes support a hot end field, while preparation versus entry/closure remains a real rival and the local context does not resolve it.
G745-F05	qochey	f103r.29	ANALOGY_COHERENT_WITH_FIELD_CONFLICT	Five closest wholes converge on dry middle-stage, but the two inherited fields split descriptive materia against quantity/part and block a single syntactic role.
G745-F06	chetar	f111v.13	ANALOGY_COHERENT_CONTEXT_OPEN	Both distance-1 neighbors encode a first dry middle-stage fraction; this occurrence itself has no admitted semantic anchor.
G745-F07	oteeol	f107r.8	ANALOGY_COHERENT_WITH_POLARITY_RIVAL	Cold preparation/material is the majority pattern, but the equally close okeeol hot counterpart makes temperature polarity explicitly defeasible.
G745-F08	ykeeey	f114r.12	ANALOGY_COHERENT_CONTEXT_OPEN	Both closest wholes support a hot end-stage continuation or closure; the candidate-centered context cannot decide command versus result.
G745-F09	dsheedy	f104r.21	ANALOGY_COHERENT_CONTEXT_OPEN	The first-position occurrence is compatible with a moist material entry, but its line supplies no clean quantity or carrier anchor beyond the whole-neighbor deck.
G745-F10	alom	f58r.30	ANALOGY_COHERENT_WITH_MEASURE_RIVAL	The two closest wholes share raw material, while one is a measure and the other a substance form; the local context cannot choose.
G745-F11	oteeos	f102v2.17	ANALOGY_COHERENT_WITH_STAGE_RIVAL	Both closest wholes indicate a cold preparation, but second pass versus middle-stage charge remains unresolved.
G745-F12	chtar	f115r.14	ANALOGY_COHERENT_CONTEXT_OPEN	The distance-1 set supports a dry part/fraction; carrier and heat/cold polarity remain unresolved in this line.
G745-F13	chckh	f38r.4	ANALOGY_COHERENT_WITH_MATERIAL_RIVAL	Dry preparation is stable across the closest set; composite or mixture is favored, with plant material retained as an explicit rival.
G745-F14	chtl	f107r.49	ANALOGY_COHERENT_DUPLICATE_SAME_PAGE	The same line repeats chtl twice and the six closest wholes agree only on dry; this is not cross-page lexical confirmation and noun versus process remains open.
G745-F15	adchey	f103r.8	ANALOGY_COHERENT_WITH_QUANTITY_RIVAL	Dry middle-stage is shared by both closest wholes; material versus measured portion is not locally discriminated.
G745-F16	cheear	f107r.39	ANALOGY_COHERENT_CONTEXT_OPEN	All four closest wholes are dry, but fraction, raw-material form, stage and heat are mixed; the manual reading preserves those limits.
G745-F17	otalsy	f103r.52	ANALOGY_COHERENT_TERMINAL_POSITION	Both closest wholes give a raw-material preparation and the line-final position is compatible with cooling or finishing, without proving either operation.
G745-F18	qokeechy	f104v.28	ANALOGY_COHERENT_WITH_QUALITY_RIVAL	The radius-2 set supports hot end-state, but dry versus moist and action versus state remain unresolved.
G745-F19	qoeedaiin	f104r.44	ANALOGY_COHERENT_CONTEXT_OPEN	The direct whole neighbor supports three portions of a completed preparation and the wider set supports amount/process/end; the local line adds no independent patient identity.
G745-F20	chepchy	f30v.1	ANALOGY_COHERENT_WITH_POLARITY_RIVAL	Dry preparation is stable, while cold versus hot and material versus process are not; ground/basic form remains an analogy rather than a decoded suffix.
