tablet_no	event_id	record_unit_id	page	joint_tuple_id	whole_card_surface	concrete_work_value_de	slot_code	picture_or_station_owner	memory_family	master_mnemonic_de	nearest_contrast_surface	nearest_contrast_value_de	contrast_lesson_de	must_remain_whole_card
T01	E001	H1	f10r	65f320e75510b2f38182	dchey	Wurzelteil	S1_BEZUG_FOLGE	Wurzel und übrige Teile der abgebildeten Pflanze	BILDTEIL	Beim Wurzelbild eröffnet dchey den tiefen Pflanzenteil.	dchdy	Transfer	Nicht dchdy=Transfer; hier dchey=Wurzelteil.	YES
T02	E039	H3	f11r	953ad19b79517fc8a211	tshol	Blütenkraut	S1_BEZUG_FOLGE	Blütenkraut der abgebildeten Pflanze	BILDTEIL	tshol eröffnet die Blütenkette vor Auswringen und Seihen.	dchol	Vorfortsetzung	Nicht dchol=Vorfortsetzung; hier tshol=Blütenkraut.	YES
T03	E041	H3	f11r	bdad9f9ea8b80f141496	cfhy	Auswringen	S3_PROZESS_TRANSFER	Blütenkraut der abgebildeten Pflanze	GEORDNETES_PAAR	cfhy drückt zuerst aus; das ähnlich gebaute cphy seiht danach.	cphy	Nachseihen	Nicht cphy=Nachseihen; hier cfhy=Auswringen.	YES
T04	E043	H3	f11r	deb377381ceaf55ea310	cphy	Nachseihen	S3_PROZESS_TRANSFER	Blütenkraut der abgebildeten Pflanze	GEORDNETES_PAAR	cphy kommt nach dem Stehen: nicht drücken, sondern nochmals seihen.	cfhy	Auswringen	Nicht cfhy=Auswringen; hier cphy=Nachseihen.	YES
T05	E063	H4	f55v	e026af581c99322fbd46	talam	Verwahren	S6_BEREIT_ABSCHLUSS	Blattmaterial der abgebildeten Pflanze	SCHLUSSHANDLUNG	talam steht am Ende des Blattpostens: zur Ablage verwahren.	tal	Stelle	Nicht tal=Stelle; hier talam=Verwahren.	YES
T06	E086	H5	f56r	95987d6f198d6d247511	cheeckhody	Auftragsschluss	S6_BEREIT_ABSCHLUSS	Stängel-/Pflanzenteil der abgebildeten Pflanze	SCHLUSSHANDLUNG	Die lange cheeckhody-Karte beendet den ganzen Pflanzenauftrag.	lcheckhedy	Trennabzug	Nicht lcheckhedy=Trennabzug; hier cheeckhody=Auftragsschluss.	YES
T07	E087	H5	f56r	ad3581d3144f69a5912d	sh	Pflanzenteil	S1_BEZUG_FOLGE	Stängel-/Pflanzenteil der abgebildeten Pflanze	BILDTEIL	Das nackte sh zeigt hier den neuen sichtbaren Pflanzenteil.	sy	Diesposten	Nicht sy=Diesposten; hier sh=Pflanzenteil.	YES
T08	E097	H5	f56r	61a075bc54793c1c781f	sotodan	Gebrauchen	S5_ZIEL_ANWENDUNG	Stängel-/Pflanzenteil der abgebildeten Pflanze	ANWENDUNG	sotodan steht am Zielslot: das hergestellte Gut gebrauchen.	sotaiin	Folgemaß	Nicht sotaiin=Folgemaß; hier sotodan=Gebrauchen.	YES
T09	E159	B1	f81v	b38d70daefd663d74625	ly	Auffanggefäß	S3_PROZESS_TRANSFER	B1_SHARED_TWO_ROW_POOL	GEFÄSS	ly sitzt am Beckenende und nennt das Auffanggefäß, nicht den Stoff.	dy	Diesposten	Nicht dy=Diesposten; hier ly=Auffanggefäß.	YES
T10	E216	B2	f82r	db729b598e89e11452e0	ches	teilen	S2_MATERIAL_MASS	B2_LOWER_POOL_EDGE_STATIONS	MENGENHANDLUNG	ches zerlegt die laufende Menge; chey verweist nur auf sie.	chey	Diesposten	Nicht chey=Diesposten; hier ches=teilen.	YES
T11	E326	B4	f83r	eb2e4bc143f623ee03ac	qokylddy	befestigen	S6_BEREIT_ABSCHLUSS	B4_MAIN_ARCH_LINKED_PAIR	BEFESTIGUNG	qokylddy schließt die Auflage: ansetzen, festhalten, Schluss.	qokchedy	Rücktransfer	Nicht qokchedy=Rücktransfer; hier qokylddy=befestigen.	YES
T12	E374	B6	f83r	43eb9aa12959b4d5cdc9	qekey	Kurzbearbeitung	S4_DAUER_ZUSTAND	B6_RIGHT_S_RUN_MULTIPORT_STATION	DAUERKONTRAST	qekey ist der kurze Arbeitsgang; qokey ist der kurze Kontakt.	qokey	Kurzkontakt	Nicht qokey=Kurzkontakt; hier qekey=Kurzbearbeitung.	YES
