tablet_no	statement_id	target_event_id	surface_strip	value_strip_de	left_context_value	right_context_value	owner
T01	H1-S001	E001	[dchey] cthoor char chty os chair otytchol oky daiin etyd	[Wurzelteil] → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	START	Bereitansatz	Wurzel und übrige Teile der abgebildeten Pflanze
T02	H3-S001	E039	[tshol] schoal cfhy shfydaiin cphy shey tchody	[Blütenkraut] → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	START	Zieleingabe	Blütenkraut der abgebildeten Pflanze
T03	H3-S001	E041	tshol schoal [cfhy] shfydaiin cphy shey tchody	Blütenkraut → Zieleingabe → [Auswringen] → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	Zieleingabe	Standzeit	Blütenkraut der abgebildeten Pflanze
T04	H3-S001	E043	tshol schoal cfhy shfydaiin [cphy] shey tchody	Blütenkraut → Zieleingabe → Auswringen → Standzeit → [Nachseihen] → Klarauszug → Rücknahmeschluss	Standzeit	Klarauszug	Blütenkraut der abgebildeten Pflanze
T05	H4-S002	E063	daiin chedy [talam]	Sollmaß → Umsetzen → [Verwahren]	Umsetzen	END	Blattmaterial der abgebildeten Pflanze
T06	H5-S002	E086	schol choy choky [cheeckhody]	Vorfortsetzung → Zutatposten → Einsetzen → [Auftragsschluss]	Einsetzen	END	Stängel-/Pflanzenteil der abgebildeten Pflanze
T07	H5-S003	E087	[sh] cho kchey qokokchy	[Pflanzenteil] → Zutat → Kurzbindeposten → Wiedereinsatz	START	Zutat	Stängel-/Pflanzenteil der abgebildeten Pflanze
T08	H5-S005	E097	sho chokchy kchoar [sotodan]	Zutat → Einsetzen → Quellenzutatbindung → [Gebrauchen]	Quellenzutatbindung	END	Stängel-/Pflanzenteil der abgebildeten Pflanze
T09	B1-S018	E159	[ly] dsheol oiiin olkeedy	[Auffanggefäß] → Kurzhalt → Arbeitsstufe → Langsammlung	START	Kurzhalt	B1_SHARED_TWO_ROW_POOL
T10	B2-S016	E216	cheal lchedar [ches] aiin oteey qokaiin okey pchedy	Stelle → Quellabführung → [teilen] → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung	Quellabführung	Sollmaß	B2_LOWER_POOL_EDGE_STATIONS
T11	B4-S004	E326	[qokylddy]	[befestigen]	START	END	B4_MAIN_ARCH_LINKED_PAIR
T12	B6-S001	E374	solkeey [qekey] raly ol daiin ol dain chey ldalor	Langsammlung → [Kurzbearbeitung] → Endposten → Fortsetzung → Sollmaß → Fortsetzung → Einlage → Diesposten → Endziel	Langsammlung	Endposten	B6_RIGHT_S_RUN_MULTIPORT_STATION
