bridge_id	support_role	source_layer	surface	component_recipe	event_count	pages	registers	support_status
G464-B01	Q_STRIPPED_BASE	GDT407_RUNNING	qof	O+LOCAL_CHAR_F	1	f17r	HERBAL	MATCH
G464-B01	PREFIX_EXTENSION	GDT407_RUNNING	ofal	O+LOCAL_CHAR_F+AL	1	f88r	PHARMA	MATCH
G464-B01	PREFIX_EXTENSION	GDT407_RUNNING	ofalsheky	O+LOCAL_CHAR_F+A_ADDR+L+SH+E+K+Y	1	f81v	BIOLOGICAL	MATCH
G464-B01	PREFIX_EXTENSION	GDT407_RUNNING	ofar	O+LOCAL_CHAR_F+AR	1	f67r2	CELESTIAL	MATCH
G464-B01	PREFIX_EXTENSION	GDT407_RUNNING	ofchdy	O+LOCAL_CHAR_F+CHD+Y	1	f95v	HERBAL	MATCH
G464-B01	PREFIX_EXTENSION	GDT407_RUNNING	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	1	f81r	BIOLOGICAL	MATCH
G464-B01	PREFIX_EXTENSION	GDT407_RUNNING	ofydy	O+LOCAL_CHAR_F+Y+DY	1	f67r2	CELESTIAL	MATCH
G464-B02	EXACT_CARD_BASE	GDT407_RUNNING	ain	AIN	22	f1r|f55v|f67r2|f75r|f76r|f77r|f81r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	MATCH
G464-B02	EXACT_CARD_BASE	GDT407_RUNNING	y	Y	39	f10r|f11r|f13r|f17r|f18r|f1r|f55v|f56r|f67r2|f72r|f76r|f77r|f81r|f81v|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	alkain	AL+K+AIN	1	f95v	HERBAL	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	chdykain	CHD+Y+K+AIN	1	f95v	HERBAL	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	chedain	CHD+AIN	4	f76r|f83r|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	chekain	CH+K+AIN	3	f1r|f76r	BIOLOGICAL|SOURCE_SECTION_T	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	cheodain	CH+E+O+D_ADDR+AIN	1	f89r	PHARMA	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	chkain	CH+K+AIN	1	f83r	BIOLOGICAL	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	chodain	CH+O+D_ADDR+AIN	1	f1r	SOURCE_SECTION_T	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	chorain	OR+AIN	1	f72r	CELESTIAL	MATCH
G464-B02	AIN_SUFFIX_EXTENSION	GDT407_RUNNING	dain	AIN	40	f10r|f11r|f18r|f1r|f67r2|f75r|f76r|f81r|f81v|f83r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	MATCH
