target_id	source_event_id	physical_page	surface	content_class	old_status	new_status	selected_surface_segmentation	selected_function_recipe	selected_literal_de	old_known_character_count	new_known_character_count	added_known_character_count	revision_channel
G464-T01	P1003-E0641	f71v	ofaom	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	of|[STERNSTELLENNAME:aom]	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:aom]	0	2	2	OF_FUNCTION_CHANNEL
G464-T02	P1008-E0128	f72r	chdaiirdainy	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	[STERNSTELLENNAME:chdaiird]|ain|y	AIN+Y	[STERNSTELLENNAME:chdaiird] · ANTEIL · POSTEN	0	4	4	AINY_EXACT_CARD_PACKAGE
G464-T03	P1008-E0171	f72r	ofaralar	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FULL_FUNCTION_FORMULA	of|ar|al|ar	O+LOCAL_CHAR_F+AR+AL+AR	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	6	8	2	OF_FUNCTION_CHANNEL
G464-T04	P1008-E0176	f72r	otainy	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FULL_FUNCTION_FORMULA	ot|ain|y	OT+AIN+Y	DANACH · ANTEIL · POSTEN	2	6	4	AINY_EXACT_CARD_PACKAGE
G464-T05	P1008-E0190	f72r	ofchdamy	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	of|[STERNSTELLENNAME:chdamy]	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:chdamy]	0	2	2	OF_FUNCTION_CHANNEL
G464-T06	P1008-E0364	f72r	ofsholdy	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	of|sh|ol|[STERNSTELLENNAME:dy]	O+LOCAL_CHAR_F+SH+OL	AUSFÜHRUNG · HIER · HALTEN · FORTSETZEN · [STERNSTELLENNAME:dy]	4	6	2	OF_FUNCTION_CHANNEL
G464-T07	P1008-E0365	f72r	opoeey	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	[STERNSTELLENNAME:opo]|eey	EE+Y	[STERNSTELLENNAME:opo] · GRAD II · POSTEN	0	3	3	EEY_GRADE_BOUNDARY_CHANNEL
G464-T08	P1008-E0415	f72r	of	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	FULL_FUNCTION_FORMULA	of	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER	0	2	2	OF_FUNCTION_CHANNEL
G464-T09	P1008-E1178	f89r	yddy	DRUG_OR_INGREDIENT_OBJECT	WHOLE_LEARNED_LABEL	FULL_FUNCTION_FORMULA	y|d|dy	Y+D_ADDR+Y	POSTEN · HIER · POSTEN	0	4	4	YDY_OVERLAPPING_TWO_ARM_PACKAGE
G464-T10	P1008-E1410	f89r	ofakal	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	of|[DROGENNAME:ak]|al	O+LOCAL_CHAR_F+AL	AUSFÜHRUNG · HIER · [DROGENNAME:ak] · ZIELORT	2	4	2	OF_FUNCTION_CHANNEL
