event_id	record	statement_id	locus	visible_owner_id	visible_owner_de	surface	card_no	component_parse	invariant_card_reading_de	minimum_source_clause_de	primitive	terminal	global_cycle_edge
E229	B3	B3-S001	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	olkeedy	PROC098	SOLK+EE+DY	auffangen · länger · Schluss	auffangen länger; schließen	HOLD_STATE>CLOSE	YES	NONE
E230	B3	B3-S002	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	qotal	PROC131	OT+AL	danach · Zielstelle	danach Zielstelle	TARGET_HANDOFF	NO	NONE
E231	B3	B3-S002	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	chkeedy	PROC132	CHK+EE+DY	wärmen · länger · Schluss	wärmen länger; schließen	HOLD_STATE>CLOSE	YES	NONE
E232	B3	B3-S003	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	chey	PROC019	Y	dies	dies	CONTINUE_USE	NO	NONE
E233	B3	B3-S003	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	daiin	PROC009	AIIN	Maß	Maß	METER_CHECK	NO	NONE
E234	B3	B3-S003	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	chey	PROC019	Y	dies	dies	CONTINUE_USE	NO	NONE
E235	B3	B3-S003	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	lchedy	PROC120	L+CHD+DY	führen · umsetzen · Schluss	führen umsetzen; schließen	MOVE_PASS>CLOSE	YES	NONE
E236	B3	B3-S004	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	qokaiin	PROC038	OK+AIIN	ansetzen · Maß	ansetzen Maß	METER_CHECK	NO	NONE
E237	B3	B3-S004	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	qotal	PROC131	OT+AL	danach · Zielstelle	danach Zielstelle	TARGET_HANDOFF	NO	NONE
E238	B3	B3-S004	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	dar	PROC003	AR	von dort	von dort	SOURCE_DRAW	NO	NONE
E239	B3	B3-S005	f83r.6	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere Randfigur im runden Gefäß	schedy	PROC076	CHD+DY	umsetzen · Schluss	umsetzen; schließen	MOVE_PASS>CLOSE	YES	NONE
E240	B3	B3-S006	f83r.6	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere Randfigur im runden Gefäß	chedchy	PROC133	CHD+Y	umsetzen · dies	umsetzen dies	MOVE_PASS	NO	NONE
E241	B3	B3-S006	f83r.6	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere Randfigur im runden Gefäß	qokal	PROC048	OK+AL	ansetzen · Zielstelle	ansetzen Zielstelle	TARGET_HANDOFF	NO	NONE
