statement_id	record	visible_owner_ids	loci	event_ids	surfaces	card_literal_de	complete_workshop_reading_de	terminal	crosses_visible_owner_boundary	global_cycle_claim
B3-S001	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	f83r.3	E229	olkeedy	auffangen · länger · Schluss	Bei obere offene Fächerstation am Rand; dann auffangen länger; schließen.	YES	NO	NONE
B3-S002	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	f83r.3	E230|E231	qotal chkeedy	danach · Zielstelle; wärmen · länger · Schluss	Bei obere offene Fächerstation am Rand; dann danach Zielstelle; dann wärmen länger; schließen.	YES	NO	NONE
B3-S003	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	f83r.3	E232|E233|E234|E235	chey daiin chey lchedy	dies; Maß; dies; führen · umsetzen · Schluss	Bei obere offene Fächerstation am Rand; dann dies; dann Maß; dann dies; dann führen umsetzen; schließen.	YES	NO	NONE
B3-S004	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	f83r.3	E236|E237|E238	qokaiin qotal dar	ansetzen · Maß; danach · Zielstelle; von dort	Bei obere offene Fächerstation am Rand; dann ansetzen Maß; dann danach Zielstelle; dann von dort.	NO	NO	NONE
B3-S005	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r.6	E239	schedy	umsetzen · Schluss	Bei mittlere Randfigur im runden Gefäß; dann umsetzen; schließen.	YES	NO	NONE
B3-S006	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r.6	E240|E241|E242	chedchy qokal olchedy	umsetzen · dies; ansetzen · Zielstelle; fortsetzen · umsetzen · Schluss	Bei mittlere Randfigur im runden Gefäß; dann umsetzen dies; dann ansetzen Zielstelle; dann fortsetzen umsetzen; schließen.	YES	NO	NONE
B3-S007	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r.6	E243|E244|E245	qokaiin chedy qokeedy	ansetzen · Maß; umsetzen · dies; ansetzen · länger · Schluss	Bei mittlere Randfigur im runden Gefäß; dann ansetzen Maß; dann umsetzen dies; dann ansetzen länger; schließen.	YES	NO	NONE
B3-S008	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r.6	E246	lchedy	führen · umsetzen · Schluss	Bei mittlere Randfigur im runden Gefäß; dann führen umsetzen; schließen.	YES	NO	NONE
B3-S009	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r.6	E247	qoky	ansetzen · dies	Bei mittlere Randfigur im runden Gefäß; dann ansetzen dies.	NO	NO	NONE
B3-S010	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r.8	E248|E249	pchedal otedy	hinein · umsetzen · Zielstelle; danach · kurz · Schluss	Bei untere Randfigur im korbartigen Gefäß; dann hinein umsetzen Zielstelle; dann danach kurz; schließen.	YES	NO	NONE
B3-S011	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r.8	E250|E251|E252|E253	shecthedchy qoky chedy chary	halten · kurz · bereit · umsetzen · dies; ansetzen · dies; umsetzen · dies; von dort · dies	Bei untere Randfigur im korbartigen Gefäß; dann halten kurz bereit umsetzen dies; dann ansetzen dies; dann umsetzen dies; dann von dort dies.	NO	NO	NONE
B3-S012	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r.11	E254|E255	sor shedy	Ansatz; absetzen · Schluss	Bei untere Randfigur im korbartigen Gefäß; dann Ansatz; dann absetzen; schließen.	YES	NO	NONE
B3-S013	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r.11	E256|E257|E258|E259	qokaiin chkain shcthey qokedy	ansetzen · Maß; zuführen · Portion; bereit · kurz · dies; ansetzen · kurz · Schluss	Bei untere Randfigur im korbartigen Gefäß; dann ansetzen Maß; dann zuführen Portion; dann bereit kurz dies; dann ansetzen kurz; schließen.	YES	NO	NONE
B3-S014	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r.11	E260|E261	okair sheedy	ansetzen · Lauf; halten · länger · Schluss	Bei untere Randfigur im korbartigen Gefäß; dann ansetzen Lauf; dann halten länger; schließen.	YES	NO	NONE
B3-S015	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r.11	E262	lchedy	führen · umsetzen · Schluss	Bei untere Randfigur im korbartigen Gefäß; dann führen umsetzen; schließen.	YES	NO	NONE
B3-S016	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.11|f83r.14	E263|E264	lo qokchedy	führen · Arbeitsgang; ansetzen · umsetzen · Schluss	Bei untere Randfigur im korbartigen Gefäß; dann führen Arbeitsgang; dann [ohne Bildkante wechseln zu unverbundener Zwischenbereich zwischen Rand und Hauptpaar]; dann ansetzen umsetzen; schließen.	YES	YES	NONE
B3-S017	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.14	E265	qokeedy	ansetzen · länger · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann ansetzen länger; schließen.	YES	NO	NONE
B3-S018	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.14	E266	shedy	absetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann absetzen; schließen.	YES	NO	NONE
B3-S019	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.14	E267	qokshedy	ansetzen · halten · kurz · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann ansetzen halten kurz; schließen.	YES	NO	NONE
B3-S020	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.14	E268|E269	dal lchedy	Zielstelle; führen · umsetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann Zielstelle; dann führen umsetzen; schließen.	YES	NO	NONE
B3-S021	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.14|f83r.15	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	ansetzen · Maß; bereit · dies; Zielstelle; dies; Maß; absetzen · Zielstelle; halten · kurz · bereit · dies; dies; Zielstelle; bereit · dies; Zielstelle · umsetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann ansetzen Maß; dann bereit dies; dann Zielstelle; dann dies; dann Maß; dann absetzen Zielstelle; dann halten kurz bereit dies; dann dies; dann Zielstelle; dann bereit dies; dann Zielstelle umsetzen; schließen.	YES	NO	NONE
B3-S022	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.15	E281	qotchedy	danach · umsetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann danach umsetzen; schließen.	YES	NO	NONE
B3-S023	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.15	E282	lchedy	führen · umsetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann führen umsetzen; schließen.	YES	NO	NONE
B3-S024	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.16	E283	tchedy	umsetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann umsetzen; schließen.	YES	NO	NONE
B3-S025	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r.16	E284	qokchdy	ansetzen · umsetzen · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann ansetzen umsetzen; schließen.	YES	NO	NONE
B3-S026	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	f83r.16|f83r.20	E285|E286|E287|E288|E289|E290|E291	cheedar chldaiin chedy qokain checthy chealror solkeedy	länger · von dort; führen · Maß; umsetzen · dies; ansetzen · Portion; bereit · dies; Zielstelle · abkühlen · Ansatz; auffangen · länger · Schluss	Bei unverbundener Zwischenbereich zwischen Rand und Hauptpaar; dann länger von dort; dann führen Maß; dann umsetzen dies; dann ansetzen Portion; dann bereit dies; dann Zielstelle abkühlen Ansatz; dann [ohne Bildkante wechseln zu unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record]; dann auffangen länger; schließen.	YES	YES	NONE
B3-S027	B3	B3_MAIN_ARCH_LINKED_PAIR	f83r.20	E292	qoteedy	danach · länger · Schluss	Bei unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record; dann danach länger; schließen.	YES	NO	NONE
