card_no	component_parse	invariant_card_reading_de	occurrences	records	surfaces	event_ids	shared_with_earlier_fixed_pages
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	2	B3	olkeedy|solkeedy	E229|E291	YES
PROC131	OT+AL	danach · Zielstelle	3	B3|B4	qotal|otal	E230|E237|E320	NO
PROC132	CHK+EE+DY	wärmen · länger · Schluss	1	B3	chkeedy	E231	NO
PROC019	Y	dies	6	B3|B4|B6	chey|sy	E232|E234|E273|E277|E349|E380	YES
PROC009	AIIN	Maß	7	B3|B4|B5|B6	daiin|saiin|aiin	E233|E274|E299|E332|E338|E369|E377	YES
PROC120	L+CHD+DY	führen · umsetzen · Schluss	7	B3|B4	lchedy	E235|E246|E262|E269|E282|E345|E357	YES
PROC038	OK+AIIN	ansetzen · Maß	4	B3	qokaiin	E236|E243|E256|E270	YES
PROC003	AR	von dort	1	B3	dar	E238	YES
PROC076	CHD+DY	umsetzen · Schluss	2	B3	schedy|tchedy	E239|E283	YES
PROC133	CHD+Y	umsetzen · dies	1	B3	chedchy	E240	NO
PROC048	OK+AL	ansetzen · Zielstelle	1	B3	qokal	E241	YES
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	1	B3	olchedy	E242	YES
PROC042	CHD+Y	umsetzen · dies	8	B3|B4|B5	chedy|chdy	E244|E252|E287|E304|E319|E328|E342|E372	YES
PROC100	OK+EE+DY	ansetzen · länger · Schluss	5	B3|B4	qokeedy	E245|E265|E302|E315|E329	YES
PROC008	OK+Y	ansetzen · dies	4	B3|B4	qoky	E247|E251|E298|E323	YES
PROC134	P+CHD+AL	hinein · umsetzen · Zielstelle	1	B3	pchedal	E248	NO
PROC135	OT+E+DY	danach · kurz · Schluss	2	B3	otedy	E249|E307	NO
PROC136	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dies	1	B3	shecthedchy	E250	NO
PROC137	AR+Y	von dort · dies	1	B3	chary	E253	NO
PROC016	OR	Ansatz	2	B3|B4	sor|or	E254|E348	YES
PROC078	SHED+DY	absetzen · Schluss	7	B3|B4	shedy	E255|E266|E314|E325|E336|E347|E361	YES
PROC069	K+AIN	zuführen · Portion	2	B3|B4	chkain|kain	E257|E354	YES
PROC117	CTH+E+Y	bereit · kurz · dies	1	B3	shcthey	E258	YES
PROC067	OK+E+DY	ansetzen · kurz · Schluss	5	B3|B4	qokedy	E259|E294|E297|E318|E335	YES
PROC138	OK+AIR	ansetzen · Lauf	1	B3	okair	E260	NO
PROC139	SH+EE+DY	halten · länger · Schluss	1	B3	sheedy	E261	NO
PROC140	L+O	führen · Arbeitsgang	1	B3	lo	E263	NO
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	1	B3	qokchedy	E264	YES
PROC141	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	1	B3	qokshedy	E267	NO
PROC055	AL	Zielstelle	5	B3|B4|B5	dal|tal	E268|E272|E278|E359|E365	YES
PROC014	CTH+Y	bereit · dies	4	B3	shcthy|checthy	E271|E279|E289|E310	YES
PROC142	SHED+AL	absetzen · Zielstelle	2	B3|B5	shedal	E275|E364	NO
PROC143	SH+E+CTH+Y	halten · kurz · bereit · dies	1	B3	shecthy	E276	NO
PROC144	AL+CHD+DY	Zielstelle · umsetzen · Schluss	1	B3	dalchdy	E280	NO
PROC145	OT+CHD+DY	danach · umsetzen · Schluss	2	B3	qotchedy|otchedy	E281|E301	NO
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	2	B3|B5	qokchdy	E284|E363	YES
PROC146	EE+AR	länger · von dort	1	B3	cheedar	E285	NO
PROC147	L+AIIN	führen · Maß	1	B3	chldaiin	E286	NO
PROC080	OK+AIN	ansetzen · Portion	3	B3|B4	qokain|okain	E288|E341|E352	YES
PROC148	AL+R+OR	Zielstelle · abkühlen · Ansatz	1	B3	chealror	E290	NO
PROC129	OT+EE+DY	danach · länger · Schluss	1	B3	qoteedy	E292	YES
PROC092	OK+EE+Y	ansetzen · länger · dies	3	B3|B4	qokeey	E293|E317|E322	YES
PROC013	OL	fortsetzen	7	B3|B4|B5|B6	sol|tol|cheol|ol	E295|E324|E343|E366|E370|E376|E378	YES
PROC149	EEE+T+Y	vollständig · eintragen · dies	1	B3	cheeety	E296	NO
PROC150	CHD+AIR	umsetzen · Lauf	1	B3	schedair	E300	NO
PROC151	CHD+AIN	umsetzen · Portion	1	B3	chedain	E303	NO
PROC152	OT+E+AIIN	danach · kurz · Maß	1	B3	qotedaiin	E305	NO
PROC112	OT+AIIN	danach · Maß	2	B3	otaiin	E306|E312	YES
PROC108	L+DY	führen · Schluss	1	B3	ldy	E308	YES
PROC097	O+IIN	Arbeitsgang · Sollstufe	1	B3	soiiin	E309	YES
PROC004	T+Y	eintragen · dies	1	B3	chety	E311	YES
PROC153	OL+AL+Y	fortsetzen · Zielstelle · dies	1	B3	olsaly	E313	NO
PROC154	OL+Y	fortsetzen · dies	1	B4	qolchey	E316	NO
PROC065	OT+Y	danach · dies	1	B4	otchey	E321	YES
PROC155	OK+Y+LDDY	ansetzen · dies · befestigen; Schluss	1	B4	qokylddy	E326	NO
PROC156	AIN	Portion	2	B4|B6	dain	E327|E379	NO
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	2	B4	shckhedy	E330|E331	YES
PROC046	CHK+EE+Y	wärmen · länger · dies	1	B4	cheeky	E333	YES
PROC157	SH+EE+Y	halten · länger · dies	1	B4	sheey	E334	NO
PROC047	OL+DY	fortsetzen · Schluss	1	B4	oldy	E337	YES
PROC083	CHK+E+Y	wärmen · kurz · dies	1	B4	cheky	E339	YES
PROC158	OK+EE+OL	ansetzen · länger · fortsetzen	1	B4	okeeol	E340	NO
PROC159	L+K+E+DY	führen · zuführen · kurz · Schluss	1	B4	lkedy	E344	NO
PROC160	OK+OL	ansetzen · fortsetzen	1	B4	qokol	E346	NO
PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dies	1	B4	qockhey	E350	NO
PROC162	AIR+Y+DY	Lauf · dies · Schluss	1	B4	dairydy	E351	NO
PROC031	WHOLE[cheey|shey]	Empfangsbestand	1	B4	shey	E353	YES
PROC163	CH+CKH+AL	abziehen · Durchlass · Zielstelle	1	B4	chckhal	E355	NO
PROC164	SOLK+E+Y	auffangen · kurz · dies	1	B4	solkey	E356	NO
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	1	B4	qolkain	E358	YES
PROC165	K+AR	zuführen · von dort	1	B4	skar	E360	NO
PROC166	OT+CHD+DY	danach · umsetzen · Schluss	1	B5	otchdy	E362	NO
PROC167	L+OL	führen · fortsetzen	1	B5	lol	E367	NO
PROC168	CHD+AL	umsetzen · Zielstelle	1	B5	chdal	E368	NO
PROC169	WHOLE[daiiin]	Sollstufe · zweite	1	B5	daiiin	E371	NO
PROC170	SOLK+EE+Y	auffangen · länger · dies	1	B6	solkeey	E373	NO
PROC171	E+K+E+Y	kurz · zuführen · kurz · dies	1	B6	qekey	E374	NO
PROC172	R+AL+Y	abkühlen · Zielstelle · dies	1	B6	raly	E375	NO
PROC173	L+AL+OR	führen · Zielstelle · Ansatz	1	B6	ldalor	E381	NO
