module_no	record	visible_owner_id	visible_owner_de	events	event_ids	statement_ids	closed_cells_touching	open_cells_touching	dominant_primitives	relation_to_other_modules
1	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	10	E229|E230|E231|E232|E233|E234|E235|E236|E237|E238	B3-S001|B3-S002|B3-S003|B3-S004	3	1	CLOSE|HOLD_STATE|TARGET_HANDOFF	LOCAL_STATION_NO_GLOBAL_CYCLE
2	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere Randfigur im runden Gefäß	9	E239|E240|E241|E242|E243|E244|E245|E246|E247	B3-S005|B3-S006|B3-S007|B3-S008|B3-S009	4	1	MOVE_PASS|CLOSE|TARGET_HANDOFF	LOCAL_STATION_NO_GLOBAL_CYCLE
3	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	untere Randfigur im korbartigen Gefäß	16	E248|E249|E250|E251|E252|E253|E254|E255|E256|E257|E258|E259|E260|E261|E262|E263	B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016	6	1	HOLD_STATE|CLOSE|ACTIVATE_CHARGE	LOCAL_STATION_NO_GLOBAL_CYCLE
4	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	unverbundener Zwischenbereich zwischen Rand und Hauptpaar	27	E264|E265|E266|E267|E268|E269|E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280|E281|E282|E283|E284|E285|E286|E287|E288|E289|E290	B3-S016|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026	11	0	CLOSE|HOLD_STATE|MOVE_PASS	LOCAL_STATION_NO_GLOBAL_CYCLE
5	B3	B3_MAIN_ARCH_LINKED_PAIR	unteres sichtbares Figurenpaar mit gemeinsamem Bogen im B3-Record	24	E291|E292|E293|E294|E295|E296|E297|E298|E299|E300|E301|E302|E303|E304|E305|E306|E307|E308|E309|E310|E311|E312|E313|E314	B3-S026|B3-S027|B3-S028|B3-S029|B3-S030|B3-S031|B3-S032|B3-S033|B3-S034	9	0	HOLD_STATE|CLOSE|METER_CHECK	VISIBLE_LINK_WITHIN_OWNER_ONLY
6	B4	B4_MAIN_ARCH_LINKED_PAIR	dasselbe sichtbare Figurenpaar im B4-Record	23	E315|E316|E317|E318|E319|E320|E321|E322|E323|E324|E325|E326|E327|E328|E329|E330|E331|E332|E333|E334|E335|E336|E337	B4-S001|B4-S002|B4-S003|B4-S004|B4-S005|B4-S006|B4-S007|B4-S008|B4-S009|B4-S010	10	0	HOLD_STATE|CLOSE|ACTIVATE_CHARGE	VISIBLE_LINK_WITHIN_OWNER_ONLY
7	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	linke Hauptstation mit offenem Fransenlauf	18	E338|E339|E340|E341|E342|E343|E344|E345|E346|E347|E348|E349|E350|E351|E352|E353|E354|E355	B4-S011|B4-S012|B4-S013|B4-S014|B4-S015	5	0	HOLD_STATE|ACTIVATE_CHARGE|CLOSE	LOCAL_STATION_NO_GLOBAL_CYCLE
8	B4	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	rechte Hauptstation mit S-Lauf und Mehrarmknoten	6	E356|E357|E358|E359|E360|E361	B4-S015|B4-S016	2	0	HOLD_STATE|CLOSE|MOVE_PASS	VISIBLE_LINK_WITHIN_OWNER_ONLY
9	B5	B5_LEFT_OPEN_FRINGE_STATION	linke Fransenstation im eigenen B5-Nachtrag	11	E362|E363|E364|E365|E366|E367|E368|E369|E370|E371|E372	B5-S001|B5-S002|B5-S003	2	1	MOVE_PASS|TARGET_HANDOFF|CLOSE	LOCAL_STATION_NO_GLOBAL_CYCLE
10	B6	B6_RIGHT_S_RUN_MULTIPORT_STATION	rechter S-Lauf im eigenen B6-Nachtrag	9	E373|E374|E375|E376|E377|E378|E379|E380|E381	B6-S001	0	1	HOLD_STATE|ACTIVATE_CHARGE|CONTINUE_USE	VISIBLE_LINK_WITHIN_OWNER_ONLY
