card_no	component_parse	invariant_card_reading_de	occurrences	records	surfaces	event_ids	shared_with_earlier_fixed_pages
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	2	B3	olkeedy|solkeedy	E229|E291	YES
PROC019	Y	dies	6	B3|B4|B6	chey|sy	E232|E234|E273|E277|E349|E380	YES
PROC009	AIIN	Maß	7	B3|B4|B5|B6	daiin|saiin|aiin	E233|E274|E299|E332|E338|E369|E377	YES
PROC120	L+CHD+DY	führen · umsetzen · Schluss	7	B3|B4	lchedy	E235|E246|E262|E269|E282|E345|E357	YES
PROC038	OK+AIIN	ansetzen · Maß	4	B3	qokaiin	E236|E243|E256|E270	YES
PROC003	AR	von dort	1	B3	dar	E238	YES
PROC076	CHD+DY	umsetzen · Schluss	2	B3	schedy|tchedy	E239|E283	YES
PROC048	OK+AL	ansetzen · Zielstelle	1	B3	qokal	E241	YES
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	1	B3	olchedy	E242	YES
PROC042	CHD+Y	umsetzen · dies	8	B3|B4|B5	chedy|chdy	E244|E252|E287|E304|E319|E328|E342|E372	YES
PROC100	OK+EE+DY	ansetzen · länger · Schluss	5	B3|B4	qokeedy	E245|E265|E302|E315|E329	YES
PROC008	OK+Y	ansetzen · dies	4	B3|B4	qoky	E247|E251|E298|E323	YES
PROC016	OR	Ansatz	2	B3|B4	sor|or	E254|E348	YES
PROC078	SHED+DY	absetzen · Schluss	7	B3|B4	shedy	E255|E266|E314|E325|E336|E347|E361	YES
PROC069	K+AIN	zuführen · Portion	2	B3|B4	chkain|kain	E257|E354	YES
PROC117	CTH+E+Y	bereit · kurz · dies	1	B3	shcthey	E258	YES
PROC067	OK+E+DY	ansetzen · kurz · Schluss	5	B3|B4	qokedy	E259|E294|E297|E318|E335	YES
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	1	B3	qokchedy	E264	YES
PROC055	AL	Zielstelle	5	B3|B4|B5	dal|tal	E268|E272|E278|E359|E365	YES
PROC014	CTH+Y	bereit · dies	4	B3	shcthy|checthy	E271|E279|E289|E310	YES
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	2	B3|B5	qokchdy	E284|E363	YES
PROC080	OK+AIN	ansetzen · Portion	3	B3|B4	qokain|okain	E288|E341|E352	YES
PROC129	OT+EE+DY	danach · länger · Schluss	1	B3	qoteedy	E292	YES
PROC092	OK+EE+Y	ansetzen · länger · dies	3	B3|B4	qokeey	E293|E317|E322	YES
PROC013	OL	fortsetzen	7	B3|B4|B5|B6	sol|tol|cheol|ol	E295|E324|E343|E366|E370|E376|E378	YES
PROC112	OT+AIIN	danach · Maß	2	B3	otaiin	E306|E312	YES
PROC108	L+DY	führen · Schluss	1	B3	ldy	E308	YES
PROC097	O+IIN	Arbeitsgang · Sollstufe	1	B3	soiiin	E309	YES
PROC004	T+Y	eintragen · dies	1	B3	chety	E311	YES
PROC065	OT+Y	danach · dies	1	B4	otchey	E321	YES
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	2	B4	shckhedy	E330|E331	YES
PROC046	CHK+EE+Y	wärmen · länger · dies	1	B4	cheeky	E333	YES
PROC047	OL+DY	fortsetzen · Schluss	1	B4	oldy	E337	YES
PROC083	CHK+E+Y	wärmen · kurz · dies	1	B4	cheky	E339	YES
PROC031	WHOLE[cheey|shey]	Empfangsbestand	1	B4	shey	E353	YES
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	1	B4	qolkain	E358	YES
