side	context_surface	eligible_cross_folds	global_events	global_stems	global_folios	global_m	mean_beta_context	min_beta_context	max_beta_context	mean_beta_after_stem	direct_events	cache_rest_events	semantic_export_credit
RIGHT	chor	25	28	15	26	5	0.388892652733	0.0477691468855	0.740374533425	0.437031648936	1	27	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	ar	25	51	20	29	16	0.44076034005	0.212998023902	0.613486900708	0.428069294965	1	50	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	daiin	25	104	32	71	1	-0.567967591754	-0.718045851031	-0.385235917543	-0.426138060831	8	96	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	shedy	25	94	35	37	0	-0.486060269718	-0.593944275755	-0.39822694147	-0.418462831063	18	76	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chedy	25	103	34	46	1	-0.448848791533	-0.636689666234	-0.31312865034	-0.394860380956	15	88	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	chor	25	31	16	25	7	0.282333780468	-0.165286436189	0.654237866618	0.370107482658	2	29	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokeey	25	30	22	18	1	-0.420263811784	-0.551162670728	-0.281789270504	-0.357551287467	4	26	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokedy	25	39	21	22	3	-0.393160335614	-0.630981740056	-0.20695366176	-0.351483803921	6	33	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	shedy	25	38	20	25	1	-0.399141516339	-0.578919465143	-0.185278485846	-0.351231027427	11	27	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokain	25	47	20	23	4	-0.445118539199	-0.635386765317	-0.211703854663	-0.350571602803	2	45	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	or	25	36	13	29	8	0.33765746872	-0.0561999257645	0.654136673005	0.348198538112	4	32	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	dy	25	24	18	21	6	0.30505544632	-0.137451604388	0.654264652231	0.322602685464	3	21	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chdy	25	30	19	19	4	0.259669869673	-0.204687066455	0.508928906404	0.29416583894	5	25	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	s	25	42	23	37	5	0.230388220875	-0.040085967642	0.436020886203	0.281708413769	2	40	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokeedy	25	33	20	20	3	-0.375744929391	-0.680478715952	-0.0963990897305	-0.277209574911	5	28	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	s	25	30	12	25	8	0.237966152652	-0.06824097221	0.461502497359	0.274493531262	2	28	ZERO__OPAQUE_COMPLETE_CONTEXT
RIGHT	chy	25	27	16	22	3	0.196586458499	-0.207669541755	0.442873032044	0.269999135856	2	25	ZERO__OPAQUE_COMPLETE_CONTEXT
LEFT	qokar	25	28	16	23	7	0.237640243087	0.0262197745046	0.502383396204	0.252814302308	3	25	ZERO__OPAQUE_COMPLETE_CONTEXT
