population	position4	daiin_l	daiin_m	other_l	other_m	mh_odds_ratio	exact_upper_p	exact_lower_p	decision	semantic_export_credit
DIRECT_388	EARLIER	7	0	256	13	8.40213840214	0.0562591836852	0.991059333814	LOCAL_LEAD_ONLY	ZERO__NO_DAIIN_MEANING
DIRECT_388	PENULTIMATE	0	0	32	6	8.40213840214	0.0562591836852	0.991059333814	LOCAL_LEAD_ONLY	ZERO__NO_DAIIN_MEANING
DIRECT_388	FINAL	0	5	41	28	8.40213840214	0.0562591836852	0.991059333814	LOCAL_LEAD_ONLY	ZERO__NO_DAIIN_MEANING
DIRECT_388	SINGLE	0	0	0	0	8.40213840214	0.0562591836852	0.991059333814	LOCAL_LEAD_ONLY	ZERO__NO_DAIIN_MEANING
CACHE_REST_3749	EARLIER	54	5	2418	118	0.89307358313	0.697727665169	0.430556540938	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
CACHE_REST_3749	PENULTIMATE	12	0	375	55	0.89307358313	0.697727665169	0.430556540938	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
CACHE_REST_3749	FINAL	10	11	259	406	0.89307358313	0.697727665169	0.430556540938	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
CACHE_REST_3749	SINGLE	0	0	20	6	0.89307358313	0.697727665169	0.430556540938	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
FULL_4137	EARLIER	61	5	2674	131	1.09520292246	0.438919647408	0.678761490976	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
FULL_4137	PENULTIMATE	12	0	407	61	1.09520292246	0.438919647408	0.678761490976	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
FULL_4137	FINAL	10	16	300	434	1.09520292246	0.438919647408	0.678761490976	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
FULL_4137	SINGLE	0	0	20	6	1.09520292246	0.438919647408	0.678761490976	NO_INCREMENTAL_DAIIN_BRIDGE	ZERO__NO_DAIIN_MEANING
