event_ordinal	occurrence_id	source_selector	physical_folio	locus	token_index	token_count	distance_from_end	distance_cell	position_class	position4	masked_target	stem	terminal	left_context	right_context	left_context_sensitivity	right_context_sensitivity	paired_neighbour	direct_388	population	page_fold	stem_fold	semantic_export_credit
1	GDT800-O0001	f100r	f100r	f100r.14	6	10	4	4	INTERNAL	EARLIER	qokeo{l|m}	qokeo	l	qoteold	so	qoteold	so	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
2	GDT800-O0002	f100r	f100r	f100r.14	9	10	1	1	INTERNAL	PENULTIMATE	ota{l|m}	ota	l	raiin	ykeeeo	raiin	ykeeeo	0	0	CACHE_REST_3749	2	3	ZERO__FORMAL_MASKED_CONTEXT_ONLY
3	GDT800-O0003	f100r	f100r	f100r.15	2	7	5	5	INTERNAL	EARLIER	sho{l|m}	sho	l	dcheor	qokeeol	dcheor	qokeeol	0	0	CACHE_REST_3749	2	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
4	GDT800-O0004	f100r	f100r	f100r.15	5	7	2	2	INTERNAL	EARLIER	cho{l|m}	cho	l	chor	qokeeody	chor	qokeeody	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
5	GDT800-O0005	f100r	f100r	f100r.18	1	1	0	0	SINGLE	SINGLE	oro{l|m}	oro	l	NONE	NONE	NONE	NONE	0	0	CACHE_REST_3749	2	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
6	GDT800-O0006	f100r	f100r	f100r.19	1	1	0	0	SINGLE	SINGLE	olcheo{l|m}	olcheo	m	NONE	NONE	NONE	NONE	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
7	GDT800-O0007	f100r	f100r	f100r.20	1	1	0	0	SINGLE	SINGLE	oteo{l|m}	oteo	l	NONE	NONE	NONE	NONE	0	0	CACHE_REST_3749	2	3	ZERO__FORMAL_MASKED_CONTEXT_ONLY
8	GDT800-O0008	f100r	f100r	f100r.22	5	9	4	4	INTERNAL	EARLIER	cpho{l|m}	cpho	l	ycheol	qotees	ycheol	qotees	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
9	GDT800-O0009	f100r	f100r	f100r.23	2	12	10	5	INTERNAL	EARLIER	cho{l|m}	cho	l	soiin	cphol	soiin	NONE	1	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
10	GDT800-O0010	f100r	f100r	f100r.23	3	12	9	5	INTERNAL	EARLIER	cpho{l|m}	cpho	l	chol	shol	NONE	NONE	1	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
11	GDT800-O0011	f100r	f100r	f100r.23	4	12	8	5	INTERNAL	EARLIER	sho{l|m}	sho	l	cphol	shol	NONE	NONE	1	0	CACHE_REST_3749	2	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
12	GDT800-O0012	f100r	f100r	f100r.23	5	12	7	5	INTERNAL	EARLIER	sho{l|m}	sho	l	shol	qockhol	NONE	NONE	1	0	CACHE_REST_3749	2	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
13	GDT800-O0013	f100r	f100r	f100r.23	6	12	6	5	INTERNAL	EARLIER	qockho{l|m}	qockho	l	shol	chor	NONE	chor	1	0	CACHE_REST_3749	2	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
14	GDT800-O0014	f100r	f100r	f100r.23	8	12	4	4	INTERNAL	EARLIER	cho{l|m}	cho	l	chor	sho	chor	sho	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
15	GDT800-O0015	f100r	f100r	f100r.24	9	10	1	1	INTERNAL	PENULTIMATE	cheo{l|m}	cheo	l	sai	raiin	sai	raiin	0	0	CACHE_REST_3749	2	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
16	GDT800-O0016	f100r	f100r	f100r.25	3	10	7	5	INTERNAL	EARLIER	cho{l|m}	cho	l	qkeeody	daiin	qkeeody	daiin	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
17	GDT800-O0017	f100r	f100r	f100r.25	6	10	4	4	INTERNAL	EARLIER	olcheo{l|m}	olcheo	l	ctheol	cheky	ctheol	cheky	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
18	GDT800-O0018	f100r	f100r	f100r.25	8	10	2	2	INTERNAL	EARLIER	cheo{l|m}	cheo	l	cheky	cheockhy	cheky	cheockhy	0	0	CACHE_REST_3749	2	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
19	GDT800-O0019	f100r	f100r	f100r.25	10	10	0	0	FINAL	FINAL	okeo{l|m}	okeo	l	cheockhy	NONE	cheockhy	NONE	0	0	CACHE_REST_3749	2	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
20	GDT800-O0020	f100r	f100r	f100r.26	3	10	7	5	INTERNAL	EARLIER	cho{l|m}	cho	l	chekeey	cholody	chekeey	cholody	0	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
21	GDT800-O0021	f100r	f100r	f100r.26	7	10	3	3	INTERNAL	EARLIER	qokeo{l|m}	qokeo	l	olchor	okeeol	olchor	NONE	1	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
22	GDT800-O0022	f100r	f100r	f100r.26	8	10	2	2	INTERNAL	EARLIER	okeeo{l|m}	okeeo	l	qokeol	cheols	NONE	cheols	1	0	CACHE_REST_3749	2	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
23	GDT800-O0023	f100r	f100r	f100r.26	10	10	0	0	FINAL	FINAL	a{l|m}	a	l	cheols	NONE	cheols	NONE	0	0	CACHE_REST_3749	2	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
24	GDT800-O0024	f100r	f100r	f100r.27	1	5	4	4	FIRST	EARLIER	cho{l|m}	cho	l	NONE	cheol	NONE	NONE	1	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
25	GDT800-O0025	f100r	f100r	f100r.27	2	5	3	3	INTERNAL	EARLIER	cheo{l|m}	cheo	l	chol	cho	NONE	cho	1	0	CACHE_REST_3749	2	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
26	GDT800-O0026	f100v	f100v	f100v.11	1	1	0	0	SINGLE	SINGLE	ytcho{l|m}	ytcho	l	NONE	NONE	NONE	NONE	0	0	CACHE_REST_3749	3	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
27	GDT800-O0027	f100v	f100v	f100v.15	4	11	7	5	INTERNAL	EARLIER	o{l|m}	o	l	dair	cheol	dair	NONE	1	0	CACHE_REST_3749	3	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
28	GDT800-O0028	f100v	f100v	f100v.15	5	11	6	5	INTERNAL	EARLIER	cheo{l|m}	cheo	l	ol	qoolkeey	NONE	qoolkeey	1	0	CACHE_REST_3749	3	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
29	GDT800-O0029	f100v	f100v	f100v.15	7	11	4	4	INTERNAL	EARLIER	cho{l|m}	cho	l	qoolkeey	cheey	qoolkeey	cheey	0	0	CACHE_REST_3749	3	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
30	GDT800-O0030	f100v	f100v	f100v.15	9	11	2	2	INTERNAL	EARLIER	qokeo{l|m}	qokeo	l	cheey	chotol	cheey	NONE	1	0	CACHE_REST_3749	3	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
31	GDT800-O0031	f100v	f100v	f100v.15	10	11	1	1	INTERNAL	PENULTIMATE	choto{l|m}	choto	l	qokeol	s	NONE	s	1	0	CACHE_REST_3749	3	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
32	GDT800-O0032	f100v	f100v	f100v.16	2	11	9	5	INTERNAL	EARLIER	cho{l|m}	cho	l	ykeeol	chey	ykeeol	chey	0	0	CACHE_REST_3749	3	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
33	GDT800-O0033	f100v	f100v	f100v.16	7	11	4	4	INTERNAL	EARLIER	okeo{l|m}	okeo	l	sheeo	ches	sheeo	ches	0	0	CACHE_REST_3749	3	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
34	GDT800-O0034	f100v	f100v	f100v.16	10	11	1	1	INTERNAL	PENULTIMATE	okeo{l|m}	okeo	l	okeor	dy	okeor	dy	0	0	CACHE_REST_3749	3	4	ZERO__FORMAL_MASKED_CONTEXT_ONLY
35	GDT800-O0035	f100v	f100v	f100v.17	3	8	5	5	INTERNAL	EARLIER	qokeo{l|m}	qokeo	l	sholkcheol	okol	sholkcheol	NONE	1	0	CACHE_REST_3749	3	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
36	GDT800-O0036	f100v	f100v	f100v.17	4	8	4	4	INTERNAL	EARLIER	oko{l|m}	oko	l	qokeol	chol	NONE	NONE	1	0	CACHE_REST_3749	3	2	ZERO__FORMAL_MASKED_CONTEXT_ONLY
37	GDT800-O0037	f100v	f100v	f100v.17	5	8	3	3	INTERNAL	EARLIER	cho{l|m}	cho	l	okol	chotor	NONE	chotor	1	0	CACHE_REST_3749	3	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
38	GDT800-O0038	f100v	f100v	f100v.18	3	11	8	5	INTERNAL	EARLIER	o{l|m}	o	l	s	cheo	s	cheo	0	0	CACHE_REST_3749	3	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
39	GDT800-O0039	f100v	f100v	f100v.18	10	11	1	1	INTERNAL	PENULTIMATE	qokeo{l|m}	qokeo	l	chod	sal	chod	NONE	1	0	CACHE_REST_3749	3	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
40	GDT800-O0040	f100v	f100v	f100v.18	11	11	0	0	FINAL	FINAL	sa{l|m}	sa	l	qokeol	NONE	NONE	NONE	1	0	CACHE_REST_3749	3	3	ZERO__FORMAL_MASKED_CONTEXT_ONLY
41	GDT800-O0041	f100v	f100v	f100v.20	7	8	1	1	INTERNAL	PENULTIMATE	o{l|m}	o	l	cheor	chockhar	cheor	chockhar	0	0	CACHE_REST_3749	3	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
42	GDT800-O0042	f100v	f100v	f100v.21	3	10	7	5	INTERNAL	EARLIER	o{l|m}	o	l	okor	choy	okor	choy	0	0	CACHE_REST_3749	3	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
43	GDT800-O0043	f102r1	f102r	f102r1.10	3	9	6	5	INTERNAL	EARLIER	cho{l|m}	cho	l	sholdy	chol	sholdy	NONE	1	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
44	GDT800-O0044	f102r1	f102r	f102r1.10	4	9	5	5	INTERNAL	EARLIER	cho{l|m}	cho	l	chol	ykeeol	NONE	ykeeol	1	0	CACHE_REST_3749	2	1	ZERO__FORMAL_MASKED_CONTEXT_ONLY
45	GDT800-O0045	f102r1	f102r	f102r1.10	6	9	3	3	INTERNAL	EARLIER	do{l|m}	do	l	ykeeol	doleodaiin	ykeeol	doleodaiin	0	0	CACHE_REST_3749	2	3	ZERO__FORMAL_MASKED_CONTEXT_ONLY
46	GDT800-O0046	f102r1	f102r	f102r1.10	8	9	1	1	INTERNAL	PENULTIMATE	da{l|m}	da	l	doleodaiin	cthedy	doleodaiin	cthedy	0	0	CACHE_REST_3749	2	3	ZERO__FORMAL_MASKED_CONTEXT_ONLY
47	GDT800-O0047	f102r1	f102r	f102r1.11	3	8	5	5	INTERNAL	EARLIER	so{l|m}	so	l	qockhy	sheey	qockhy	sheey	0	0	CACHE_REST_3749	2	0	ZERO__FORMAL_MASKED_CONTEXT_ONLY
