domain	unit_id	page	locus_or_statement	group_or_event_id	surface	component_parse	direction_roots	direction_roles	context_value_de
PROSE	H1	f10r	H1-S001	E003	char	AR	AR	QUELLE	aus dem laufenden Pflanzenansatz
PROSE	H1	f10r	H1-S001	E006	chair	CH+AIR	AIR	LAUF_BAHN	Flüssigkeit aus dem Lauf entnehmen
PROSE	H2	f10r	H2-S002	E031	dar	AR	AR	QUELLE	aus dem laufenden Pflanzenansatz
PROSE	H3	f11r	H3-S001	E040	schoal	SH+O+AL	AL	ZIELSTELLE	bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten
PROSE	H4	f55v	H4-S003	E065	cheoar	CHEO+AR	AR	QUELLE	Auszug aus der Quelle
PROSE	H4	f55v	H4-S004	E069	okal	OK+AL	AL	ZIELSTELLE	an die Zielstelle „breitblättrige Rispenpflanze mit auffälligem Wurzelkörper“ setzen
PROSE	H5	f56r	H5-S001	E076	chodaly	HO+AL+Y	AL	ZIELSTELLE	diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“
PROSE	H5	f56r	H5-S001	E082	dal	AL	AL	ZIELSTELLE	Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“
PROSE	H5	f56r	H5-S004	E093	kchal	K+AL	AL	ZIELSTELLE	an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen
PROSE	H5	f56r	H5-S005	E096	kchoar	K+HO+AR	AR	QUELLE	Zutat aus dem Vorrat zuführen
PROSE	B1	f81v	B1-S002	E103	kair	K+AIR	AIR	LAUF_BAHN	Flüssigkeit in den Lauf geben
PROSE	B1	f81v	B1-S002	E104	okal	OK+AL	AL	ZIELSTELLE	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen
PROSE	B1	f81v	B1-S002	E105	sar	AR	AR	QUELLE	aus der Arbeitsflüssigkeit
PROSE	B1	f81v	B1-S002	E109	al	AL	AL	ZIELSTELLE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“
PROSE	B1	f81v	B1-S002	E115	sheckhal	SH+E+CKH+AL	AL	ZIELSTELLE	kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“
PROSE	B1	f81v	B1-S002	E117	qokeedal	OK+EE+AL	AL	ZIELSTELLE	länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten
PROSE	B1	f81v	B1-S006	E130	ral	R+AL	AL	ZIELSTELLE	bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen
PROSE	B1	f81v	B1-S014	E147	lchedal	L+CHD+AL	AL	ZIELSTELLE	zum Auslass führen
PROSE	B1	f81v	B1-S014	E149	otar	OT+AR	AR	QUELLE	danach von aufgefangener Bestand des laufender Stationsansatz
PROSE	B1	f81v	B1-S016	E152	qokal	OK+AL	AL	ZIELSTELLE	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen
